item_id,item,item weight,prototype
10234,A2UNRDSGGRPJNK,1.9997891,0
12832,AI6DW9KZUURAE,1.9996957,0
10282,A29I2ROQP4QMMW,1.9996451,0
10813,A6XGIW9KSC0Y1,1.9995708,0
10846,A31W3HRYHNTS6J,1.9995549,0
10210,A2A4RXZG01VDAP,1.9985957,0
11349,AOHB16AQSPX8X,1.9933827,0
9546,A15M4UPF4MQVUE,1.9919231,0
10405,A1ZPDO6NT7CMRX,1.9814017,0
11064,AA099ZH99Y0CY,1.9744959,0
8125,A3D0478CR4LXAU,1.9999306,1
10259,A3DWO7MUNRKDOO,1.9998213,1
9079,A1YZEEDWCHXZUU,1.9997642,1
13985,A2NV1OA0DQBQ87,1.9993179,1
11410,A1OTHGM4AKJ9K6,1.9972227,1
7419,A1U11IP6K6NHAK,1.9970121,1
14061,A1CG95VEZKTMUB,1.9964138,1
6358,A31YI3MCHKVJFF,1.995631,1
9924,A2I38TKR14L71Q,1.9761212,1
11548,A1WB47B7WKUJ0G,1.952715,1
3193,A3N7Y11P22Q12D,1.9999135,2
2259,A2GUL80FFONU6U,1.9998845,2
3444,A2KGCK3Q4VARC8,1.9993728,2
2546,A3B6PPHSX1S17N,1.9992137,2
6701,ADQFH36WXEI4O,1.9983852,2
3297,A28JK2BSTHQE80,1.9972918,2
2949,A1YBEIDTO8T8TQ,1.9941617,2
1833,A3VLX5Z090RQ0V,1.9941506,2
3055,A3DLWSSO2LVC1E,1.9836558,2
2151,A2QZV8NFPYAPRS,1.9589214,2
2001,A23KDYA7YGPEWW,1.9996638,3
1802,A1FD8LITJZE48V,1.9996425,3
579,A3NG6ZFI7G78ER,1.9994701,3
518,ASG5EIQOXEXGR,1.9992099,3
2126,A1MNRU2BC412EL,1.9991405,3
1150,A3HTX1NOTTWERP,1.9969889,3
2121,A1EKA9XSI641C9,1.9966351,3
1240,AQ4NU0Z9RY0RZ,1.9951551,3
1109,A1AKDW4P8V72R4,1.9943324,3
7833,A1YAOKCZCYROWI,1.9612014,3
1039,A12KC9JNQKO0GZ,1.9996998,4
1867,AF2701PDSJZT9,1.9996929,4
1158,A3SOVG3GIJ357E,1.9996057,4
5648,A27ZQQ5KKQK01U,1.9994018,4
808,A1IRBYOY6E72NT,1.9958699,4
920,A2KEO12W2C0FUB,1.9944949,4
657,A3CGU9E1EESBCV,1.9944843,4
1503,A52FJFFWZTNFY,1.9938246,4
83,A2MQ5O07UDJDOA,1.9257572,4
13474,A1XYM3RXVWYG5V,1.9079041,4
1161,A3E0MSKBIWMU6F,1.9999301,5
833,A103JSUL9TCTGV,1.9997492,5
667,A2FX6SUL8KJVLH,1.9993627,5
1185,A2M51UPWNAT1N1,1.9977156,5
584,A321YAHTF2L0FK,1.9976833,5
1013,A2KVL5IE9L3TWB,1.9964806,5
1263,AK5UVZZARQWL0,1.9956505,5
1094,A1AZ8TS3WRAHGF,1.9952812,5
6781,A2BH8KZRJDJD3Z,1.9905057,5
1090,AU84JL8P3AQLE,1.9766338,5
4488,A369XPXR47NQPZ,1.9999238,6
7754,A2YZE16S39V41Z,1.9995822,6
6759,A3VTNJHKD0TLSL,1.9990491,6
11017,A1ZHC9UA6ZGOWO,1.9990481,6
8968,A243QU0J14OWYG,1.9980931,6
8143,A3O713ROS2CDY3,1.9963133,6
7495,A2M3C5YIO7IZ6G,1.995515,6
7749,A1XENCCWK3C5T0,1.9949068,6
6159,A3W3LP0RSWLJCS,1.9931884,6
7144,A2NTLIUY1AG059,1.9781442,6
2300,A14N403M16NA2S,1.9997991,7
4893,A3K5NP63E32ZBG,1.9997363,7
112,A35YWA2V4QHOJ3,1.9995534,7
5268,A1CGP0SLU30EHH,1.9980252,7
1656,AEU5I5ZVFKLTB,1.9975421,7
4017,A2B2TVVNS6NII1,1.9973416,7
4788,A6AO73XV201HP,1.9968736,7
2857,A2NZJCTLBHRNHN,1.9911349,7
5425,A32PTVER6MK9KY,1.9724549,7
5759,A39REIQKAG9E6H,1.9386404,7
11080,A7WL1XCAA6IMJ,1.9995708,8
13784,A2F8L425LM7KJ,1.9991672,8
9277,A3CSZGXOQMPY3P,1.998754,8
13628,A3N7XKXJX96RLA,1.9986382,8
14322,A3T10ZL8CY5N4,1.9985456,8
