item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
3248,834739003,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
26038,912862001,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
6576,507883009,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
7405,821398002,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
3183,821395003,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
7401,897682001,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
8392,470789001,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
20463,882810003,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
2420,863477001,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
20906,866657001,Underwear,Underwear bottom,Solid,Black,Black,Ladieswear,"Under-, Nightwear",Womens Lingerie,Clean Lingerie,1.8671887,0
17409,863967001,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Menswear,Trousers,Contemporary Casual,Trouser,1.9741344,1
17484,525500035,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Menswear,Trousers,Contemporary Casual,Trouser,1.9741344,1
13898,804955002,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Menswear,Trousers,Contemporary Casual,Trouser,1.9741344,1
