item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
686,754413002,Garment Upper body,T-shirt,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.37787846,0
15168,477507001,Garment Full body,Dress,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.3474982,0
19611,868063004,Garment Lower body,Shorts,Solid,Beige,Mole,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.34141022,0
272,759871002,Garment Upper body,Vest top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.33461186,0
22517,864562001,Garment Lower body,Leggings/Tights,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.32878968,0
1656,759871025,Garment Upper body,Vest top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.32240084,0
21152,759871034,Garment Upper body,Vest top,Solid,Beige,Mole,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.31684545,0
1020,733749001,Garment Upper body,Top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.31290838,0
922,733749010,Garment Upper body,Top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.30069733,0
5032,523490001,Accessories,Hair ties,Solid,Black,Black,Ladieswear,Accessories,Womens Small accessories,Hair Accessories,0.26333457,0
686,754413002,Garment Upper body,T-shirt,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.47926927,1
15168,477507001,Garment Full body,Dress,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.4282781,1
1131,852584001,Unknown,Unknown,Solid,Black,Black,Sport,Jersey Fancy,Ladies H&M Sport,Ladies Sport Bottoms,0.42544526,1
1454,815434001,Unknown,Unknown,Solid,Black,Black,Sport,Jersey Fancy,Ladies H&M Sport,Ladies Sport Bottoms,0.42544526,1
1656,759871025,Garment Upper body,Vest top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.42299572,1
272,759871002,Garment Upper body,Vest top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.4218964,1
22517,864562001,Garment Lower body,Leggings/Tights,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.40061268,1
19611,868063004,Garment Lower body,Shorts,Solid,Beige,Mole,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.37547097,1
922,733749010,Garment Upper body,Top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.36804962,1
1020,733749001,Garment Upper body,Top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.36695027,1
686,754413002,Garment Upper body,T-shirt,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.56091917,2
22517,864562001,Garment Lower body,Leggings/Tights,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.4687261,2
1656,759871025,Garment Upper body,Vest top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.46341377,2
1131,852584001,Unknown,Unknown,Solid,Black,Black,Sport,Jersey Fancy,Ladies H&M Sport,Ladies Sport Bottoms,0.44894305,2
1454,815434001,Unknown,Unknown,Solid,Black,Black,Sport,Jersey Fancy,Ladies H&M Sport,Ladies Sport Bottoms,0.44894305,2
15168,477507001,Garment Full body,Dress,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.44092548,2
272,759871002,Garment Upper body,Vest top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.43947342,2
922,733749010,Garment Upper body,Top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.4338015,2
1358,717490010,Garment Upper body,T-shirt,Embroidery,White,White,Divided,Jersey Basic,Divided Basics,Basic 1,0.4287955,2
7854,717490065,Garment Upper body,T-shirt,Embroidery,White,White,Divided,Jersey Basic,Divided Basics,Basic 1,0.4287955,2
686,754413002,Garment Upper body,T-shirt,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.49111405,3
1656,759871025,Garment Upper body,Vest top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.42186853,3
272,759871002,Garment Upper body,Vest top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.4071443,3
15168,477507001,Garment Full body,Dress,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.4028655,3
22517,864562001,Garment Lower body,Leggings/Tights,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.39036113,3
922,733749010,Garment Upper body,Top,Solid,White,White,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.38771546,3
1020,733749001,Garment Upper body,Top,Solid,Black,Black,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.37299126,3
19611,868063004,Garment Lower body,Shorts,Solid,Beige,Mole,Divided,Jersey Basic,Divided Complements Other,EQ Divided Basics,0.3440851,3
7854,717490065,Garment Upper body,T-shirt,Embroidery,White,White,Divided,Jersey Basic,Divided Basics,Basic 1,0.34389925,3
1358,717490010,Garment Upper body,T-shirt,Embroidery,White,White,Divided,Jersey Basic,Divided Basics,Basic 1,0.34389925,3
