item_id,item,item weight,prototype
9472,A3EQLHGOIYD4Y2,1.9998543,0
6978,A38M74ACIMHPT,1.9997782,0
12852,A1QCM79LLO9VHF,1.9997327,0
9790,A25BJ6ZTGRNR3L,1.9995885,0
13404,A3J8Y3PTSN3OGL,1.9993641,0
11394,A1CSZYES47F0JV,1.9990056,0
8790,A151OQTFA5W8AV,1.998064,0
10889,A2GGB5O6W6D8QN,1.9957032,0
10167,A1RL82MPKT2KXI,1.993548,0
13563,A3MSO10BPAF01U,1.9931331,0
7169,AWW0JIUH84TIK,1.9997058,1
4312,A30742L6VTEF22,1.9985325,1
4400,A1AFBLHAJXW2MS,1.998241,1
6247,A2324TEM3MIUG5,1.994184,1
6331,A3AVVH342UQC0B,1.9923187,1
7161,AMMH0PW2YSJT7,1.984495,1
6540,A1TX6FWFGA1QVO,1.9839464,1
5503,AJLYAY1G5Z8GE,1.9825163,1
4993,A3PASVB2DLJ2LU,1.9712301,1
4641,A2UWU9TMO9N7AX,1.9581699,1
520,AQMWZIH22R6LE,1.9995011,2
739,A38AXXL7DMVFMQ,1.9916122,2
1446,A1NJ3SRMUS03PI,1.9818263,2
2041,A12IDQSS4OW33B,1.9630063,2
1147,A3PASG15BRR40D,1.9472584,2
1763,AXMP4V3V63O70,1.9360217,2
488,A3QJZCBZ1D7XL9,1.9352984,2
2505,A1VCLTAGM5RLND,1.9337049,2
1832,A1JHJ48J9EZNMH,1.9304053,2
2478,A1W6C5JU6VZSI5,1.9280407,2
1345,A2PSC7LUNIDEAH,1.9997809,3
650,APBDZ88BBTN4F,1.9979138,3
6362,A2LF16F0KX9L7P,1.9970403,3
3550,AXVKMYWNIHK7W,1.9959879,3
3500,A1ZCV0IX1PIT63,1.9946935,3
5577,A2PMR2PIGWKCQ9,1.9902244,3
2882,AYKG70DVFYST8,1.988677,3
9158,A70NFM6KHU24F,1.9815195,3
5027,A33Y8C4818EJL0,1.9786549,3
4791,AUITG1DJ3QUGK,1.9671534,3
1613,AN81JUYW2SL24,1.9992993,4
940,APWY5SPO12LJQ,1.9973834,4
4663,A26MQ5WYIZCJAH,1.9973544,4
9688,A3DT5XQ1JW8WME,1.9950577,4
8220,A3LIE2641FAKQU,1.993284,4
8849,AB4AXBAX1B8QD,1.9897242,4
9641,A1N2RI2AUAU4UG,1.9885591,4
2824,A2HSH3UHY03Y1S,1.9792252,4
6751,A2TIGUXKJXBX2V,1.977612,4
7499,A1UJ99P2HZYO8V,1.9755017,4
12224,APV99W7VS44SR,1.9997699,5
9864,A2LOZ7Q24HTXTP,1.9997483,5
12875,A3KFX2QMCZXG3U,1.9992926,5
12664,AMJEE733AFRL3,1.9985085,5
9896,A24ECQCIUKA2Y3,1.9976699,5
9233,A32WSMQ38RG8VB,1.9971807,5
7660,A2JBWGFRJ05Z8D,1.9944935,5
7784,A3W0QBWMP2V3K5,1.9943671,5
