timestamp,gpu_util_pct,vram_used_mib,vram_total_mib,vram_pct,cpu_pct,ram_used_mib,ram_total_mib,ram_pct,gpu_temp_c
2026-06-06 00:16:04,0.0,4,40960,0.0,0.0,545,257046,0.2,33
2026-06-06 00:16:32,0.0,4,40960,0.0,1520.6,13789,257046,5.4,33
2026-06-06 00:16:42,0.0,4,40960,0.0,89.4,14350,257046,5.6,33
2026-06-06 00:16:52,0.0,445,40960,1.1,94.4,15143,257046,5.9,33
2026-06-06 00:17:02,0.0,1463,40960,3.6,196.4,18680,257046,7.3,33
2026-06-06 00:17:12,32.0,3854,40960,9.4,444.2,23045,257046,9.0,34
2026-06-06 00:17:22,39.0,6218,40960,15.2,613.5,24799,257046,9.6,37
2026-06-06 00:17:32,38.0,6218,40960,15.2,644.5,24804,257046,9.6,40
2026-06-06 00:17:43,36.0,6218,40960,15.2,303.7,24943,257046,9.7,40
2026-06-06 00:17:53,24.0,6220,40960,15.2,-963.8,25507,257046,9.9,41
2026-06-06 00:18:03,38.0,6220,40960,15.2,600.2,25514,257046,9.9,44
2026-06-06 00:18:13,37.0,6220,40960,15.2,292.6,25516,257046,9.9,45
2026-06-06 00:18:23,42.0,6220,40960,15.2,627.7,25517,257046,9.9,46
2026-06-06 00:18:33,35.0,6220,40960,15.2,-883.2,25530,257046,9.9,45
2026-06-06 00:18:43,35.0,6220,40960,15.2,635.9,25530,257046,9.9,48
2026-06-06 00:18:53,40.0,6220,40960,15.2,308.8,25531,257046,9.9,48
2026-06-06 00:19:03,34.0,6220,40960,15.2,-63.0,25533,257046,9.9,46
2026-06-06 00:19:13,27.0,4337,40960,10.6,-475.2,21426,257046,8.3,45
2026-06-06 00:19:24,41.0,6456,40960,15.8,-547.0,22622,257046,8.8,49
2026-06-06 00:19:34,49.0,7976,40960,19.5,574.1,24944,257046,9.7,51
2026-06-06 00:19:44,49.0,7978,40960,19.5,283.2,24944,257046,9.7,52
2026-06-06 00:19:54,42.0,7978,40960,19.5,-37.9,25081,257046,9.8,53
2026-06-06 00:20:04,51.0,7978,40960,19.5,246.9,25222,257046,9.8,55
2026-06-06 00:20:14,50.0,7978,40960,19.5,-129.6,25331,257046,9.9,55
2026-06-06 00:20:24,45.0,7978,40960,19.5,12.7,25333,257046,9.9,56
2026-06-06 00:20:34,51.0,7978,40960,19.5,584.6,25334,257046,9.9,57
2026-06-06 00:20:44,41.0,7978,40960,19.5,-84.4,25337,257046,9.9,57
2026-06-06 00:20:54,48.0,7978,40960,19.5,207.0,25339,257046,9.9,58
2026-06-06 00:21:04,33.0,5932,40960,14.5,-335.3,23168,257046,9.0,54
2026-06-06 00:21:15,27.0,6942,40960,16.9,279.2,25189,257046,9.8,52
2026-06-06 00:21:25,34.0,6942,40960,16.9,216.8,25190,257046,9.8,52
2026-06-06 00:21:35,29.0,6218,40960,15.2,-452.5,22392,257046,8.7,50
2026-06-06 00:21:45,40.0,7898,40960,19.3,306.4,24645,257046,9.6,52
2026-06-06 00:21:55,45.0,8064,40960,19.7,-94.3,25075,257046,9.8,53
2026-06-06 00:22:05,49.0,8064,40960,19.7,310.1,25087,257046,9.8,54
2026-06-06 00:22:15,46.0,8064,40960,19.7,303.4,25190,257046,9.8,55
2026-06-06 00:22:25,51.0,8064,40960,19.7,314.3,25190,257046,9.8,55
2026-06-06 00:22:35,46.0,8064,40960,19.7,-491.2,25281,257046,9.8,56
2026-06-06 00:22:45,49.0,8064,40960,19.7,614.5,25281,257046,9.8,56
2026-06-06 00:22:55,51.0,8064,40960,19.7,300.6,25285,257046,9.8,56
2026-06-06 00:23:06,55.0,8064,40960,19.7,316.6,25285,257046,9.8,57
2026-06-06 00:23:16,44.0,8064,40960,19.7,-105.1,25294,257046,9.8,57
2026-06-06 00:23:26,36.0,5549,40960,13.5,-881.9,21427,257046,8.3,56
2026-06-06 00:23:36,50.0,8332,40960,20.3,254.1,24788,257046,9.6,58
2026-06-06 00:23:46,53.0,8336,40960,20.4,305.4,25130,257046,9.8,59
2026-06-06 00:23:56,59.0,8336,40960,20.4,227.6,25132,257046,9.8,59
2026-06-06 00:24:06,32.0,6484,40960,15.8,-514.6,23523,257046,9.2,57
2026-06-06 00:24:16,42.0,9086,40960,22.2,-69.4,25270,257046,9.8,58
2026-06-06 00:24:26,48.0,9086,40960,22.2,606.1,25278,257046,9.8,59
2026-06-06 00:24:36,32.0,9086,40960,22.2,328.2,25280,257046,9.8,58
2026-06-06 00:24:46,40.0,9086,40960,22.2,-68.4,25292,257046,9.8,59
2026-06-06 00:24:57,45.0,9766,40960,23.8,-69.2,25387,257046,9.9,59
2026-06-06 00:25:07,47.0,9766,40960,23.8,638.8,25387,257046,9.9,59
2026-06-06 00:25:17,30.0,9766,40960,23.8,-349.1,25388,257046,9.9,59
2026-06-06 00:25:27,38.0,6979,40960,17.0,-955.8,21487,257046,8.4,54
2026-06-06 00:25:37,37.0,8714,40960,21.3,531.3,25093,257046,9.8,54
2026-06-06 00:25:47,37.0,8714,40960,21.3,298.8,25099,257046,9.8,53
2026-06-06 00:25:57,35.0,8714,40960,21.3,270.2,23870,257046,9.3,52
2026-06-06 00:26:07,29.0,7408,40960,18.1,-411.1,23461,257046,9.1,51
2026-06-06 00:26:17,23.0,6586,40960,16.1,-703.4,23474,257046,9.1,51
2026-06-06 00:26:27,52.0,8524,40960,20.8,577.6,25039,257046,9.7,55
2026-06-06 00:26:37,52.0,8524,40960,20.8,652.8,25040,257046,9.7,58
2026-06-06 00:26:48,44.0,8524,40960,20.8,648.5,25040,257046,9.7,58
2026-06-06 00:26:58,36.0,8530,40960,20.8,-909.2,25326,257046,9.9,57
2026-06-06 00:27:08,58.0,8530,40960,20.8,168.3,25347,257046,9.9,59
2026-06-06 00:27:18,57.0,8530,40960,20.8,642.5,25347,257046,9.9,60
2026-06-06 00:27:28,51.0,8530,40960,20.8,655.2,25347,257046,9.9,60
2026-06-06 00:27:38,52.0,8532,40960,20.8,-930.1,25356,257046,9.9,60
2026-06-06 00:27:48,40.0,7452,40960,18.2,-139.5,23683,257046,9.2,61
2026-06-06 00:27:58,43.0,9216,40960,22.5,44.3,23626,257046,9.2,62
2026-06-06 00:28:08,46.0,11262,40960,27.5,-52.3,25206,257046,9.8,62
2026-06-06 00:28:18,29.0,9320,40960,22.8,-52.9,23380,257046,9.1,61
2026-06-06 00:28:29,48.0,9220,40960,22.5,44.0,23290,257046,9.1,63
2026-06-06 00:28:39,73.0,10748,40960,26.2,644.9,24982,257046,9.7,65
2026-06-06 00:28:49,58.0,10748,40960,26.2,-134.5,25070,257046,9.8,65
2026-06-06 00:28:59,64.0,10748,40960,26.2,669.4,25072,257046,9.8,67
2026-06-06 00:29:09,70.0,10748,40960,26.2,-71.9,25204,257046,9.8,68
2026-06-06 00:29:19,70.0,10748,40960,26.2,323.4,25335,257046,9.9,69
2026-06-06 00:29:29,68.0,10748,40960,26.2,330.2,25335,257046,9.9,69
2026-06-06 00:29:39,70.0,10748,40960,26.2,-117.0,25352,257046,9.9,71
2026-06-06 00:29:49,59.0,10748,40960,26.2,-86.6,25363,257046,9.9,70
2026-06-06 00:29:59,70.0,10748,40960,26.2,328.7,25363,257046,9.9,71
2026-06-06 00:30:10,71.0,10748,40960,26.2,691.0,25363,257046,9.9,72
2026-06-06 00:30:20,64.0,10748,40960,26.2,338.0,25363,257046,9.9,73
2026-06-06 00:30:30,21.0,4931,40960,12.0,-2164.5,18543,257046,7.2,68
2026-06-06 00:30:40,37.0,5863,40960,14.3,86.6,21107,257046,8.2,62
2026-06-06 00:30:50,29.0,7020,40960,17.1,241.7,23546,257046,9.2,60
2026-06-06 00:31:00,50.0,8832,40960,21.6,644.6,24993,257046,9.7,63
2026-06-06 00:31:10,38.0,8832,40960,21.6,336.3,24993,257046,9.7,63
2026-06-06 00:31:20,52.0,8832,40960,21.6,-82.9,25218,257046,9.8,63
2026-06-06 00:31:30,48.0,8832,40960,21.6,-73.7,25307,257046,9.8,63
2026-06-06 00:31:41,48.0,8832,40960,21.6,639.3,25317,257046,9.8,64
2026-06-06 00:31:51,53.0,8832,40960,21.6,305.3,25318,257046,9.8,63
2026-06-06 00:32:01,54.0,8832,40960,21.6,-450.0,25320,257046,9.9,64
2026-06-06 00:32:11,40.0,8832,40960,21.6,290.8,25322,257046,9.9,63
2026-06-06 00:32:21,45.0,8832,40960,21.6,300.9,24167,257046,9.4,64
2026-06-06 00:32:31,53.0,8832,40960,21.6,317.1,25332,257046,9.9,64
2026-06-06 00:32:41,38.0,7185,40960,17.5,-842.7,21210,257046,8.3,63
2026-06-06 00:32:51,33.0,8276,40960,20.2,184.7,22339,257046,8.7,61
2026-06-06 00:33:01,37.0,7074,40960,17.3,-241.6,23434,257046,9.1,59
