prototype,name,n_descriptors,descriptors
0,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
1,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
2,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
3,"Knitwear, Knitwear, Jersey Basic",3,department_name=Knitwear(score=8.848); garment_group_name=Knitwear(score=5.974); department_name=Jersey Basic(score=5.610)
4,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
5,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
6,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
7,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
8,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
9,"Knitwear, Knitwear, Jersey Basic",3,department_name=Knitwear(score=8.848); garment_group_name=Knitwear(score=5.974); department_name=Jersey Basic(score=5.610)
10,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
11,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
12,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
13,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
14,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
15,"Knitwear, Knitwear, Jersey Basic",3,department_name=Knitwear(score=8.848); garment_group_name=Knitwear(score=5.974); department_name=Jersey Basic(score=5.610)
16,"Knitwear, Knitwear, Jersey Basic",3,department_name=Knitwear(score=8.848); garment_group_name=Knitwear(score=5.974); department_name=Jersey Basic(score=5.610)
17,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
18,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
19,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
20,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
21,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
22,"Mama, Unknown, Light Beige",3,section_name=Mama(score=6.439); garment_group_name=Unknown(score=5.910); colour_group_name=Light Beige(score=3.136)
