item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
4834,837680004,Garment Upper body,Top,Solid,White,White,Ladieswear,Jersey Fancy,Mama,Jersey,1.9999864,0
1463,775382001,Garment Lower body,Trousers,Solid,Black,Black,Ladieswear,Trousers,Mama,Woven bottoms,1.999809,0
5905,790167004,Garment Upper body,Blouse,Jacquard,Light Beige,Beige,Ladieswear,Blouses,Womens Trend,Blouse & Dress,1.9984361,0
6702,853382001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9984226,0
9449,884583001,Garment Lower body,Skirt,Solid,Light Pink,Pink,Divided,Skirts,Divided Selected,Skirts DS,1.9984146,0
11812,682511001,Shoes,Boots,Solid,Black,Black,Ladieswear,Shoes,Womens Shoes,Boots,1.9983761,0
5688,658329018,Garment Upper body,Polo shirt,All over pattern,Dark Blue,Blue,Menswear,Jersey Fancy,Contemporary Smart,Jersey Fancy,1.9983761,0
12404,903813001,Garment Full body,Garment Set,Denim,Dark Blue,Blue,Baby/Children,Woven/Jersey/Knitted mix Baby,Baby Girl,Baby Girl Woven,1.9983621,0
2575,767032006,Garment Upper body,T-shirt,Solid,Light Turquoise,Turquoise,Ladieswear,Jersey Basic,Womens Everyday Basics,Jersey Basic,1.9983542,0
11788,853992001,Garment Lower body,Trousers,Solid,Black,Black,Sport,Unknown,Kids Sports,Tops Girls,1.9983537,0
4834,837680004,Garment Upper body,Top,Solid,White,White,Ladieswear,Jersey Fancy,Mama,Jersey,1.9999864,1
1463,775382001,Garment Lower body,Trousers,Solid,Black,Black,Ladieswear,Trousers,Mama,Woven bottoms,1.999809,1
5905,790167004,Garment Upper body,Blouse,Jacquard,Light Beige,Beige,Ladieswear,Blouses,Womens Trend,Blouse & Dress,1.9984359,1
6702,853382001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9984229,1
9449,884583001,Garment Lower body,Skirt,Solid,Light Pink,Pink,Divided,Skirts,Divided Selected,Skirts DS,1.9984149,1
5688,658329018,Garment Upper body,Polo shirt,All over pattern,Dark Blue,Blue,Menswear,Jersey Fancy,Contemporary Smart,Jersey Fancy,1.9983764,1
11812,682511001,Shoes,Boots,Solid,Black,Black,Ladieswear,Shoes,Womens Shoes,Boots,1.9983761,1
12404,903813001,Garment Full body,Garment Set,Denim,Dark Blue,Blue,Baby/Children,Woven/Jersey/Knitted mix Baby,Baby Girl,Baby Girl Woven,1.9983617,1
2575,767032006,Garment Upper body,T-shirt,Solid,Light Turquoise,Turquoise,Ladieswear,Jersey Basic,Womens Everyday Basics,Jersey Basic,1.998354,1
11788,853992001,Garment Lower body,Trousers,Solid,Black,Black,Sport,Unknown,Kids Sports,Tops Girls,1.9983537,1
4834,837680004,Garment Upper body,Top,Solid,White,White,Ladieswear,Jersey Fancy,Mama,Jersey,1.9999864,2
1463,775382001,Garment Lower body,Trousers,Solid,Black,Black,Ladieswear,Trousers,Mama,Woven bottoms,1.9998102,2
5905,790167004,Garment Upper body,Blouse,Jacquard,Light Beige,Beige,Ladieswear,Blouses,Womens Trend,Blouse & Dress,1.9984357,2
6702,853382001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9984229,2
9449,884583001,Garment Lower body,Skirt,Solid,Light Pink,Pink,Divided,Skirts,Divided Selected,Skirts DS,1.9984152,2
5688,658329018,Garment Upper body,Polo shirt,All over pattern,Dark Blue,Blue,Menswear,Jersey Fancy,Contemporary Smart,Jersey Fancy,1.9983757,2
11812,682511001,Shoes,Boots,Solid,Black,Black,Ladieswear,Shoes,Womens Shoes,Boots,1.9983757,2
12404,903813001,Garment Full body,Garment Set,Denim,Dark Blue,Blue,Baby/Children,Woven/Jersey/Knitted mix Baby,Baby Girl,Baby Girl Woven,1.9983612,2
11788,853992001,Garment Lower body,Trousers,Solid,Black,Black,Sport,Unknown,Kids Sports,Tops Girls,1.9983531,2
2575,767032006,Garment Upper body,T-shirt,Solid,Light Turquoise,Turquoise,Ladieswear,Jersey Basic,Womens Everyday Basics,Jersey Basic,1.998353,2
