item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
26806,912239001,Garment Lower body,Trousers,All over pattern,Dark Grey,Black,Divided,Unknown,Divided Projects,Divided+,1.9991155,0
3999,861547001,Shoes,Ballerinas,Solid,Greenish Khaki,Khaki green,Ladieswear,Shoes,Womens Shoes,Premium Quality,1.9985896,0
20850,806307009,Garment Lower body,Leggings/Tights,Mixed solid/pattern,Dark Yellow,Beige,Baby/Children,Woven/Jersey/Knitted mix Baby,Baby Essentials & Complements,Baby Exclusive,1.949646,0
8966,728162002,Garment Upper body,T-shirt,Solid,White,White,Ladieswear,Jersey Basic,Womens Everyday Basics,Jersey Basic,1.9471706,0
19237,796738004,Garment Full body,Dress,All over pattern,White,White,Baby/Children,Dresses/Skirts girls,Young Girl,Young Girl Dresses,1.9437692,0
10205,809887001,Garment Upper body,Coat,Solid,Beige,Beige,Divided,Unknown,Divided Projects,Divided+,1.943027,0
20884,822101001,Accessories,Other accessories,Solid,Black,Black,Sport,Accessories,Ladies H&M Sport,Ladies Sport Acc,1.941391,0
16145,813927002,Garment Full body,Jumpsuit/Playsuit,All over pattern,Light Pink,Pink,Baby/Children,Woven/Jersey/Knitted mix Baby,Baby Girl,Baby Girl Woven,1.9410238,0
9208,624443028,Garment Upper body,Bodysuit,Stripe,Grey,Grey,Baby/Children,Jersey Fancy,Baby Essentials & Complements,Newborn,1.9401776,0
18707,617281001,Garment Upper body,Jacket,Solid,Dark Blue,Blue,Sport,Unknown,Ladies H&M Sport,Ladies Sport Woven,1.9399395,0
26806,912239001,Garment Lower body,Trousers,All over pattern,Dark Grey,Black,Divided,Unknown,Divided Projects,Divided+,1.9990013,1
3999,861547001,Shoes,Ballerinas,Solid,Greenish Khaki,Khaki green,Ladieswear,Shoes,Womens Shoes,Premium Quality,1.998477,1
20850,806307009,Garment Lower body,Leggings/Tights,Mixed solid/pattern,Dark Yellow,Beige,Baby/Children,Woven/Jersey/Knitted mix Baby,Baby Essentials & Complements,Baby Exclusive,1.9475129,1
19237,796738004,Garment Full body,Dress,All over pattern,White,White,Baby/Children,Dresses/Skirts girls,Young Girl,Young Girl Dresses,1.9432693,1
3506,739265017,Garment Upper body,T-shirt,Melange,Dark Blue,Blue,Sport,Jersey Fancy,Men H&M Sport,Men Sport Bottoms,1.9427713,1
18372,821886001,Garment Upper body,Jacket,Solid,Light Pink,Pink,Divided,Outdoor,Divided Collection,Outdoor/Blazers,1.9404831,1
6780,684021086,Garment Upper body,T-shirt,Placement print,White,White,Menswear,Jersey Fancy,Contemporary Street,Jersey Fancy,1.9403365,1
8966,728162002,Garment Upper body,T-shirt,Solid,White,White,Ladieswear,Jersey Basic,Womens Everyday Basics,Jersey Basic,1.9403098,1
11775,810005001,Garment Upper body,Coat,Solid,Light Beige,Beige,Ladieswear,Outdoor,Womens Jackets,Outwear,1.9399793,1
9208,624443028,Garment Upper body,Bodysuit,Stripe,Grey,Grey,Baby/Children,Jersey Fancy,Baby Essentials & Complements,Newborn,1.9398679,1
3999,861547001,Shoes,Ballerinas,Solid,Greenish Khaki,Khaki green,Ladieswear,Shoes,Womens Shoes,Premium Quality,1.9992183,2
