item_id,item,item weight,prototype
2929,1987,1.9998621,0
2799,3587,1.9997606,0
1796,2149,1.999287,0
2521,606,1.999093,0
2452,2462,1.9989848,0
2451,1655,1.9988927,0
1257,1980,1.9987382,0
2445,3017,1.9986868,0
2750,1996,1.9985646,0
3075,2853,1.9985495,0
1302,1177,1.9997866,1
1821,892,1.9979861,1
993,3079,1.9916537,1
719,412,1.9860659,1
1718,534,1.9791662,1
1777,1542,1.9731617,1
108,2943,1.9702345,1
1959,2570,1.9623365,1
868,425,1.9581519,1
474,2436,1.956356,1
2674,1656,1.9998982,2
2964,1087,1.9996963,2
3018,1144,1.9987187,2
1658,3282,1.9978166,2
2924,3909,1.9972657,2
2800,3862,1.9972639,2
2940,452,1.9964224,2
1920,3719,1.9958801,2
2843,831,1.9947314,2
2981,1906,1.9939756,2
419,915,1.9986494,3
467,3668,1.9927762,3
1481,900,1.9860809,3
1483,3061,1.9757805,3
1089,3549,1.9731917,3
1001,2565,1.9663863,3
421,916,1.9618554,3
837,911,1.960251,3
953,3548,1.9599206,3
240,1947,1.9535313,3
1070,2478,1.9992671,4
357,2133,1.9975083,4
458,3087,1.9865534,4
370,2717,1.9714359,4
1957,2378,1.9659579,4
1193,2134,1.9520909,4
454,2423,1.9432727,4
712,3397,1.9384494,4
1460,2124,1.9333742,4
713,3398,1.9187735,4
1044,2118,1.9991077,5
1463,1298,1.9957583,5
1318,1345,1.9860804,5
747,1321,1.9844995,5
767,1982,1.9634756,5
1541,3706,1.9539366,5
760,1350,1.9528329,5
2120,1194,1.9397662,5
771,1994,1.9358299,5
1243,1347,1.9351115,5
408,2746,1.9957533,6
1313,661,1.9820495,6
334,1223,1.9678859,6
379,2657,1.9432766,6
697,2139,1.9364557,6
193,551,1.9318136,6
447,1032,1.9221871,6
361,2137,1.9081384,6
395,2161,1.8961868,6
148,2987,1.8940631,6
1365,1754,1.9997232,7
773,3744,1.9981189,7
1196,1518,1.9908631,7
117,1615,1.9809365,7
1285,89,1.9727385,7
1372,1769,1.9696028,7
2267,2505,1.9646306,7
811,1047,1.9552393,7
95,163,1.9542432,7
1678,3316,1.9526381,7
1664,298,1.9998268,8
2477,1695,1.9989598,8
2694,1412,1.9987059,8
2917,850,1.998275,8
2217,301,1.9975514,8
2015,3567,1.9975411,8
2693,3010,1.9973798,8
2530,3855,1.9972012,8
2087,83,1.997118,8
2081,214,1.9970875,8
1810,2652,1.9995503,9
1005,2647,1.999388,9
1807,2634,1.998516,9
2466,3339,1.9981349,9
2454,2651,1.9981074,9
1006,2649,1.9948936,9
1808,2635,1.9938171,9
1203,3758,1.9933991,9
3044,2525,1.9907577,9
1801,2519,1.9905171,9
288,3246,1.999366,10
67,1834,1.993299,10
820,2391,1.9771492,10
266,1466,1.9638088,10
306,25,1.9619368,10
1472,1694,1.9543124,10
190,1729,1.9446714,10
795,678,1.9332039,10
655,428,1.9245088,10
154,866,1.9242824,10
933,1180,1.9998157,11
2407,116,1.9985924,11
1868,3132,1.9971237,11
2621,705,1.9930158,11
2395,3217,1.9885306,11
2870,2417,1.985657,11
1858,1684,1.9836547,11
2714,2738,1.9825772,11
1886,3211,1.9814298,11
1577,3112,1.9783947,11
2827,1657,1.9999651,12
2974,2503,1.9997388,12
2523,3894,1.9995242,12
2373,570,1.9994661,12
1589,3124,1.9993067,12
1881,649,1.9991174,12
2377,1585,1.9987397,12
2576,583,1.9985278,12
2703,1893,1.9984798,12
2835,3531,1.9984384,12
1549,2870,1.9997888,13
975,3516,1.9992974,13
1715,1951,1.9935558,13
978,3028,1.9831469,13
1555,1099,1.9807777,13
1032,2941,1.9720192,13
1210,2077,1.9715885,13
1836,934,1.9678946,13
1035,3244,1.9677563,13
1239,1226,1.9606684,13
