prototype,name,n_descriptors,descriptors
0,"Jacquard, Denim Trousers, Jersey Basic",3,graphical_appearance_name=Jacquard(score=19.501); department_name=Denim Trousers(score=5.834); department_name=Jersey Basic(score=5.610)
1,"Jumpsuit/Playsuit, Dark Pink, Shorts",3,product_type_name=Jumpsuit/Playsuit(score=16.853); colour_group_name=Dark Pink(score=12.640); garment_group_name=Shorts(score=10.665)
2,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=10.421); department_name=Knitwear(score=10.112); department_name=Dress(score=8.358)
3,"Socks Wall, Denim trousers, Denim Men",3,department_name=Socks Wall(score=50.937); department_name=Denim trousers(score=37.572); section_name=Denim Men(score=35.003)
4,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
5,"Suit, Turquoise, Dressed",3,department_name=Suit(score=60.479); colour_group_name=Turquoise(score=52.504); garment_group_name=Dressed(score=26.692)
6,"Socks Wall, Denim trousers, Denim Men",3,department_name=Socks Wall(score=50.937); department_name=Denim trousers(score=37.572); section_name=Denim Men(score=35.003)
7,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=15.631); department_name=Knitwear(score=10.112); department_name=Dress(score=9.751)
8,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=11.144); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
9,"Campaigns, Special Offers, Dress",3,department_name=Campaigns(score=42.659); garment_group_name=Special Offers(score=28.440); department_name=Dress(score=12.537)
10,"Campaigns, Special Offers, Dress",3,department_name=Campaigns(score=63.989); garment_group_name=Special Offers(score=42.659); department_name=Dress(score=12.537)
11,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=16.547); department_name=Basic 1(score=10.264)
12,"Campaigns, Special Offers, Dress",3,department_name=Campaigns(score=63.989); garment_group_name=Special Offers(score=42.659); department_name=Dress(score=11.144)
13,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=46.842); section_name=Ladies H&M Sport(score=30.168); index_group_name=Sport(score=24.161)
14,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=11.144); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
15,"Campaigns, Special Offers, Dress",3,department_name=Campaigns(score=42.659); garment_group_name=Special Offers(score=28.440); department_name=Dress(score=11.144)
16,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=15.631); department_name=Knitwear(score=11.376); department_name=Dress(score=8.358)
17,"Jacquard, Jersey fancy, Denim Trousers",3,graphical_appearance_name=Jacquard(score=19.501); department_name=Jersey fancy(score=6.058); department_name=Denim Trousers(score=5.834)
18,"Jacquard, Light Blue, Jersey fancy",3,graphical_appearance_name=Jacquard(score=19.501); colour_group_name=Light Blue(score=7.419); department_name=Jersey fancy(score=6.058)
19,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=11.144); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
20,"Campaigns, Special Offers, Loungewear",3,department_name=Campaigns(score=42.659); garment_group_name=Special Offers(score=28.440); department_name=Loungewear(score=10.421)
21,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=50.188); section_name=Ladies H&M Sport(score=32.053); index_group_name=Sport(score=25.671)
22,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
23,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=12.537); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
24,"Campaigns, Special Offers, Dress",3,department_name=Campaigns(score=42.659); garment_group_name=Special Offers(score=28.440); department_name=Dress(score=11.144)
25,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=46.842); section_name=Ladies H&M Sport(score=30.168); index_group_name=Sport(score=24.161)
26,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=11.144); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
27,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=46.842); section_name=Ladies H&M Sport(score=30.168); index_group_name=Sport(score=24.161)
28,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=16.547); department_name=Basic 1(score=10.264)
29,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=16.547); department_name=Basic 1(score=10.264)
30,"Suit, Turquoise, Dressed",3,department_name=Suit(score=60.479); colour_group_name=Turquoise(score=35.003); garment_group_name=Dressed(score=26.692)
31,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
32,"Campaigns, Special Offers, Loungewear",3,department_name=Campaigns(score=42.659); garment_group_name=Special Offers(score=28.440); department_name=Loungewear(score=10.421)
33,"Knitwear, Loungewear, Dress",3,department_name=Knitwear(score=11.376); department_name=Loungewear(score=10.421); department_name=Dress(score=8.358)
34,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=12.537); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
35,"Jumpsuit/Playsuit, Dark Pink, Shorts",3,product_type_name=Jumpsuit/Playsuit(score=16.853); colour_group_name=Dark Pink(score=12.640); garment_group_name=Shorts(score=10.665)
36,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=10.421); department_name=Knitwear(score=8.848); department_name=Dress(score=8.358)
