prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,department_name,Everyday Waredrobe Denim,1,20,0.05,0.0005127829463043,97.50714285714287,97.50714285714287,False
0,graphical_appearance_name,Jacquard,2,20,0.1,0.005127829463043,19.501428571428573,19.501428571428573,True
0,colour_group_name,Dark Turquoise,1,20,0.05,0.0027104241447513003,18.447297297297297,18.447297297297297,False
0,department_name,Denim Trousers,2,20,0.1,0.0171416013478866,5.833760683760684,5.833760683760684,True
0,department_name,Jersey Basic,3,20,0.15,0.026737967914438502,5.61,5.61,True
0,colour_group_name,Light Blue,3,20,0.15,0.026957732034283203,5.564266304347826,5.564266304347826,False
0,section_name,Womens Everyday Basics,3,20,0.15,0.027177496154127904,5.519272237196765,5.519272237196765,False
0,perceived_colour_master_name,Turquoise,1,20,0.05,0.009230093033477401,5.417063492063492,5.417063492063492,False
0,department_name,Loungewear,1,20,0.05,0.009596366566551901,5.21030534351145,5.21030534351145,False
0,section_name,Ladies Denim,3,20,0.15,0.028862354406270604,5.1970812182741115,5.1970812182741115,False
0,department_name,Blouse,4,20,0.2,0.043293531609405904,4.619627749576988,4.619627749576988,False
0,department_name,Jersey fancy,2,20,0.1,0.0247600908358362,4.0387573964497046,4.0387573964497046,False
0,graphical_appearance_name,Denim,6,20,0.3,0.074719800747198,4.015000000000001,4.015000000000001,False
0,department_name,Knitwear,3,20,0.15,0.039557541572046,3.7919444444444443,3.7919444444444443,False
0,product_type_name,Sweater,6,20,0.3,0.0791883378507069,3.788436632747456,3.788436632747456,False
0,section_name,Womens Everyday Collection,9,20,0.45,0.12218885063365321,3.6828237410071942,3.6828237410071942,False
0,garment_group_name,Trousers Denim,3,20,0.15,0.0430737674895612,3.4823979591836736,3.4823979591836736,False
0,department_name,Trouser,3,20,0.15,0.0446121163284741,3.3623152709359605,3.3623152709359605,False
0,graphical_appearance_name,Stripe,2,20,0.1,0.030034429712109,3.3295121951219517,3.3295121951219517,False
0,colour_group_name,Beige,3,20,0.15,0.04585744634092741,3.2710063897763577,3.2710063897763577,False
0,product_type_name,Shirt,2,20,0.1,0.031646033257636805,3.1599537037037035,3.1599537037037035,False
0,colour_group_name,Light Beige,3,20,0.15,0.0478353234195297,3.135758039816233,3.135758039816233,False
0,colour_group_name,Blue,2,20,0.1,0.033330891509779505,3.0002197802197803,3.0002197802197803,False
0,perceived_colour_master_name,Beige,5,20,0.25,0.08482895026005421,2.9471070811744386,2.9471070811744386,False
0,perceived_colour_master_name,Blue,7,20,0.35,0.11933191707567212,2.932995702885205,2.932995702885205,False
0,product_type_name,T-shirt,3,20,0.15,0.05757819939931141,2.605152671755725,2.605152671755725,False
