item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
1864,677930066,Garment Upper body,Sweater,Embroidery,Black,Black,Divided,Jersey Basic,Divided Basics,Basic 1,1.9997532,0
3742,706016019,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Divided,Trousers,Divided Collection,Trousers,1.99967,0
2826,677930086,Garment Upper body,Sweater,Embroidery,Grey,Grey,Divided,Jersey Basic,Divided Basics,Basic 1,1.999193,0
1413,902518003,Garment Upper body,Sweater,Melange,Grey,Grey,Divided,Knitwear,Divided Collection,Tops Knitwear,1.9989908,0
2173,706016006,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Divided,Trousers,Divided Collection,Trousers,1.998307,0
8310,677930077,Garment Upper body,Sweater,Embroidery,Greenish Khaki,Khaki green,Divided,Jersey Basic,Divided Basics,Basic 1,1.9981087,0
3527,719530003,Garment Lower body,Trousers,Solid,Black,Black,Divided,Trousers,Divided Collection,Trousers,1.9763956,0
2005,706016002,Garment Lower body,Trousers,Solid,Light Blue,Blue,Divided,Trousers,Divided Collection,Trousers,1.9756253,0
8116,674606051,Garment Lower body,Skirt,Denim,Blue,Blue,Divided,Skirts,Divided Collection,Skirts,1.9722171,0
9309,706016062,Garment Lower body,Trousers,Solid,Black,Black,Divided,Trousers,Divided Collection,Trousers,1.9655125,0
12917,893432002,Garment Upper body,Cardigan,Melange,Grey,Grey,Divided,Knitwear,Divided Collection,Tops Knitwear,1.9998775,1
85,905365002,Garment Lower body,Trousers,Denim,Black,Black,Divided,Trousers Denim,Ladies Denim,Denim Trousers,1.9998723,1
12202,873279004,Garment Upper body,Sweater,Solid,Beige,Mole,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9998128,1
570,905365001,Garment Lower body,Trousers,Denim,Light Blue,Blue,Divided,Trousers Denim,Ladies Denim,Denim Trousers,1.999321,1
11872,767423011,Garment Upper body,Sweater,Solid,Black,Black,Divided,Knitwear,Divided Collection,Tops Knitwear,1.9944603,1
4623,842952002,Garment Upper body,Cardigan,Melange,Dark Beige,Beige,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9872074,1
8607,919365003,Garment Lower body,Trousers,Denim,Blue,Blue,Divided,Trousers,Divided Collection,Trousers,1.9749744,1
7029,869473004,Garment Upper body,Top,Solid,White,White,Ladieswear,Jersey Fancy,Womens Casual,Jersey,1.9653528,1
3528,837939002,Garment Lower body,Trousers,Denim,Light Blue,Blue,Ladieswear,Blouses,Womens Trend,Blouse & Dress,1.963523,1
5474,864216001,Garment Lower body,Trousers,Denim,Dark Blue,Blue,Divided,Trousers Denim,Ladies Denim,Denim Trousers,1.962977,1
7077,797892010,Garment Lower body,Trousers,Check,Black,Black,Ladieswear,Trousers,H&M+,Woven bottoms,1.9999902,2
12896,767473009,Garment Upper body,Top,All over pattern,Light Beige,Beige,Ladieswear,Blouses,H&M+,Woven top,1.999959,2
11892,897108001,Garment Full body,Dress,Solid,Black,Black,Ladieswear,Blouses,H&M+,Woven top,1.999937,2
