item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
3245,562245084,Garment Lower body,Trousers,Denim,Blue,Blue,Ladieswear,Trousers,Womens Everyday Collection,Trouser,0.5854769,0
6935,399256023,Garment Lower body,Trousers,Denim,Light Blue,Blue,Ladieswear,Trousers Denim,Ladies Denim,Everyday Waredrobe Denim,0.5852934,0
1275,899749005,Garment Lower body,Trousers,Denim,Dark Blue,Blue,Divided,Trousers Denim,Ladies Denim,Denim Trousers,0.58279383,0
3247,562245102,Garment Lower body,Trousers,Denim,Light Blue,Blue,Ladieswear,Trousers,Womens Everyday Collection,Trouser,0.56865007,0
469,610776071,Garment Upper body,T-shirt,All over pattern,Off White,White,Ladieswear,Jersey Basic,Womens Everyday Basics,Jersey Basic,0.5649913,0
2122,678942054,Garment Upper body,Sweater,Melange,Beige,Beige,Ladieswear,"Under-, Nightwear","Womens Nightwear, Socks & Tigh",Loungewear,0.5626735,0
396,898596007,Garment Lower body,Trousers,Denim,Grey,Grey,Ladieswear,Trousers,Womens Everyday Collection,Trouser,0.5574297,0
3074,826492001,Garment Upper body,Sweater,Jacquard,Beige,Beige,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,0.55705017,0
3085,832520002,Garment Upper body,Sweater,Melange,Light Beige,Beige,Ladieswear,Jersey Fancy,Womens Everyday Collection,Jersey fancy,0.5560422,0
2952,874754005,Garment Upper body,Sweater,Stripe,Light Beige,Beige,Ladieswear,Knitwear,Womens Casual,Knitwear,0.55565554,0
992,872000005,Garment Upper body,Vest top,All over pattern,Black,Black,Divided,Blouses,Divided Collection,Tops Woven,0.8338605,1
2543,674606025,Garment Lower body,Skirt,Solid,Black,Black,Divided,Skirts,Divided Collection,Skirts,0.8326377,1
2678,841298001,Garment Upper body,Blouse,Solid,White,White,Ladieswear,Blouses,Womens Tailoring,Blouse,0.78505814,1
661,816423004,Garment Lower body,Shorts,Denim,Light Blue,Blue,Divided,Shorts,Divided Collection,Shorts,0.77313745,1
1467,776237031,Swimwear,Bikini top,All over pattern,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,0.7694789,1
4525,860525001,Garment Upper body,Vest top,Stripe,Dark Blue,Blue,Divided,Blouses,Divided Collection,Tops Woven,0.75924635,1
2945,932243003,Garment Upper body,Top,Solid,Dark Pink,Pink,Ladieswear,Jersey Fancy,Womens Everyday Collection,Jersey fancy,0.7565393,1
3200,895582002,Garment Full body,Jumpsuit/Playsuit,All over pattern,Black,Black,Divided,Dresses Ladies,Divided Collection,Dresses,0.7332744,1
4580,811925002,Swimwear,Bikini top,All over pattern,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,0.73029435,1
5274,616849012,Garment Upper body,Blouse,All over pattern,Black,Black,Ladieswear,Blouses,Womens Everyday Collection,Blouse,0.7208598,1
10050,921697003,Garment Full body,Dress,Solid,Greenish Khaki,Khaki green,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,0.22665669,2
13319,929001001,Garment Full body,Dress,Solid,Green,Khaki green,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,0.2120601,2
12319,933989002,Nightwear,Pyjama bottom,Solid,Light Orange,Orange,Ladieswear,"Under-, Nightwear","Womens Nightwear, Socks & Tigh",Loungewear,0.21201453,2
12740,918443003,Garment Full body,Dress,Solid,Light Purple,Lilac Purple,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,0.21182002,2
13104,905945002,Garment Upper body,Top,Melange,Beige,Mole,Ladieswear,Knitwear,Womens Casual,Knitwear,0.21148372,2
12632,908728003,Garment Full body,Dress,All over pattern,Black,Black,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,0.20639332,2
3387,918443004,Garment Full body,Dress,Solid,Black,Black,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,0.20468384,2
12231,935689001,Garment Lower body,Trousers,Solid,Grey,Grey,Ladieswear,"Under-, Nightwear","Womens Nightwear, Socks & Tigh",Loungewear,0.20250095,2
12577,873274002,Garment Upper body,Sweater,Melange,Light Beige,Beige,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,0.20066981,2
12736,918443002,Garment Full body,Dress,All over pattern,Black,Black,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,0.19887076,2
5009,811993003,Garment Lower body,Trousers,Denim,Dark Blue,Blue,Menswear,Trousers Denim,Denim Men,Denim trousers,0.7237627,3
2228,720504008,Garment Lower body,Trousers,Denim,Grey,Grey,Menswear,Trousers Denim,Denim Men,Denim trousers,0.69726586,3
2998,783707159,Socks & Tights,Socks,All over pattern,Dark Orange,Orange,Menswear,Socks and Tights,Men Underwear,Socks Wall,0.69440013,3
