prototype,name,n_descriptors,descriptors
0,"Crime, Drama",2,genres=Crime(score=4.389); genres=Drama(score=2.274)
1,"Horror, Sci-Fi, Action",3,genres=Horror(score=9.398); genres=Sci-Fi(score=7.470); genres=Action(score=2.409)
2,"Comedy, Drama",2,genres=Comedy(score=1.707); genres=Drama(score=1.642)
3,"Animation, Fantasy, Musical",3,genres=Animation(score=15.319); genres=Fantasy(score=14.423); genres=Musical(score=10.318)
4,"Musical, Romance, War",3,genres=Musical(score=8.844); genres=Romance(score=3.756); genres=War(score=2.315)
5,"Animation, Comedy, Children's",3,genres=Animation(score=12.255); genres=Comedy(score=2.948); genres=Children's(score=2.671)
6,"Film-Noir, Mystery, Romance",3,genres=Film-Noir(score=8.013); genres=Mystery(score=4.883); genres=Romance(score=4.507)
7,"Film-Noir, Mystery, Romance",3,genres=Film-Noir(score=8.013); genres=Mystery(score=4.883); genres=Romance(score=4.132)
8,"Animation, Comedy, Children's",3,genres=Animation(score=12.255); genres=Comedy(score=2.948); genres=Children's(score=2.003)
9,"Film-Noir, Musical, Crime",3,genres=Film-Noir(score=20.032); genres=Musical(score=2.948); genres=Crime(score=2.633)
10,"Thriller, Action, Mystery",3,genres=Thriller(score=4.994); genres=Action(score=4.474); genres=Mystery(score=3.255)
11,"Drama, Romance, Comedy",3,genres=Drama(score=1.516); genres=Romance(score=1.502); genres=Comedy(score=1.396)
12,"Horror, Sci-Fi, Action",3,genres=Horror(score=7.049); genres=Sci-Fi(score=4.980); genres=Action(score=2.409)
13,"Horror, Sci-Fi, Action",3,genres=Horror(score=5.874); genres=Sci-Fi(score=3.113); genres=Action(score=2.753)
14,"Crime, Drama, Thriller",3,genres=Crime(score=7.900); genres=Drama(score=2.021); genres=Thriller(score=1.427)
15,"Sci-Fi, Horror, Action",3,genres=Sci-Fi(score=7.470); genres=Horror(score=5.874); genres=Action(score=3.786)
16,"Fantasy, Animation, Musical",3,genres=Fantasy(score=16.827); genres=Animation(score=15.319); genres=Musical(score=10.318)
17,"Horror, Crime, Thriller",3,genres=Horror(score=5.287); genres=Crime(score=3.511); genres=Thriller(score=2.854)
18,"Crime, Drama, Comedy",3,genres=Crime(score=6.145); genres=Drama(score=1.389); genres=Comedy(score=1.086)
19,"Sci-Fi, Horror, Action",3,genres=Sci-Fi(score=9.338); genres=Horror(score=6.461); genres=Action(score=3.786)
20,"Thriller, Horror, Comedy",3,genres=Thriller(score=2.140); genres=Horror(score=1.175); genres=Comedy(score=1.086)
21,"Animation, Fantasy, Children's",3,genres=Animation(score=16.850); genres=Fantasy(score=14.423); genres=Children's(score=10.684)
