prototype,name,n_descriptors,descriptors
0,"Drama, Crime, Thriller",3,genres=Drama(score=0.900); genres=Crime(score=0.250); genres=Thriller(score=0.100)
1,"Horror, Sci-Fi, Action",3,genres=Horror(score=0.800); genres=Sci-Fi(score=0.600); genres=Action(score=0.350)
2,"Drama, Comedy, Romance",3,genres=Drama(score=0.650); genres=Comedy(score=0.550); genres=Romance(score=0.100)
3,"Children's, Animation, Musical",3,genres=Children's(score=0.700); genres=Animation(score=0.500); genres=Musical(score=0.350)
4,"Drama, Romance, Musical",3,genres=Drama(score=0.550); genres=Romance(score=0.500); genres=Musical(score=0.300)
5,"Comedy, Animation, Children's",3,genres=Comedy(score=0.950); genres=Animation(score=0.400); genres=Children's(score=0.200)
6,"Drama, Romance, Comedy",3,genres=Drama(score=0.700); genres=Romance(score=0.600); genres=Comedy(score=0.200)
7,"Drama, Romance, Mystery",3,genres=Drama(score=0.700); genres=Romance(score=0.550); genres=Mystery(score=0.150)
8,"Comedy, Animation, Children's",3,genres=Comedy(score=0.950); genres=Animation(score=0.400); genres=Children's(score=0.150)
9,"Comedy, Drama, Film-Noir",3,genres=Comedy(score=0.400); genres=Drama(score=0.350); genres=Film-Noir(score=0.250)
10,"Thriller, Action, Drama",3,genres=Thriller(score=0.700); genres=Action(score=0.650); genres=Drama(score=0.200)
11,"Drama, Comedy, Romance",3,genres=Drama(score=0.600); genres=Comedy(score=0.450); genres=Romance(score=0.200)
12,"Horror, Sci-Fi, Action",3,genres=Horror(score=0.600); genres=Sci-Fi(score=0.400); genres=Action(score=0.350)
13,"Horror, Action, Thriller",3,genres=Horror(score=0.500); genres=Action(score=0.400); genres=Thriller(score=0.350)
14,"Drama, Crime, Thriller",3,genres=Drama(score=0.800); genres=Crime(score=0.450); genres=Thriller(score=0.200)
15,"Sci-Fi, Action, Horror",3,genres=Sci-Fi(score=0.600); genres=Action(score=0.550); genres=Horror(score=0.500)
16,"Children's, Animation, Fantasy",3,genres=Children's(score=0.750); genres=Animation(score=0.500); genres=Fantasy(score=0.350)
