prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Drama,16,20,0.8,0.39584,2.021018593371059,0.8,True
0,genres,Romance,15,20,0.75,0.13312,5.634014423076923,0.75,True
0,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.15,True
0,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.1,False
0,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.05,False
1,genres,Drama,17,20,0.85,0.39584,2.14733225545675,0.85,True
1,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.15,True
1,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.1,True
1,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.05,False
2,genres,Horror,20,20,1.0,0.08512,11.74812030075188,1.0,True
2,genres,Thriller,5,20,0.25,0.14016,1.783675799086758,0.25,True
2,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.2,True
2,genres,Action,3,20,0.15,0.14528,1.032488986784141,0.15,False
2,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,0.15,False
2,genres,Drama,2,20,0.1,0.39584,0.2526273241713824,0.1,False
2,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.05,False
2,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.05,False
3,genres,Comedy,20,20,1.0,0.32224,3.103277060575968,1.0,True
3,genres,Drama,2,20,0.1,0.39584,0.2526273241713824,0.1,True
3,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
4,genres,Drama,19,20,0.95,0.39584,2.399959579628132,0.95,True
4,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,0.05,False
4,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.05,False
4,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
5,genres,Drama,10,20,0.5,0.39584,1.2631366208569117,0.5,True
5,genres,Thriller,6,20,0.3,0.14016,2.1404109589041096,0.3,True
5,genres,War,6,20,0.3,0.0432,6.944444444444444,0.3,True
5,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,0.1,False
5,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.1,False
5,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
5,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,0.05,False
5,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.05,False
5,genres,Film-Noir,1,20,0.05,0.01248,4.006410256410256,0.05,False
6,genres,Horror,14,20,0.7,0.08512,8.223684210526315,0.7,True
6,genres,Comedy,5,20,0.25,0.32224,0.775819265143992,0.25,True
6,genres,Action,3,20,0.15,0.14528,1.032488986784141,0.15,True
6,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.05,False
6,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
6,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.05,False
6,genres,Drama,1,20,0.05,0.39584,0.1263136620856912,0.05,False
7,genres,Comedy,15,20,0.75,0.32224,2.327457795431976,0.75,True
7,genres,Children's,14,20,0.7,0.07488,9.348290598290598,0.7,True
7,genres,Adventure,11,20,0.55,0.08256,6.661821705426358,0.55,True
7,genres,Fantasy,8,20,0.4,0.0208,19.230769230769234,0.4,False
7,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.1,False
7,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.1,False
7,genres,Musical,2,20,0.1,0.03392,2.94811320754717,0.1,False
7,genres,Animation,2,20,0.1,0.03264,3.063725490196078,0.1,False
7,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.05,False
8,genres,Action,19,20,0.95,0.14528,6.53909691629956,0.95,True
8,genres,War,5,20,0.25,0.0432,5.787037037037036,0.25,True
8,genres,Drama,4,20,0.2,0.39584,0.5052546483427648,0.2,True
8,genres,Western,3,20,0.15,0.0192,7.8125,0.15,False
8,genres,Comedy,2,20,0.1,0.32224,0.3103277060575968,0.1,False
9,genres,Comedy,8,20,0.4,0.32224,1.2413108242303872,0.4,True
9,genres,Drama,8,20,0.4,0.39584,1.0105092966855296,0.4,True
9,genres,Documentary,8,20,0.4,0.02464,16.233766233766236,0.4,True
9,genres,Crime,2,20,0.1,0.05696,1.75561797752809,0.1,False
9,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
9,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,0.05,False
10,genres,Action,17,20,0.85,0.14528,5.850770925110132,0.85,True
10,genres,Thriller,7,20,0.35,0.14016,2.497146118721461,0.35,True
10,genres,Comedy,6,20,0.3,0.32224,0.9309831181727903,0.3,True
10,genres,Drama,3,20,0.15,0.39584,0.3789409862570735,0.15,False
10,genres,Adventure,3,20,0.15,0.08256,1.8168604651162792,0.15,False
10,genres,Sci-Fi,2,20,0.1,0.08032,1.245019920318725,0.1,False
10,genres,Crime,2,20,0.1,0.05696,1.75561797752809,0.1,False
