item_id,item,title,year,genres,item weight,prototype
1310,3004,"Bachelor, The (1999)",1999,Comedy|Romance,1.9999392,0
1919,491,"Man Without a Face, The (1993)",1993,Drama,1.996819,0
917,605,One Fine Day (1996),1996,Drama|Romance,1.9677371,0
1222,140,Up Close and Personal (1996),1996,Drama|Romance,1.9287187,0
294,3259,Far and Away (1992),1992,Drama|Romance,1.9228656,0
892,168,First Knight (1995),1995,Action|Adventure|Drama|Romance,1.9183491,0
353,2497,Message in a Bottle (1999),1999,Romance,1.914887,0
2428,1363,"Preacher's Wife, The (1996)",1996,Drama,1.899625,0
930,207,"Walk in the Clouds, A (1995)",1995,Drama|Romance,1.8995214,0
908,361,It Could Happen to You (1994),1994,Drama|Romance,1.8943794,0
1658,3282,Different for Girls (1996),1996,Comedy,1.9998416,1
1539,2820,Hamlet (1964),1964,Drama,1.9993296,1
2211,2610,Three Seasons (1999),1999,Drama,1.9677377,1
2381,263,Ladybird Ladybird (1994),1994,Drama,1.9625813,1
2015,3567,Bossa Nova (1999),1999,Comedy,1.947721,1
2832,211,"Browning Version, The (1994)",1994,Drama,1.9464543,1
1879,645,Nelly & Monsieur Arnaud (1995),1995,Drama,1.9373587,1
2187,573,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",1993,Drama,1.9310191,1
2477,1695,Artemisia (1997),1997,Drama,1.921694,1
2207,3320,Mifune (Mifunes sidste sang) (1999),1999,Comedy|Romance,1.9165263,1
1829,382,Wolf (1994),1994,Drama|Horror,1.999953,2
784,70,From Dusk Till Dawn (1996),1996,Action|Comedy|Crime|Horror|Thriller,1.9978652,2
2284,328,Tales From the Crypt Presents: Demon Knight (1995),1995,Horror,1.9549094,2
1338,799,"Frighteners, The (1996)",1996,Comedy|Horror,1.9163554,2
2640,407,In the Mouth of Madness (1995),1995,Horror|Thriller,1.8865759,2
120,2167,Blade (1998),1998,Action|Adventure|Horror,1.8671438,2
1799,2328,Vampires (1998),1998,Horror,1.8623035,2
1264,1717,Scream 2 (1997),1997,Horror|Thriller,1.8563607,2
1788,611,Hellraiser: Bloodline (1996),1996,Action|Horror|Sci-Fi,1.8561515,2
761,330,Tales from the Hood (1995),1995,Comedy|Horror,1.8554001,2
1971,2335,"Waterboy, The (1998)",1998,Comedy,1.9999486,3
921,2447,Varsity Blues (1999),1999,Comedy|Drama,1.9990727,3
2353,3120,"Distinguished Gentleman, The (1992)",1992,Comedy,1.9560521,3
2911,1642,Indian Summer (a.k.a. Alive & Kicking) (1996),1996,Comedy|Drama,1.9323102,3
2571,2296,"Night at the Roxbury, A (1998)",1998,Comedy,1.9275303,3
769,2860,Blue Streak (1999),1999,Comedy,1.9208753,3
1639,19,Ace Ventura: When Nature Calls (1995),1995,Comedy,1.9189318,3
505,542,Son in Law (1993),1993,Comedy,1.9094535,3
564,88,Black Sheep (1996),1996,Comedy,1.9034529,3
1824,413,Airheads (1994),1994,Comedy,1.8882537,3
1883,1354,Breaking the Waves (1996),1996,Drama,1.9999201,4
1887,1719,"Sweet Hereafter, The (1997)",1997,Drama,1.9978858,4
971,1041,Secrets & Lies (1996),1996,Drama,1.9361231,4
177,1635,"Ice Storm, The (1997)",1997,Drama,1.9070957,4
1079,2575,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",1998,Drama,1.9007883,4
1944,2360,"Celebration, The (Festen) (1998)",1998,Drama,1.9003656,4
1094,2682,Limbo (1999),1999,Drama,1.8962523,4
2005,2611,"Winslow Boy, The (1998)",1998,Drama,1.8934479,4
2366,1484,"Daytrippers, The (1996)",1996,Mystery,1.8931123,4
1473,2725,Twin Falls Idaho (1999),1999,Drama,1.8930937,4
1045,2983,"Ipcress File, The (1965)",1965,Thriller,1.9999136,5
1189,3406,Captain Horatio Hornblower (1951),1951,Action|Adventure|War,1.9981524,5
1103,965,"39 Steps, The (1935)",1935,Thriller,1.9380378,5
1574,1939,"Best Years of Our Lives, The (1946)",1946,Drama|War,1.9136491,5
1515,929,Foreign Correspondent (1940),1940,Thriller,1.9037516,5
2138,3379,On the Beach (1959),1959,Drama,1.899476,5
1721,2204,Saboteur (1942),1942,Thriller,1.8869708,5
1345,950,"Thin Man, The (1934)",1934,Mystery,1.8780874,5
1853,3849,"Spiral Staircase, The (1946)",1946,Thriller,1.876465,5
2641,2847,Only Angels Have Wings (1939),1939,Drama,1.8752077,5
2775,2748,Allan Quartermain and the Lost City of Gold (1987),1987,Action|Adventure,1.9999444,6
3032,860,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",1994,Comedy,1.9997735,6
3060,1993,Child's Play 3 (1992),1992,Horror,1.9897333,6
2750,1996,Poltergeist III (1988),1988,Horror|Thriller,1.958586,6
1258,1981,Friday the 13th Part VIII: Jason Takes Manhattan (1989),1989,Horror,1.9580139,6
2452,2462,"Return of the Texas Chainsaw Massacre, The (1994)",1994,Horror,1.9529483,6
1796,2149,House II: The Second Story (1987),1987,Comedy|Horror,1.940294,6
3113,1105,Children of the Corn IV: The Gathering (1996),1996,Horror,1.9367836,6
2808,1389,Jaws 3-D (1983),1983,Action|Horror,1.9285126,6
3082,2868,Fright Night Part II (1989),1989,Horror,1.9260795,6
441,2405,"Jewel of the Nile, The (1985)",1985,Action|Adventure|Comedy|Romance,1.9998791,7
343,2054,"Honey, I Shrunk the Kids (1989)",1989,Adventure|Children's|Comedy|Fantasy|Sci-Fi,1.9972553,7
381,317,"Santa Clause, The (1994)",1994,Children's|Comedy|Fantasy,1.9836324,7
358,2135,Doctor Dolittle (1967),1967,Adventure|Musical,1.8355942,7
424,1016,"Shaggy Dog, The (1959)",1959,Children's|Comedy,1.824636,7
130,2470,Crocodile Dundee (1986),1986,Adventure|Comedy,1.8177743,7
536,2040,"Computer Wore Tennis Shoes, The (1970)",1970,Children's|Comedy,1.804532,7
733,1702,Flubber (1997),1997,Children's|Comedy|Fantasy,1.8042482,7
1633,1848,"Borrowers, The (1997)",1997,Adventure|Children's|Comedy|Fantasy,1.8035525,7
2174,1010,"Love Bug, The (1969)",1969,Children's|Comedy,1.8029406,7
960,2403,First Blood (1982),1982,Action,1.9999666,8
891,3441,Red Dawn (1984),1984,Action|War,1.9974691,8
1744,2402,Rambo: First Blood Part II (1985),1985,Action|War,1.9862864,8
906,2409,Rocky II (1979),1979,Action|Drama,1.933373,8
126,1378,Young Guns (1988),1988,Action|Comedy|Western,1.9258032,8
1717,2476,Heartbreak Ridge (1986),1986,Action|War,1.9165221,8
1716,2990,Licence to Kill (1989),1989,Action,1.874635,8
1973,2410,Rocky III (1982),1982,Action|Drama,1.8696597,8
1194,3519,Force 10 from Navarone (1978),1978,Action|War,1.8626513,8
1569,2815,Iron Eagle (1986),1986,Action|War,1.8574324,8
2047,1236,Trust (1990),1990,Comedy|Drama,1.9999652,9
1901,312,Stuart Saves His Family (1995),1995,Comedy,1.9998403,9
2042,1904,Henry Fool (1997),1997,Comedy|Drama,1.9650102,9
1888,3182,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),1999,Documentary,1.9274619,9
184,1649,"Fast, Cheap & Out of Control (1997)",1997,Documentary,1.925336,9
2338,149,Amateur (1994),1994,Crime|Drama|Thriller,1.9212006,9
558,1546,Schizopolis (1996),1996,Comedy,1.9127748,9
1412,501,Naked (1993),1993,Drama,1.8925536,9
210,2323,"Cruise, The (1998)",1998,Documentary,1.8874848,9
2807,347,Bitter Moon (1992),1992,Drama,1.8818333,9
1988,1882,Godzilla (1998),1998,Action|Sci-Fi,1.9999204,10
598,3113,End of Days (1999),1999,Action|Thriller,1.9995486,10
766,420,Beverly Hills Cop III (1994),1994,Action|Comedy,1.9873819,10
1741,1438,Dante's Peak (1997),1997,Action|Thriller,1.9148282,10
2856,415,Another Stakeout (1993),1993,Comedy|Thriller,1.9136984,10
2345,1515,Volcano (1997),1997,Drama|Thriller,1.9042296,10
1746,2412,Rocky V (1990),1990,Action|Drama,1.8781815,10
1972,798,Daylight (1996),1996,Action|Adventure|Thriller,1.8770902,10
1298,886,Bulletproof (1996),1996,Action,1.8762094,10
2768,762,Striptease (1996),1996,Comedy|Crime,1.871005,10
