item_id,item,title,year,genres,item weight,prototype
197,1089,Reservoir Dogs (1992),1992,Crime|Thriller,0.32431164,0
336,778,Trainspotting (1996),1996,Drama,0.31624973,0
163,296,Pulp Fiction (1994),1994,Crime|Drama,0.30122548,0
44,1246,Dead Poets Society (1989),1989,Drama,0.28158492,0
1026,431,Carlito's Way (1993),1993,Crime|Drama,0.2704015,0
109,318,"Shawshank Redemption, The (1994)",1994,Drama,0.26662868,0
288,3246,Malcolm X (1992),1992,Drama,0.26609793,0
185,1213,GoodFellas (1990),1990,Crime|Drama,0.26447454,0
315,47,Seven (Se7en) (1995),1995,Crime|Thriller,0.25992393,0
282,1704,Good Will Hunting (1997),1997,Drama,0.25516614,0
666,2288,"Thing, The (1982)",1982,Action|Horror|Sci-Fi|Thriller,0.43284005,1
1033,1130,"Howling, The (1980)",1980,Horror,0.42681032,1
469,1129,Escape from New York (1981),1981,Action|Adventure|Sci-Fi|Thriller,0.4043045,1
1358,2459,"Texas Chainsaw Massacre, The (1974)",1974,Horror,0.39412925,1
628,2553,Village of the Damned (1960),1960,Horror|Sci-Fi|Thriller,0.38639554,1
677,610,Heavy Metal (1981),1981,Action|Adventure|Animation|Horror|Sci-Fi,0.38140073,1
174,3016,Creepshow (1982),1982,Horror,0.3740844,1
1423,2867,Fright Night (1985),1985,Comedy|Horror,0.37037796,1
679,2527,Westworld (1973),1973,Action|Sci-Fi|Thriller|Western,0.36520806,1
652,2901,Phantasm (1979),1979,Horror|Sci-Fi,0.36122417,1
215,2908,Boys Don't Cry (1999),1999,Drama,0.22749294,2
599,2694,Big Daddy (1999),1999,Comedy,0.19817266,2
838,1958,Terms of Endearment (1983),1983,Comedy|Drama,0.18561487,2
867,2757,Frances (1982),1982,Drama,0.1810297,2
195,2318,Happiness (1998),1998,Comedy,0.18033114,2
186,2599,Election (1999),1999,Comedy,0.17463236,2
2714,2738,Crimes of the Heart (1986),1986,Comedy|Drama,0.17011054,2
897,3543,Diner (1982),1982,Comedy|Drama,0.16995625,2
1047,2485,She's All That (1999),1999,Comedy|Romance,0.16679731,2
716,261,Little Women (1994),1994,Drama,0.16645429,2
373,2140,"Dark Crystal, The (1982)",1982,Children's|Fantasy|Sci-Fi,0.60043204,3
437,1967,Labyrinth (1986),1986,Adventure|Children's|Fantasy,0.5797877,3
