prototype,name,n_descriptors,descriptors
0,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
1,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
2,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
3,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
4,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
5,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
6,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
7,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
8,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
9,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
10,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
11,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
12,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
13,"Loungewear, Ladies Sport Bottoms, Tops Knitwear",3,department_name=Loungewear(score=15.631); department_name=Ladies Sport Bottoms(score=14.522); department_name=Tops Knitwear(score=6.965)
14,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
15,"Loungewear, Ladies Sport Bottoms, Tops Knitwear",3,department_name=Loungewear(score=15.631); department_name=Ladies Sport Bottoms(score=14.522); department_name=Tops Knitwear(score=6.965)
16,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
17,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
18,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
19,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
20,"Pyjama set, Nightwear, Grey",3,product_type_name=Pyjama set(score=18.447); product_group_name=Nightwear(score=10.342); colour_group_name=Grey(score=4.829)
21,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
22,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
23,"Shirt, Shirts, Contemporary Casual",3,department_name=Shirt(score=16.381); garment_group_name=Shirts(score=11.975); section_name=Contemporary Casual(score=9.414)
