prototype,name,n_descriptors,descriptors
0,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
1,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
2,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
3,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
4,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
5,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
6,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
7,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
8,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
9,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
10,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
11,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
12,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
13,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
14,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
15,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
16,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.600); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.400)
17,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
18,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
19,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
20,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
21,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
22,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
23,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
24,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
25,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
26,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
27,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
28,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
29,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
30,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
31,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
32,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
33,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
34,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
35,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.600); graphical_appearance_name=Solid(score=0.450); product_group_name=Garment Upper body(score=0.350)
36,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
37,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
38,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
39,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
40,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
41,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
42,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
43,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
44,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
45,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
46,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
47,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
48,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
49,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
50,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
51,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
52,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
53,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
54,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
55,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
56,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
57,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
58,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
59,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
60,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
61,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
62,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
63,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.750); index_group_name=Ladieswear(score=0.600); product_group_name=Garment Upper body(score=0.550)
64,"Solid, Ladieswear, Garment Upper body",3,graphical_appearance_name=Solid(score=0.550); index_group_name=Ladieswear(score=0.550); product_group_name=Garment Upper body(score=0.450)
65,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
66,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
67,"Ladieswear, Solid, Garment Full body",3,index_group_name=Ladieswear(score=0.750); graphical_appearance_name=Solid(score=0.400); product_group_name=Garment Full body(score=0.250)
