item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
11939,920731001,Accessories,Earring,Solid,Gold,Metal,Ladieswear,Accessories,Womens Small accessories,Jewellery,1.9997592,0
12350,867135004,Garment Full body,Garment Set,Melange,Grey,Grey,Baby/Children,Jersey Basic,Baby Essentials & Complements,Baby basics,1.9996963,0
3466,722803001,Underwear,Bra,Lace,Light Orange,Orange,Ladieswear,"Under-, Nightwear",Womens Lingerie,Functional Lingerie,1.9996953,0
8572,573856024,Garment Lower body,Trousers,Treatment,Blue,Blue,Ladieswear,Trousers,Womens Casual,Trouser,1.9996789,0
2487,856808007,Garment Full body,Dress,Solid,White,White,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,1.9996758,0
5112,925978002,Accessories,Hat/brim,Solid,Yellowish Brown,Brown,Ladieswear,Accessories,Womens Big accessories,Gloves/Hats,1.9996724,0
4076,543548001,Garment Upper body,Hoodie,Solid,Black,Black,Sport,Outdoor,Men H&M Sport,Men Sport Tops,1.9996722,0
12259,624959028,Nightwear,Pyjama set,Mixed solid/pattern,Grey,Grey,Baby/Children,"Under-, Nightwear",Girls Underwear & Basics,Young Girl UW/NW,1.9996684,0
6797,752091012,Garment Lower body,Trousers,Denim,Blue,Blue,Menswear,Trousers Denim,Denim Men,Denim trousers,1.999665,0
11526,844917001,Garment Upper body,Sweater,Other structure,Grey,Grey,Baby/Children,Knitwear,Kids Boy,Kids Boy Knitwear,1.999665,0
11939,920731001,Accessories,Earring,Solid,Gold,Metal,Ladieswear,Accessories,Womens Small accessories,Jewellery,1.9997586,1
12350,867135004,Garment Full body,Garment Set,Melange,Grey,Grey,Baby/Children,Jersey Basic,Baby Essentials & Complements,Baby basics,1.9996957,1
3466,722803001,Underwear,Bra,Lace,Light Orange,Orange,Ladieswear,"Under-, Nightwear",Womens Lingerie,Functional Lingerie,1.9996948,1
8572,573856024,Garment Lower body,Trousers,Treatment,Blue,Blue,Ladieswear,Trousers,Womens Casual,Trouser,1.9996786,1
2487,856808007,Garment Full body,Dress,Solid,White,White,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,1.9996753,1
5112,925978002,Accessories,Hat/brim,Solid,Yellowish Brown,Brown,Ladieswear,Accessories,Womens Big accessories,Gloves/Hats,1.9996722,1
4076,543548001,Garment Upper body,Hoodie,Solid,Black,Black,Sport,Outdoor,Men H&M Sport,Men Sport Tops,1.9996717,1
12259,624959028,Nightwear,Pyjama set,Mixed solid/pattern,Grey,Grey,Baby/Children,"Under-, Nightwear",Girls Underwear & Basics,Young Girl UW/NW,1.9996675,1
11526,844917001,Garment Upper body,Sweater,Other structure,Grey,Grey,Baby/Children,Knitwear,Kids Boy,Kids Boy Knitwear,1.9996648,1
6797,752091012,Garment Lower body,Trousers,Denim,Blue,Blue,Menswear,Trousers Denim,Denim Men,Denim trousers,1.9996645,1
11939,920731001,Accessories,Earring,Solid,Gold,Metal,Ladieswear,Accessories,Womens Small accessories,Jewellery,1.9997597,2
12350,867135004,Garment Full body,Garment Set,Melange,Grey,Grey,Baby/Children,Jersey Basic,Baby Essentials & Complements,Baby basics,1.9996971,2
3466,722803001,Underwear,Bra,Lace,Light Orange,Orange,Ladieswear,"Under-, Nightwear",Womens Lingerie,Functional Lingerie,1.9996958,2
8572,573856024,Garment Lower body,Trousers,Treatment,Blue,Blue,Ladieswear,Trousers,Womens Casual,Trouser,1.9996796,2
2487,856808007,Garment Full body,Dress,Solid,White,White,Ladieswear,Dresses Ladies,Womens Everyday Collection,Dress,1.9996765,2
5112,925978002,Accessories,Hat/brim,Solid,Yellowish Brown,Brown,Ladieswear,Accessories,Womens Big accessories,Gloves/Hats,1.9996729,2
4076,543548001,Garment Upper body,Hoodie,Solid,Black,Black,Sport,Outdoor,Men H&M Sport,Men Sport Tops,1.9996729,2
12259,624959028,Nightwear,Pyjama set,Mixed solid/pattern,Grey,Grey,Baby/Children,"Under-, Nightwear",Girls Underwear & Basics,Young Girl UW/NW,1.9996694,2
6797,752091012,Garment Lower body,Trousers,Denim,Blue,Blue,Menswear,Trousers Denim,Denim Men,Denim trousers,1.9996655,2
