prototype,name,n_descriptors,descriptors
0,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=12.410); department_name=Basic 1(score=11.975)
1,"Bikini top, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Bikini top(score=20.418); section_name=Womens Swimwear, beachwear(score=16.029); department_name=Swimwear(score=15.571)"
2,"Boots, Boots, Skirt",3,department_name=Boots(score=15.001); product_type_name=Boots(score=10.749); department_name=Skirt(score=8.586)
3,"Blanks, Hat/beanie, Knit & Woven",3,department_name=Blanks(score=375.403); product_type_name=Hat/beanie(score=26.252); department_name=Knit & Woven(score=22.018)
4,"Mama, Woven bottoms, Leggings/Tights",3,section_name=Mama(score=38.635); department_name=Woven bottoms(score=25.854); product_type_name=Leggings/Tights(score=10.921)
5,"Dark Turquoise, Suit, Turquoise",3,colour_group_name=Dark Turquoise(score=36.895); department_name=Suit(score=34.559); perceived_colour_master_name=Turquoise(score=16.251)
6,"Blanks, Hat/beanie, Knit & Woven",3,department_name=Blanks(score=375.403); product_type_name=Hat/beanie(score=26.252); department_name=Knit & Woven(score=22.018)
7,"Skirt, Other structure, Skirt",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); product_type_name=Skirt(score=5.987)
8,"Skirt, Other structure, Dress",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); department_name=Dress(score=5.572)
9,"Woven top, H&M+, Woven bottoms",3,department_name=Woven top(score=35.549); section_name=H&M+(score=33.568); department_name=Woven bottoms(score=10.342)
10,"Woven top, H&M+, Woven bottoms",3,department_name=Woven top(score=35.549); section_name=H&M+(score=33.568); department_name=Woven bottoms(score=10.342)
11,"Heavy Basic Jersey, Men Underwear, Denim trousers",3,department_name=Heavy Basic Jersey(score=90.458); section_name=Men Underwear(score=19.541); department_name=Denim trousers(score=12.524)
12,"Skirt, Other structure, Womens Tailoring",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); section_name=Womens Tailoring(score=6.305)
13,"Socks, Glittering/Metallic, Clean Lingerie",3,department_name=Socks(score=56.293); graphical_appearance_name=Glittering/Metallic(score=44.905); department_name=Clean Lingerie(score=18.573)
14,"Woven top, H&M+, Woven bottoms",3,department_name=Woven top(score=35.549); section_name=H&M+(score=33.568); department_name=Woven bottoms(score=10.342)
15,"Woven top, H&M+, Woven bottoms",3,department_name=Woven top(score=35.549); section_name=H&M+(score=33.568); department_name=Woven bottoms(score=10.342)
16,"Skirt, Other structure, Skirt",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); product_type_name=Skirt(score=5.987)
17,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=12.410); department_name=Basic 1(score=11.975)
18,"Trousers, Basic 1, Divided Basics",3,department_name=Trousers(score=24.268); department_name=Basic 1(score=13.685); section_name=Divided Basics(score=12.467)
19,"Skirt, Other structure, Womens Tailoring",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); section_name=Womens Tailoring(score=6.305)
20,"Skirt, Other structure, Womens Tailoring",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); section_name=Womens Tailoring(score=6.305)
21,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=60.225); section_name=Ladies H&M Sport(score=37.710); index_group_name=Sport(score=30.201)
22,"Mama, Woven bottoms, Leggings/Tights",3,section_name=Mama(score=38.635); department_name=Woven bottoms(score=25.854); product_type_name=Leggings/Tights(score=10.921)
23,"Skirt, Other structure, Womens Tailoring",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); section_name=Womens Tailoring(score=6.305)
24,"Boots, Boots, Skirt",3,department_name=Boots(score=15.001); product_type_name=Boots(score=10.749); department_name=Skirt(score=8.586)
25,"Socks, Glittering/Metallic, Socks",3,department_name=Socks(score=56.293); graphical_appearance_name=Glittering/Metallic(score=44.905); product_type_name=Socks(score=16.648)
26,"Skirt, Dressed, Womens Tailoring",3,department_name=Skirt(score=8.586); garment_group_name=Dressed(score=7.626); section_name=Womens Tailoring(score=7.093)
27,"Socks, Glittering/Metallic, Clean Lingerie",3,department_name=Socks(score=56.293); graphical_appearance_name=Glittering/Metallic(score=44.905); department_name=Clean Lingerie(score=18.573)
28,"Heavy Basic Jersey, Men Underwear, Light Basic Jersey",3,department_name=Heavy Basic Jersey(score=98.682); section_name=Men Underwear(score=20.937); department_name=Light Basic Jersey(score=10.892)
29,"Heavy Basic Jersey, Men Underwear, Hoodie",3,department_name=Heavy Basic Jersey(score=98.682); section_name=Men Underwear(score=20.937); product_type_name=Hoodie(score=12.102)
30,"Dark Turquoise, Suit, Turquoise",3,colour_group_name=Dark Turquoise(score=36.895); department_name=Suit(score=34.559); perceived_colour_master_name=Turquoise(score=16.251)
31,"Mama, Woven bottoms, Leggings/Tights",3,section_name=Mama(score=38.635); department_name=Woven bottoms(score=25.854); product_type_name=Leggings/Tights(score=10.921)
32,"Skirt, Dressed, Womens Tailoring",3,department_name=Skirt(score=8.586); garment_group_name=Dressed(score=7.626); section_name=Womens Tailoring(score=7.093)
33,"Skirt, Other structure, Womens Tailoring",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); section_name=Womens Tailoring(score=5.517)
34,"Boots, Boots, Skirt",3,department_name=Boots(score=15.001); product_type_name=Boots(score=10.749); department_name=Skirt(score=8.586)
35,"Bikini top, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Bikini top(score=20.418); section_name=Womens Swimwear, beachwear(score=16.029); department_name=Swimwear(score=15.571)"
36,"Skirt, Skirt, Dress",3,department_name=Skirt(score=8.586); product_type_name=Skirt(score=5.987); department_name=Dress(score=5.572)
37,"Trousers, Basic 1, Divided Basics",3,department_name=Trousers(score=24.268); department_name=Basic 1(score=13.685); section_name=Divided Basics(score=12.467)
38,"Skirt, Womens Tailoring, Dressed",3,department_name=Skirt(score=8.586); section_name=Womens Tailoring(score=7.882); garment_group_name=Dressed(score=7.626)
39,"Dark Turquoise, Suit, Turquoise",3,colour_group_name=Dark Turquoise(score=36.895); department_name=Suit(score=34.559); perceived_colour_master_name=Turquoise(score=16.251)
40,"Woven top, H&M+, Woven bottoms",3,department_name=Woven top(score=35.549); section_name=H&M+(score=33.568); department_name=Woven bottoms(score=10.342)
41,"Dark Turquoise, Suit, Turquoise",3,colour_group_name=Dark Turquoise(score=36.895); department_name=Suit(score=34.559); perceived_colour_master_name=Turquoise(score=16.251)
42,"Boots, Boots, Skirt",3,department_name=Boots(score=15.001); product_type_name=Boots(score=10.749); department_name=Skirt(score=8.586)
43,"Dark Turquoise, Suit, Turquoise",3,colour_group_name=Dark Turquoise(score=36.895); department_name=Suit(score=34.559); perceived_colour_master_name=Turquoise(score=16.251)
44,"Blanks, Hat/beanie, Knit & Woven",3,department_name=Blanks(score=375.403); product_type_name=Hat/beanie(score=26.252); department_name=Knit & Woven(score=22.018)
45,"Skirt, Womens Tailoring, Dressed",3,department_name=Skirt(score=8.586); section_name=Womens Tailoring(score=7.882); garment_group_name=Dressed(score=7.626)
46,"Skirt, Other structure, Womens Tailoring",3,department_name=Skirt(score=8.586); graphical_appearance_name=Other structure(score=6.563); section_name=Womens Tailoring(score=5.517)
47,"Skirt, Womens Tailoring, Skirt",3,department_name=Skirt(score=8.586); section_name=Womens Tailoring(score=7.093); product_type_name=Skirt(score=5.987)
48,"Socks, Glittering/Metallic, Socks",3,department_name=Socks(score=63.329); graphical_appearance_name=Glittering/Metallic(score=53.886); product_type_name=Socks(score=18.729)
49,"Mama, Woven bottoms, Leggings/Tights",3,section_name=Mama(score=38.635); department_name=Woven bottoms(score=25.854); product_type_name=Leggings/Tights(score=10.921)
50,"Mama, Woven bottoms, Leggings/Tights",3,section_name=Mama(score=38.635); department_name=Woven bottoms(score=25.854); product_type_name=Leggings/Tights(score=10.921)
51,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=12.410); department_name=Basic 1(score=11.975)
52,"Socks, Glittering/Metallic, Socks",3,department_name=Socks(score=63.329); graphical_appearance_name=Glittering/Metallic(score=53.886); product_type_name=Socks(score=18.729)
53,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=60.225); section_name=Ladies H&M Sport(score=37.710); index_group_name=Sport(score=30.201)
54,"Mama, Woven bottoms, Leggings/Tights",3,section_name=Mama(score=38.635); department_name=Woven bottoms(score=25.854); product_type_name=Leggings/Tights(score=10.921)
55,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=60.225); section_name=Ladies H&M Sport(score=37.710); index_group_name=Sport(score=30.201)
