prototype,name,n_descriptors,descriptors
0,"Divided, Solid, Garment Lower body",3,index_group_name=Divided(score=0.950); graphical_appearance_name=Solid(score=0.550); product_group_name=Garment Lower body(score=0.500)
1,"Ladieswear, Swimwear, Swimwear",3,index_group_name=Ladieswear(score=0.750); department_name=Swimwear(score=0.600); garment_group_name=Swimwear(score=0.600)
2,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.500); section_name=Womens Tailoring(score=0.400)
3,"Solid, Blanks, Jersey Basic",3,graphical_appearance_name=Solid(score=0.750); department_name=Blanks(score=0.550); garment_group_name=Jersey Basic(score=0.550)
4,"Ladieswear, Mama, Solid",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); graphical_appearance_name=Solid(score=0.600)
5,"Ladieswear, Womens Tailoring, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); section_name=Womens Tailoring(score=1.000); product_group_name=Garment Upper body(score=0.800)
6,"Solid, Blanks, Jersey Basic",3,graphical_appearance_name=Solid(score=0.750); department_name=Blanks(score=0.550); garment_group_name=Jersey Basic(score=0.550)
7,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.550); section_name=Womens Everyday Collection(score=0.400)
8,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.450)
9,"Ladieswear, H&M+, Solid",3,index_group_name=Ladieswear(score=0.900); section_name=H&M+(score=0.900); graphical_appearance_name=Solid(score=0.800)
10,"Ladieswear, H&M+, Solid",3,index_group_name=Ladieswear(score=0.900); section_name=H&M+(score=0.900); graphical_appearance_name=Solid(score=0.800)
11,"Menswear, Garment Upper body, Jersey Basic",3,index_group_name=Menswear(score=0.900); product_group_name=Garment Upper body(score=0.900); garment_group_name=Jersey Basic(score=0.750)
12,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.550); section_name=Womens Tailoring(score=0.400)
13,"Ladieswear, Solid, Under-, Nightwear",3,"index_group_name=Ladieswear(score=0.850); graphical_appearance_name=Solid(score=0.550); garment_group_name=Under-, Nightwear(score=0.450)"
14,"Ladieswear, H&M+, Solid",3,index_group_name=Ladieswear(score=0.900); section_name=H&M+(score=0.900); graphical_appearance_name=Solid(score=0.800)
15,"Ladieswear, H&M+, Solid",3,index_group_name=Ladieswear(score=0.900); section_name=H&M+(score=0.900); graphical_appearance_name=Solid(score=0.800)
16,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.450)
17,"Divided, Solid, Garment Lower body",3,index_group_name=Divided(score=0.950); graphical_appearance_name=Solid(score=0.550); product_group_name=Garment Lower body(score=0.500)
18,"Divided, Solid, Garment Lower body",3,index_group_name=Divided(score=0.950); graphical_appearance_name=Solid(score=0.600); product_group_name=Garment Lower body(score=0.500)
19,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.650); section_name=Womens Everyday Collection(score=0.450)
20,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.400)
21,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
22,"Ladieswear, Mama, Solid",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); graphical_appearance_name=Solid(score=0.600)
23,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.400)
24,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.500); section_name=Womens Everyday Collection(score=0.350)
25,"Ladieswear, Solid, Under-, Nightwear",3,"index_group_name=Ladieswear(score=0.850); graphical_appearance_name=Solid(score=0.500); garment_group_name=Under-, Nightwear(score=0.450)"
26,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Tailoring(score=0.450)
27,"Ladieswear, Solid, Under-, Nightwear",3,"index_group_name=Ladieswear(score=0.850); graphical_appearance_name=Solid(score=0.550); garment_group_name=Under-, Nightwear(score=0.450)"
28,"Garment Upper body, Menswear, Jersey Basic",3,product_group_name=Garment Upper body(score=0.950); index_group_name=Menswear(score=0.900); garment_group_name=Jersey Basic(score=0.800)
29,"Garment Upper body, Menswear, Jersey Basic",3,product_group_name=Garment Upper body(score=0.950); index_group_name=Menswear(score=0.900); garment_group_name=Jersey Basic(score=0.800)
30,"Ladieswear, Womens Tailoring, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); section_name=Womens Tailoring(score=1.000); product_group_name=Garment Upper body(score=0.800)
31,"Ladieswear, Mama, Solid",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); graphical_appearance_name=Solid(score=0.600)
32,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.500); section_name=Womens Tailoring(score=0.450)
33,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.450)
34,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.500); section_name=Womens Everyday Collection(score=0.400)
35,"Ladieswear, Swimwear, Swimwear",3,index_group_name=Ladieswear(score=0.750); department_name=Swimwear(score=0.600); garment_group_name=Swimwear(score=0.600)
36,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.500)
37,"Divided, Solid, Garment Lower body",3,index_group_name=Divided(score=0.950); graphical_appearance_name=Solid(score=0.600); product_group_name=Garment Lower body(score=0.500)
38,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Tailoring(score=0.500)
39,"Ladieswear, Womens Tailoring, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); section_name=Womens Tailoring(score=1.000); product_group_name=Garment Upper body(score=0.800)
40,"Ladieswear, H&M+, Solid",3,index_group_name=Ladieswear(score=0.900); section_name=H&M+(score=0.900); graphical_appearance_name=Solid(score=0.800)
41,"Ladieswear, Womens Tailoring, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); section_name=Womens Tailoring(score=1.000); product_group_name=Garment Upper body(score=0.800)
42,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.500); section_name=Womens Tailoring(score=0.450)
43,"Ladieswear, Womens Tailoring, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); section_name=Womens Tailoring(score=1.000); product_group_name=Garment Upper body(score=0.800)
44,"Solid, Blanks, Jersey Basic",3,graphical_appearance_name=Solid(score=0.750); department_name=Blanks(score=0.550); garment_group_name=Jersey Basic(score=0.550)
45,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.500); section_name=Womens Tailoring(score=0.500)
46,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.600); section_name=Womens Everyday Collection(score=0.400)
47,"Ladieswear, Solid, Womens Everyday Collection",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.650); section_name=Womens Everyday Collection(score=0.450)
48,"Ladieswear, Solid, Socks",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.500); department_name=Socks(score=0.450)
49,"Ladieswear, Mama, Jersey",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); department_name=Jersey(score=0.600)
50,"Ladieswear, Mama, Solid",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); graphical_appearance_name=Solid(score=0.600)
51,"Divided, Solid, Garment Lower body",3,index_group_name=Divided(score=0.950); graphical_appearance_name=Solid(score=0.550); product_group_name=Garment Lower body(score=0.500)
52,"Ladieswear, Solid, Socks",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.500); department_name=Socks(score=0.450)
53,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
54,"Ladieswear, Mama, Solid",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); graphical_appearance_name=Solid(score=0.600)
55,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
56,"Ladieswear, Swimwear, Swimwear",3,index_group_name=Ladieswear(score=0.750); department_name=Swimwear(score=0.600); garment_group_name=Swimwear(score=0.600)
57,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
58,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=0.950); graphical_appearance_name=Solid(score=0.450); section_name=Womens Tailoring(score=0.450)
59,"Ladieswear, Mama, Solid",3,index_group_name=Ladieswear(score=1.000); section_name=Mama(score=0.900); graphical_appearance_name=Solid(score=0.600)
