prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,index_group_name,Divided,16,20,0.8,0.2062119991209435,3.8795026642984016,0.8,True
0,product_group_name,Garment Upper body,12,20,0.6,0.38905574683173394,1.5421954434193184,0.6,True
0,graphical_appearance_name,Solid,10,20,0.5,0.5812760969892315,0.8601764335223693,0.5,False
0,garment_group_name,Jersey Basic,10,20,0.5,0.09003003442971211,5.5537021969080556,0.5,True
0,product_type_name,Trousers,7,20,0.35,0.1310526701340561,2.6706819452207937,0.35,False
0,product_group_name,Garment Lower body,7,20,0.35,0.2052596879349498,1.7051570306923627,0.35,False
0,colour_group_name,Black,6,20,0.3,0.28027250750860744,1.0703868269733403,0.3,False
0,perceived_colour_master_name,Black,6,20,0.3,0.28173760164090544,1.0648205928237129,0.3,False
0,section_name,Divided Basics,6,20,0.3,0.03208556149732621,9.349999999999998,0.3,False
0,section_name,Divided Collection,6,20,0.3,0.10409493809977291,2.881984517945109,0.3,False
0,department_name,Basic 1,6,20,0.3,0.029228627939345102,10.26390977443609,0.3,False
0,product_type_name,Sweater,5,20,0.25,0.0791883378507069,3.157030527289547,0.25,False
0,perceived_colour_master_name,Blue,5,20,0.25,0.11933191707567212,2.0949969306322895,0.25,False
0,colour_group_name,Grey,4,20,0.2,0.031059995604717602,6.439150943396227,0.2,False
0,perceived_colour_master_name,Grey,4,20,0.2,0.07113032012306791,2.8117404737384137,0.2,False
0,graphical_appearance_name,Embroidery,4,20,0.2,0.012087026591458501,16.546666666666667,0.2,False
0,graphical_appearance_name,Denim,4,20,0.2,0.074719800747198,2.676666666666667,0.2,False
0,garment_group_name,Trousers,4,20,0.2,0.0825580543549923,2.4225377107364685,0.2,False
0,index_group_name,Ladieswear,4,20,0.2,0.5894806241301004,0.3392817198956133,0.2,False
0,section_name,Womens Everyday Basics,4,20,0.2,0.027177496154127904,7.359029649595687,0.2,False
0,department_name,Trousers,4,20,0.2,0.0164823089883525,12.134222222222222,0.2,False
0,department_name,Jersey Basic,4,20,0.2,0.026737967914438502,7.48,0.2,False
0,product_type_name,Top,3,20,0.15,0.050692256977510806,2.959031791907514,0.15,False
0,product_type_name,T-shirt,3,20,0.15,0.05757819939931141,2.605152671755725,0.15,False
0,garment_group_name,Trousers Denim,3,20,0.15,0.0430737674895612,3.4823979591836736,0.15,False
0,section_name,Ladies Denim,3,20,0.15,0.028862354406270604,5.1970812182741115,0.15,False
0,department_name,Denim Trousers,3,20,0.15,0.0171416013478866,8.750641025641025,0.15,False
0,colour_group_name,Greenish Khaki,2,20,0.1,0.027910043220276903,3.5829396325459317,0.1,False
0,colour_group_name,Blue,2,20,0.1,0.033330891509779505,3.0002197802197803,0.1,False
0,colour_group_name,Dark Blue,2,20,0.1,0.058970038824994506,1.695776397515528,0.1,False
0,colour_group_name,White,2,20,0.1,0.0960369203721339,1.041266209000763,0.1,False
0,perceived_colour_master_name,Khaki green,2,20,0.1,0.035015749761922205,2.855857740585774,0.1,False
0,perceived_colour_master_name,White,2,20,0.1,0.12797597245623032,0.7813966800228964,0.1,False
0,graphical_appearance_name,Melange,2,20,0.1,0.0617537176763607,1.6193357058125744,0.1,False
0,product_type_name,Cross-body bag,1,20,0.05,0.00021976411984470003,227.51666666666668,0.05,False
0,product_type_name,Jacket,1,20,0.05,0.0312797597245623,1.5984777517564404,0.05,False
0,product_group_name,Bags,1,20,0.05,0.0009523111859937001,52.503846153846155,0.05,False
0,colour_group_name,Light Blue,1,20,0.05,0.026957732034283203,1.8547554347826087,0.05,False
0,colour_group_name,Light Purple,1,20,0.05,0.008717310087173101,5.735714285714286,0.05,False
0,perceived_colour_master_name,Lilac Purple,1,20,0.05,0.014724196029594901,3.395771144278607,0.05,False
0,garment_group_name,Accessories,1,20,0.05,0.0962566844919786,0.5194444444444445,0.05,False
0,garment_group_name,Outdoor,1,20,0.05,0.033697165042854006,1.483804347826087,0.05,False
0,garment_group_name,Knitwear,1,20,0.05,0.06695480184601861,0.7467724288840263,0.05,False
0,section_name,Divided Accessories,1,20,0.05,0.013991648963445902,3.573560209424084,0.05,False
0,department_name,Bags,1,20,0.05,0.009596366566551901,5.21030534351145,0.05,False
0,department_name,Outdoor/Blazers,1,20,0.05,0.0098161306863966,5.093656716417911,0.05,False
0,department_name,Tops Knitwear,1,20,0.05,0.014357922496520402,3.4823979591836736,0.05,False
1,index_group_name,Ladieswear,16,20,0.8,0.5894806241301004,1.3571268795824531,0.8,True
1,graphical_appearance_name,Solid,11,20,0.55,0.5812760969892315,0.9461940768746062,0.55,True
1,product_group_name,Garment Upper body,10,20,0.5,0.38905574683173394,1.2851628695160986,0.5,True
1,colour_group_name,Black,5,20,0.25,0.28027250750860744,0.8919890224777836,0.25,False
1,perceived_colour_master_name,Black,5,20,0.25,0.28173760164090544,0.8873504940197607,0.25,False
1,graphical_appearance_name,Melange,5,20,0.25,0.0617537176763607,4.048339264531435,0.25,False
1,garment_group_name,Knitwear,5,20,0.25,0.06695480184601861,3.733862144420131,0.25,False
1,department_name,Knitwear,5,20,0.25,0.039557541572046,6.319907407407408,0.25,False
1,product_group_name,Garment Lower body,4,20,0.2,0.2052596879349498,0.9743754461099216,0.2,False
1,perceived_colour_master_name,Grey,4,20,0.2,0.07113032012306791,2.8117404737384137,0.2,False
1,perceived_colour_master_name,Beige,4,20,0.2,0.08482895026005421,2.357685664939551,0.2,False
1,index_group_name,Divided,4,20,0.2,0.2062119991209435,0.9698756660746004,0.2,False
1,section_name,Womens Everyday Collection,4,20,0.2,0.12218885063365321,1.636810551558753,0.2,False
1,product_type_name,Jacket,3,20,0.15,0.0312797597245623,4.79543325526932,0.15,False
1,colour_group_name,Grey,3,20,0.15,0.031059995604717602,4.8293632075471695,0.15,False
1,perceived_colour_master_name,Blue,3,20,0.15,0.11933191707567212,1.2569981583793737,0.15,False
1,graphical_appearance_name,Denim,3,20,0.15,0.074719800747198,2.0075000000000003,0.15,False
1,garment_group_name,Outdoor,3,20,0.15,0.033697165042854006,4.451413043478261,0.15,False
1,garment_group_name,Blouses,3,20,0.15,0.0860742802725075,1.7426808510638299,0.15,False
1,section_name,"Womens Nightwear, Socks & Tigh",3,20,0.15,0.034869240348692404,4.301785714285714,0.15,False
1,section_name,Womens Jackets,3,20,0.15,0.0136986301369863,10.950000000000001,0.15,False
1,section_name,Womens Trend,3,20,0.15,0.030986740898102702,4.840780141843972,0.15,False
1,department_name,Outwear,3,20,0.15,0.0150172148560545,9.988536585365853,0.15,False
1,department_name,Blouse & Dress,3,20,0.15,0.013478866017141601,11.128532608695652,0.15,False
1,product_type_name,Cardigan,2,20,0.1,0.014064903670060802,7.109895833333334,0.1,False
1,product_type_name,Unknown,2,20,0.1,0.006080140649036701,16.44698795180723,0.1,False
1,product_type_name,Sweater,2,20,0.1,0.0791883378507069,1.2628122109158189,0.1,False
1,product_type_name,Skirt,2,20,0.1,0.033404146216394405,2.993640350877193,0.1,False
1,product_type_name,Trousers,2,20,0.1,0.1310526701340561,0.7630519843487983,0.1,False
1,product_group_name,Unknown,2,20,0.1,0.006080140649036701,16.44698795180723,0.1,False
1,colour_group_name,Beige,2,20,0.1,0.04585744634092741,2.1806709265175717,0.1,False
