item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
958,554450036,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Divided,Trousers,Divided Collection,Trousers,0.66731083,0
1860,706016038,Garment Lower body,Trousers,Solid,Blue,Blue,Divided,Trousers,Divided Collection,Trousers,0.655272,0
476,706016003,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Divided,Trousers,Divided Collection,Trousers,0.64638054,0
383,621381012,Garment Lower body,Trousers,Solid,Black,Black,Divided,Trousers,Divided Collection,Trousers,0.64584583,0
4047,621381014,Garment Lower body,Trousers,Solid,Dark Blue,Blue,Divided,Trousers,Divided Collection,Trousers,0.6076754,0
2826,677930086,Garment Upper body,Sweater,Embroidery,Grey,Grey,Divided,Jersey Basic,Divided Basics,Basic 1,0.6019602,0
2117,867966002,Garment Lower body,Trousers,Denim,Grey,Grey,Divided,Trousers Denim,Ladies Denim,Denim Trousers,0.576969,0
1277,554450001,Garment Lower body,Trousers,Solid,Black,Black,Divided,Trousers,Divided Collection,Trousers,0.5750477,0
8310,677930077,Garment Upper body,Sweater,Embroidery,Greenish Khaki,Khaki green,Divided,Jersey Basic,Divided Basics,Basic 1,0.57337564,0
752,867966009,Garment Lower body,Trousers,Denim,Blue,Blue,Divided,Trousers Denim,Ladies Denim,Denim Trousers,0.5722644,0
3838,599580072,Swimwear,Swimwear bottom,All over pattern,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,0.6477589,1
4580,811925002,Swimwear,Bikini top,All over pattern,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,0.64221126,1
1393,832331003,Swimwear,Swimwear bottom,All over pattern,Dark Orange,Orange,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,0.634643,1
