prototype,name,n_descriptors,descriptors
0,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
1,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
2,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
3,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
4,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=40.150)
5,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
6,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
7,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=36.804)
8,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
9,"Mesh, Ladies Sport Bottoms, Ladies Sport Bras",3,graphical_appearance_name=Mesh(score=56.879); department_name=Ladies Sport Bottoms(score=50.828); department_name=Ladies Sport Bras(score=40.150)
10,"Loungewear, Suit jacket, Cardigan",3,department_name=Loungewear(score=31.262); department_name=Suit jacket(score=18.700); product_type_name=Cardigan(score=10.665)
11,"Woven bottoms, Mama, Leggings/Tights",3,department_name=Woven bottoms(score=20.683); section_name=Mama(score=19.317); product_type_name=Leggings/Tights(score=10.921)
