prototype,name,n_descriptors,descriptors
0,"Heavy Basic Jersey, Tops Knitwear, Knitwear",3,department_name=Heavy Basic Jersey(score=0.993); department_name=Tops Knitwear(score=0.989); department_name=Knitwear(score=0.982)
1,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
2,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
3,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
4,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
5,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
6,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
7,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
8,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
9,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
10,"Swimwear, Womens Swimwear, beachwear, Shorts",3,"department_name=Swimwear(score=0.999); section_name=Womens Swimwear, beachwear(score=0.997); product_type_name=Shorts(score=0.994)"
11,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
12,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
13,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
14,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
15,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
16,"Divided+ inactive from s.1, Hairband, Other Accessories",3,department_name=Divided+ inactive from s.1(score=0.972); product_type_name=Hairband(score=0.852); department_name=Other Accessories(score=0.820)
17,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
18,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
19,"Heavy Basic Jersey, Tops Knitwear, Knitwear",3,department_name=Heavy Basic Jersey(score=0.993); department_name=Tops Knitwear(score=0.989); department_name=Knitwear(score=0.982)
20,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
21,"Heavy Basic Jersey, Tops Knitwear, Knitwear",3,department_name=Heavy Basic Jersey(score=0.993); department_name=Tops Knitwear(score=0.989); department_name=Knitwear(score=0.982)
22,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
23,"Heavy Basic Jersey, Tops Knitwear, Knitwear",3,department_name=Heavy Basic Jersey(score=0.993); department_name=Tops Knitwear(score=0.990); department_name=Knitwear(score=0.982)
24,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
25,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
26,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
27,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
28,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
29,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
30,"Heavy Basic Jersey, Tops Knitwear, Knitwear",3,department_name=Heavy Basic Jersey(score=0.993); department_name=Tops Knitwear(score=0.989); department_name=Knitwear(score=0.982)
31,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
32,"Jersey/Knitwear Premium, Divided Projects, Tote bag",3,department_name=Jersey/Knitwear Premium(score=0.961); section_name=Divided Projects(score=0.955); product_type_name=Tote bag(score=0.953)
33,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
34,"Heavy Basic Jersey, Tops Knitwear, Knitwear",3,department_name=Heavy Basic Jersey(score=0.993); department_name=Tops Knitwear(score=0.989); department_name=Knitwear(score=0.982)
35,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
36,"Jersey/Knitwear Premium, Divided Projects, Tote bag",3,department_name=Jersey/Knitwear Premium(score=0.961); section_name=Divided Projects(score=0.955); product_type_name=Tote bag(score=0.953)
37,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
38,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
39,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
40,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
41,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
42,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
43,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
44,"Swimwear, Womens Swimwear, beachwear, Swimwear bottom",3,"department_name=Swimwear(score=1.000); section_name=Womens Swimwear, beachwear(score=0.999); product_type_name=Swimwear bottom(score=0.996)"
