prototype,name,n_descriptors,descriptors
0,"Trousers & Skirt, Blouse & Dress, Womens Trend",3,department_name=Trousers & Skirt(score=87.506); department_name=Blouse & Dress(score=33.386); section_name=Womens Trend(score=22.590)
1,"Shirt, Shirt, Contemporary Casual",3,department_name=Shirt(score=32.762); product_type_name=Shirt(score=31.600); section_name=Contemporary Casual(score=28.243)
2,"Trouser, Dress, Contemporary Smart",3,department_name=Trouser(score=12.328); department_name=Dress(score=11.144); section_name=Contemporary Smart(score=11.098)
3,"Knitwear Basic, Loungewear, Womens Everyday Basics",3,department_name=Knitwear Basic(score=151.678); department_name=Loungewear(score=36.472); section_name=Womens Everyday Basics(score=23.917)
4,"Womens Casual, Trouser, Stripe",3,section_name=Womens Casual(score=24.016); department_name=Trouser(score=16.812); graphical_appearance_name=Stripe(score=13.318)
5,"Men Sport Woven, Jersey/Knitwear Premium, Men H&M Sport",3,department_name=Men Sport Woven(score=45.503); department_name=Jersey/Knitwear Premium(score=32.894); section_name=Men H&M Sport(score=25.920)
6,"Swimwear bottom, Bikini top, Womens Swimwear, beachwear",3,"product_type_name=Swimwear bottom(score=29.936); product_type_name=Bikini top(score=29.169); section_name=Womens Swimwear, beachwear(score=26.714)"
7,"Light Beige, Dress, Womens Tailoring",3,colour_group_name=Light Beige(score=20.905); department_name=Dress(score=16.716); section_name=Womens Tailoring(score=13.399)
8,"Divided+, Unknown, Jacket",3,department_name=Divided+(score=60.821); garment_group_name=Unknown(score=26.593); product_type_name=Jacket(score=23.977)
9,"Mixed solid/pattern, H&M+, Jersey",3,graphical_appearance_name=Mixed solid/pattern(score=28.440); section_name=H&M+(score=26.108); department_name=Jersey(score=16.447)
10,"Ladies Sport Bottoms, Ladies Sport Bras, Ladies H&M Sport",3,department_name=Ladies Sport Bottoms(score=43.567); department_name=Ladies Sport Bras(score=36.804); section_name=Ladies H&M Sport(score=32.053)
11,"Light Basic Jersey, T-shirt, H&M+",3,department_name=Light Basic Jersey(score=32.675); product_type_name=T-shirt(score=17.368); section_name=H&M+(score=16.784)
12,"Kids Girl Knitwear, Kids Girl, Dark Grey",3,department_name=Kids Girl Knitwear(score=85.319); section_name=Kids Girl(score=29.676); colour_group_name=Dark Grey(score=23.830)
13,"Shopbasket Socks, Contrast, Socks",3,department_name=Shopbasket Socks(score=78.325); graphical_appearance_name=Contrast(score=29.045); product_type_name=Socks(score=14.567)
14,"Scarves, Scarf, Light Beige",3,department_name=Scarves(score=31.502); product_type_name=Scarf(score=25.280); colour_group_name=Light Beige(score=19.860)
15,"Hair Accessories, Hair/alice band, Pyjama bottom",3,department_name=Hair Accessories(score=45.721); product_type_name=Hair/alice band(score=39.486); product_type_name=Pyjama bottom(score=39.003)
16,"Basic 1, Divided Basics, Woven Tops",3,department_name=Basic 1(score=25.660); section_name=Divided Basics(score=23.375); department_name=Woven Tops(score=21.668)
17,"Young Girl Denim, Young Boy Denim, Denim trousers",3,department_name=Young Girl Denim(score=59.352); department_name=Young Boy Denim(score=41.367); department_name=Denim trousers(score=31.310)
18,"Denim Trousers, Loungewear, Ladies Denim",3,department_name=Denim Trousers(score=40.836); department_name=Loungewear(score=31.262); section_name=Ladies Denim(score=24.253)
19,"Light Pink, Dress, Dresses Ladies",3,colour_group_name=Light Pink(score=19.035); department_name=Dress(score=18.108); garment_group_name=Dresses Ladies(score=12.779)
20,"Casual Lingerie, Underwear bottom, Expressive Lingerie",3,department_name=Casual Lingerie(score=31.284); product_type_name=Underwear bottom(score=20.878); department_name=Expressive Lingerie(score=19.111)
