prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,department_name,Trousers & Skirt,5,20,0.25,0.0028569335579811004,87.50641025641025,87.50641025641025,True
0,department_name,Blouse & Dress,9,20,0.45,0.013478866017141601,33.38559782608696,33.38559782608696,True
0,section_name,Womens Trend,14,20,0.7,0.030986740898102702,22.5903073286052,22.5903073286052,True
0,department_name,Campaigns,1,20,0.05,0.0023441506116768,21.329687500000002,21.329687500000002,False
0,graphical_appearance_name,Jacquard,2,20,0.1,0.005127829463043,19.501428571428573,19.501428571428573,False
0,graphical_appearance_name,Lace,4,20,0.2,0.012673064244377702,15.78150289017341,15.78150289017341,False
0,garment_group_name,Special Offers,1,20,0.05,0.0035162259175152005,14.219791666666667,14.219791666666667,False
0,colour_group_name,Light Orange,4,20,0.2,0.014724196029594901,13.583084577114429,13.583084577114429,False
0,graphical_appearance_name,Other structure,6,20,0.3,0.022855468463848803,13.125961538461537,13.125961538461537,False
0,department_name,Suit jacket,1,20,0.05,0.0053475935828877,9.350000000000001,9.350000000000001,False
0,graphical_appearance_name,Embroidery,2,20,0.1,0.012087026591458501,8.273333333333333,8.273333333333333,False
0,product_type_name,Blouse,7,20,0.35,0.045344663394623105,7.718659127625202,7.718659127625202,False
0,perceived_colour_master_name,Orange,4,20,0.2,0.0273972602739726,7.300000000000001,7.300000000000001,False
0,graphical_appearance_name,Dot,1,20,0.05,0.007252215954875101,6.894444444444445,6.894444444444445,False
0,colour_group_name,Light Beige,6,20,0.3,0.0478353234195297,6.271516079632466,6.271516079632466,False
0,garment_group_name,Blouses,10,20,0.5,0.0860742802725075,5.808936170212766,5.808936170212766,False
0,perceived_colour_master_name,Beige,9,20,0.45,0.08482895026005421,5.304792746113989,5.304792746113989,False
0,graphical_appearance_name,Check,2,20,0.1,0.023001977877078604,4.347452229299363,4.347452229299363,False
0,product_type_name,Trousers,10,20,0.5,0.1310526701340561,3.815259921743991,3.815259921743991,False
0,garment_group_name,Dressed,1,20,0.05,0.013112592484067102,3.813128491620112,3.813128491620112,False
0,product_type_name,Blazer,1,20,0.05,0.014211413083290601,3.5182989690721653,3.5182989690721653,False
0,department_name,Basic 1,2,20,0.1,0.029228627939345102,3.4213032581453637,3.4213032581453637,False
0,department_name,Ladies Sport Bras,1,20,0.05,0.014943960149439602,3.345833333333333,3.345833333333333,False
0,colour_group_name,Beige,3,20,0.15,0.04585744634092741,3.2710063897763577,3.2710063897763577,False
0,section_name,Divided Basics,2,20,0.1,0.03208556149732621,3.1166666666666667,3.1166666666666667,False
0,garment_group_name,Trousers,5,20,0.25,0.0825580543549923,3.0281721384205857,3.0281721384205857,False
0,product_group_name,Garment Lower body,10,20,0.5,0.2052596879349498,2.4359386152748037,2.4359386152748037,False
0,section_name,Ladies H&M Sport,1,20,0.05,0.0265182037945938,1.885497237569061,1.885497237569061,False
0,index_group_name,Sport,1,20,0.05,0.033111127389934804,1.510066371681416,1.510066371681416,False
0,index_group_name,Ladieswear,17,20,0.85,0.5894806241301004,1.4419473095563564,1.4419473095563564,False
0,section_name,Womens Everyday Collection,3,20,0.15,0.12218885063365321,1.2276079136690647,1.2276079136690647,False
0,product_group_name,Garment Upper body,9,20,0.45,0.38905574683173394,1.156646582564489,1.156646582564489,False
0,department_name,Blouse,1,20,0.05,0.043293531609405904,1.154906937394247,1.154906937394247,False
0,garment_group_name,Jersey Basic,2,20,0.1,0.09003003442971211,1.1107404393816112,1.1107404393816112,False
0,colour_group_name,Black,6,20,0.3,0.28027250750860744,1.0703868269733403,1.0703868269733403,False
0,perceived_colour_master_name,Black,6,20,0.3,0.28173760164090544,1.0648205928237129,1.0648205928237129,False
0,product_type_name,T-shirt,1,20,0.05,0.05757819939931141,0.8683842239185751,0.8683842239185751,False
0,colour_group_name,Dark Blue,1,20,0.05,0.058970038824994506,0.847888198757764,0.847888198757764,False
0,graphical_appearance_name,Denim,1,20,0.05,0.074719800747198,0.6691666666666668,0.6691666666666668,False
0,index_group_name,Divided,2,20,0.1,0.2062119991209435,0.4849378330373002,0.4849378330373002,False
0,product_type_name,Dress,1,20,0.05,0.11750054941029961,0.4255299251870325,0.4255299251870325,False
0,perceived_colour_master_name,Blue,1,20,0.05,0.11933191707567212,0.41899938612645793,0.41899938612645793,False
0,product_group_name,Garment Full body,1,20,0.05,0.1304666324811369,0.3832397529477822,0.3832397529477822,False
0,garment_group_name,Jersey Fancy,1,20,0.05,0.16672771225551242,0.299890158172232,0.299890158172232,False
0,graphical_appearance_name,Solid,2,20,0.1,0.5812760969892315,0.17203528670447385,0.17203528670447385,False
1,colour_group_name,Light Red,1,20,0.05,0.0005860376529192,85.31875000000001,85.31875000000001,False
1,department_name,Shirt,6,20,0.3,0.009156838326862501,32.7624,32.7624,True
1,product_type_name,Shirt,20,20,1.0,0.031646033257636805,31.599537037037035,31.599537037037035,True
1,section_name,Contemporary Casual,6,20,0.3,0.010621932459160502,28.243448275862065,28.243448275862065,True
1,garment_group_name,Shirts,6,20,0.3,0.012526554831147901,23.94912280701754,23.94912280701754,False
1,department_name,Blouse,13,20,0.65,0.043293531609405904,15.013790186125211,15.013790186125211,False
1,department_name,Woven Premium,1,20,0.05,0.0035894806241301004,13.929591836734694,13.929591836734694,False
1,section_name,Womens Casual,11,20,0.55,0.039557541572046,13.903796296296298,13.903796296296298,False
