item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
670,915529003,Garment Upper body,Sweater,Solid,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9996463,0
6221,863646001,Garment Upper body,Sweater,Solid,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9982369,0
1531,673677002,Garment Upper body,Sweater,Solid,Black,Black,Ladieswear,Knitwear,Womens Tailoring,Knitwear,1.9971819,0
1409,863595006,Garment Upper body,Cardigan,Solid,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9971588,0
127,896152002,Garment Upper body,T-shirt,Solid,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9960968,0
1440,863583002,Garment Upper body,Sweater,Stripe,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9960597,0
485,868641002,Garment Upper body,Sweater,Solid,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9958208,0
218,915529001,Garment Upper body,Sweater,Solid,Beige,Beige,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9957868,0
12228,909370001,Garment Full body,Dress,Jacquard,Off White,White,Ladieswear,Special Offers,Womens Everyday Collection,Campaigns,1.995482,0
6405,893059004,Garment Upper body,Cardigan,Solid,Black,Black,Ladieswear,Knitwear,Womens Everyday Collection,Knitwear,1.9951154,0
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996418,1
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996386,1
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996345,1
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996309,1
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999629,1
3449,873072001,Swimwear,Bikini top,Other structure,White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996147,1
6086,862958002,Swimwear,Swimwear bottom,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996145,1
6704,559630026,Swimwear,Bikini top,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996116,1
10530,713199001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999608,1
4558,599580061,Swimwear,Swimwear bottom,All over pattern,Off White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996073,1
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996442,2
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996393,2
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996367,2
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996319,2
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996308,2
6086,862958002,Swimwear,Swimwear bottom,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996161,2
3449,873072001,Swimwear,Bikini top,Other structure,White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996152,2
6704,559630026,Swimwear,Bikini top,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996114,2
10530,713199001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999609,2
4558,599580061,Swimwear,Swimwear bottom,All over pattern,Off White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996089,2
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.99963,3
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996295,3
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996278,3
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996252,3
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996208,3
3449,873072001,Swimwear,Bikini top,Other structure,White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996059,3
6704,559630026,Swimwear,Bikini top,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996045,3
10530,713199001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996023,3
4558,599580061,Swimwear,Swimwear bottom,All over pattern,Off White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996009,3
6086,862958002,Swimwear,Swimwear bottom,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996004,3
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996295,4
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999629,4
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996271,4
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996247,4
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996202,4
3449,873072001,Swimwear,Bikini top,Other structure,White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996055,4
6704,559630026,Swimwear,Bikini top,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996046,4
10530,713199001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996021,4
4558,599580061,Swimwear,Swimwear bottom,All over pattern,Off White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996006,4
6086,862958002,Swimwear,Swimwear bottom,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996,4
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996313,5
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.99963,5
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996288,5
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996246,5
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996222,5
3449,873072001,Swimwear,Bikini top,Other structure,White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996058,5
6704,559630026,Swimwear,Bikini top,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996042,5
10530,713199001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996023,5
4558,599580061,Swimwear,Swimwear bottom,All over pattern,Off White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996018,5
6086,862958002,Swimwear,Swimwear bottom,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996015,5
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996414,6
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996368,6
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999635,6
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996295,6
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996285,6
6086,862958002,Swimwear,Swimwear bottom,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996129,6
3449,873072001,Swimwear,Bikini top,Other structure,White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996114,6
6704,559630026,Swimwear,Bikini top,All over pattern,Dark Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999609,6
10530,713199001,Swimwear,Bikini top,Solid,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996074,6
4558,599580061,Swimwear,Swimwear bottom,All over pattern,Off White,White,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996068,6
7599,739590031,Swimwear,Swimwear bottom,Stripe,Green,Green,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996414,7
3149,841699008,Swimwear,Bikini top,Solid,Dark Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.99964,7
7463,879999002,Swimwear,Bikini top,All over pattern,Light Blue,Blue,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996357,7
7079,812364013,Swimwear,Swimwear bottom,Other structure,Black,Black,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.999635,7
7928,854683004,Swimwear,Swimwear bottom,Other structure,Light Purple,Pink,Ladieswear,Swimwear,"Womens Swimwear, beachwear",Swimwear,1.9996293,7
