item_id,item,product_group_name,product_type_name,graphical_appearance_name,colour_group_name,perceived_colour_master_name,index_group_name,garment_group_name,section_name,department_name,item weight,prototype
3901,943097001,Garment Lower body,Trousers,Other structure,Light Beige,Beige,Ladieswear,Trousers,Womens Trend,Trousers & Skirt,4.4142156,0
9991,809230001,Garment Lower body,Trousers,Check,Light Beige,Beige,Ladieswear,Special Offers,Womens Everyday Collection,Campaigns,4.171864,0
2851,883025001,Garment Lower body,Trousers,Lace,Black,Black,Ladieswear,Blouses,Womens Trend,Blouse & Dress,4.005265,0
7615,881497001,Garment Full body,Dress,Embroidery,Light Orange,Orange,Ladieswear,Blouses,Womens Trend,Blouse & Dress,3.9092307,0
5905,790167004,Garment Upper body,Blouse,Jacquard,Light Beige,Beige,Ladieswear,Blouses,Womens Trend,Blouse & Dress,3.8903759,0
9567,922037001,Garment Lower body,Trousers,Other structure,Beige,Beige,Ladieswear,Trousers,Womens Trend,Trousers & Skirt,3.8656137,0
5096,885617002,Garment Upper body,Blouse,Dot,Light Beige,Beige,Ladieswear,Blouses,Womens Trend,Blouse & Dress,3.8644238,0
9771,547780025,Garment Lower body,Trousers,Embroidery,Light Orange,Orange,Divided,Jersey Basic,Divided Basics,Basic 1,3.7784297,0
9551,902292001,Garment Lower body,Trousers,Other structure,Beige,Beige,Ladieswear,Trousers,Womens Trend,Trousers & Skirt,3.7167869,0
5382,693915001,Garment Lower body,Trousers,Check,Beige,Beige,Ladieswear,Trousers,Womens Trend,Trousers & Skirt,3.5798705,0
2386,926026001,Garment Upper body,Shirt,Solid,Dark Blue,Blue,Ladieswear,Blouses,Womens Casual,Blouse,6.0817246,1
5588,816938002,Garment Upper body,Shirt,Solid,Blue,Blue,Ladieswear,Blouses,Womens Casual,Blouse,5.24869,1
1857,751592001,Garment Upper body,Shirt,Solid,White,White,Ladieswear,Blouses,Womens Casual,Blouse,5.1754527,1
