prototype,name,n_descriptors,descriptors
0,"Knitwear, Knitwear, Womens Jackets",3,department_name=Knitwear(score=16.432); garment_group_name=Knitwear(score=9.708); section_name=Womens Jackets(score=7.300)
1,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
2,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
3,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
4,"Swimwear bottom, Womens Swimwear, beachwear, Bikini top",3,"product_type_name=Swimwear bottom(score=32.930); section_name=Womens Swimwear, beachwear(score=26.714); product_type_name=Bikini top(score=26.252)"
5,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
6,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
7,"Swimwear bottom, Womens Swimwear, beachwear, Bikini top",3,"product_type_name=Swimwear bottom(score=32.930); section_name=Womens Swimwear, beachwear(score=26.714); product_type_name=Bikini top(score=26.252)"
8,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
9,"Swimwear bottom, Womens Swimwear, beachwear, Swimwear",3,"product_type_name=Swimwear bottom(score=35.924); section_name=Womens Swimwear, beachwear(score=26.714); department_name=Swimwear(score=25.952)"
10,"Woven Tops, Swimwear bottom, Men Underwear",3,department_name=Woven Tops(score=65.005); product_type_name=Swimwear bottom(score=38.917); section_name=Men Underwear(score=18.146)
