prototype,name,n_descriptors,descriptors
0,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.900); product_group_name=Garment Upper body(score=0.850)
1,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
2,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
3,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
4,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
5,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
6,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
7,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
8,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
9,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
10,"Solid, Swimwear, Swimwear",3,graphical_appearance_name=Solid(score=0.700); department_name=Swimwear(score=0.650); garment_group_name=Swimwear(score=0.650)
11,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
12,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
13,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
14,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
15,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
16,"Solid, Ladieswear, Under-, Nightwear",3,"graphical_appearance_name=Solid(score=0.900); index_group_name=Ladieswear(score=0.650); garment_group_name=Under-, Nightwear(score=0.500)"
17,"Swimwear, Swimwear, Ladieswear",3,department_name=Swimwear(score=1.000); garment_group_name=Swimwear(score=1.000); index_group_name=Ladieswear(score=1.000)
