prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,tags,hannibal lecter,1,20,0.05,0.00032,156.25,156.25,False
0,tags,unique,1,20,0.05,0.00032,156.25,156.25,False
0,tags,middle east,1,20,0.05,0.00064,78.125,78.125,False
0,tags,iraq,1,20,0.05,0.00064,78.125,78.125,False
0,tags,suprisingly clever,3,20,0.15,0.00224,66.96428571428572,66.96428571428572,True
0,tags,nonlinear,2,20,0.1,0.0016,62.5,62.5,True
0,tags,good acting,13,20,0.65,0.0112,58.03571428571429,58.03571428571429,True
0,tags,good dialogue,2,20,0.1,0.00192,52.083333333333336,52.083333333333336,False
0,tags,tarantino,2,20,0.1,0.00192,52.083333333333336,52.083333333333336,False
0,tags,minnesota,1,20,0.05,0.00096,52.083333333333336,52.083333333333336,False
0,tags,honest,1,20,0.05,0.00096,52.083333333333336,52.083333333333336,False
0,tags,schizophrenia,1,20,0.05,0.00096,52.083333333333336,52.083333333333336,False
0,tags,non-linear,3,20,0.15,0.0032,46.87499999999999,46.87499999999999,False
0,tags,oscar (best writing - screenplay written directly for the screen),2,20,0.1,0.00224,44.642857142857146,44.642857142857146,False
0,tags,mindfuck,4,20,0.2,0.0048,41.66666666666667,41.66666666666667,False
0,tags,gratuitous violence,5,20,0.25,0.00608,41.118421052631575,41.118421052631575,False
0,tags,twist,6,20,0.3,0.00736,40.76086956521739,40.76086956521739,False
0,tags,gulf war,1,20,0.05,0.00128,39.0625,39.0625,False
0,tags,robbery,1,20,0.05,0.00128,39.0625,39.0625,False
0,tags,great dialogue,5,20,0.25,0.00672,37.20238095238095,37.20238095238095,False
0,tags,complicated plot,4,20,0.2,0.00544,36.76470588235294,36.76470588235294,False
0,tags,interesting,16,20,0.8,0.02208,36.231884057971016,36.231884057971016,False
0,tags,pulp,2,20,0.1,0.00288,34.72222222222222,34.72222222222222,False
0,tags,excellent,3,20,0.15,0.00448,33.48214285714286,33.48214285714286,False
0,tags,surprise ending,5,20,0.25,0.008,31.25,31.25,False
0,tags,brutal,4,20,0.2,0.0064,31.25,31.25,False
0,tags,thought-provoking,4,20,0.2,0.0064,31.25,31.25,False
0,tags,plot,1,20,0.05,0.0016,31.25,31.25,False
0,tags,very good,1,20,0.05,0.0016,31.25,31.25,False
0,tags,entirely dialogue,1,20,0.05,0.0016,31.25,31.25,False
0,tags,confusing,1,20,0.05,0.0016,31.25,31.25,False
0,tags,complicated,7,20,0.35,0.01152,30.38194444444444,30.38194444444444,False
0,tags,crime gone awry,4,20,0.2,0.00704,28.40909090909091,28.40909090909091,False
0,tags,foul language,3,20,0.15,0.00544,27.573529411764703,27.573529411764703,False
0,tags,clever,7,20,0.35,0.01312,26.676829268292682,26.676829268292682,False
0,tags,tricky,1,20,0.05,0.00192,26.041666666666668,26.041666666666668,False
0,tags,coen brothers,1,20,0.05,0.00192,26.041666666666668,26.041666666666668,False
0,tags,beautiful,1,20,0.05,0.00192,26.041666666666668,26.041666666666668,False
0,tags,psychiatrist,1,20,0.05,0.00192,26.041666666666668,26.041666666666668,False
0,tags,coen bros,3,20,0.15,0.00608,24.671052631578945,24.671052631578945,False
0,tags,plot twist,6,20,0.3,0.0128,23.437499999999996,23.437499999999996,False
0,tags,anti-war,1,20,0.05,0.00224,22.321428571428573,22.321428571428573,False
0,tags,ghosts/afterlife,1,20,0.05,0.00224,22.321428571428573,22.321428571428573,False
0,tags,metaphysics,1,20,0.05,0.00224,22.321428571428573,22.321428571428573,False
0,tags,gilliam,1,20,0.05,0.00224,22.321428571428573,22.321428571428573,False
0,tags,twist ending,4,20,0.2,0.00928,21.551724137931036,21.551724137931036,False
0,tags,powerful ending,8,20,0.4,0.01888,21.1864406779661,21.1864406779661,False
0,tags,earnest,2,20,0.1,0.0048,20.833333333333336,20.833333333333336,False
0,tags,bloody,4,20,0.2,0.01024,19.53125,19.53125,False
0,tags,guns,2,20,0.1,0.00512,19.53125,19.53125,False
0,tags,gruesome,2,20,0.1,0.00512,19.53125,19.53125,False
0,tags,midlife crisis,1,20,0.05,0.00256,19.53125,19.53125,False
0,tags,cannibalism,1,20,0.05,0.00256,19.53125,19.53125,False
0,tags,jewish,1,20,0.05,0.00256,19.53125,19.53125,False
0,tags,caper,3,20,0.15,0.008,18.75,18.75,False
0,tags,great ending,14,20,0.7,0.03776,18.538135593220336,18.538135593220336,False
0,tags,anti-hero,2,20,0.1,0.00544,18.38235294117647,18.38235294117647,False
0,tags,excellent script,15,20,0.75,0.04128,18.16860465116279,18.16860465116279,False
0,tags,organized crime,5,20,0.25,0.0144,17.36111111111111,17.36111111111111,False
0,tags,oscar (best editing),2,20,0.1,0.00576,17.36111111111111,17.36111111111111,False
0,tags,con men,1,20,0.05,0.00288,17.36111111111111,17.36111111111111,False
0,tags,freedom,1,20,0.05,0.00288,17.36111111111111,17.36111111111111,False
0,tags,puppets,1,20,0.05,0.00288,17.36111111111111,17.36111111111111,False
0,tags,blood,1,20,0.05,0.00288,17.36111111111111,17.36111111111111,False
0,tags,genocide,1,20,0.05,0.00288,17.36111111111111,17.36111111111111,False
0,tags,bank robbery,1,20,0.05,0.00288,17.36111111111111,17.36111111111111,False
0,tags,stylish,8,20,0.4,0.02368,16.891891891891895,16.891891891891895,False
0,tags,heist,4,20,0.2,0.01184,16.891891891891895,16.891891891891895,False
0,tags,narrated,7,20,0.35,0.0208,16.826923076923077,16.826923076923077,False
0,tags,gangster,4,20,0.2,0.01216,16.44736842105263,16.44736842105263,False
0,tags,compassionate,3,20,0.15,0.00928,16.163793103448274,16.163793103448274,False
0,tags,neo-noir,4,20,0.2,0.01248,16.025641025641026,16.025641025641026,False
0,tags,mob,4,20,0.2,0.01248,16.025641025641026,16.025641025641026,False
0,tags,psychology,5,20,0.25,0.016,15.625,15.625,False
0,tags,prison,2,20,0.1,0.0064,15.625,15.625,False
0,tags,philosophical,2,20,0.1,0.0064,15.625,15.625,False
0,tags,grim,2,20,0.1,0.0064,15.625,15.625,False
0,tags,multiple storylines,1,20,0.05,0.0032,15.625,15.625,False
0,tags,anti-semitism,1,20,0.05,0.0032,15.625,15.625,False
0,tags,philosophy,1,20,0.05,0.0032,15.625,15.625,False
0,tags,oscar (best actor),7,20,0.35,0.02304,15.19097222222222,15.19097222222222,False
0,tags,twists & turns,11,20,0.55,0.03648,15.076754385964914,15.076754385964914,False
0,tags,great movie,13,20,0.65,0.04352,14.935661764705882,14.935661764705882,False
0,tags,psychiatry,2,20,0.1,0.00672,14.880952380952381,14.880952380952381,False
0,tags,insanity,5,20,0.25,0.01696,14.74056603773585,14.74056603773585,False
0,tags,dark humor,7,20,0.35,0.024,14.583333333333332,14.583333333333332,False
0,tags,hit men,4,20,0.2,0.01376,14.534883720930234,14.534883720930234,False
0,tags,crime,10,20,0.5,0.03456,14.467592592592592,14.467592592592592,False
0,tags,cool,4,20,0.2,0.01408,14.204545454545455,14.204545454545455,False
0,tags,absurd,2,20,0.1,0.00704,14.204545454545455,14.204545454545455,False
0,tags,suburbia,1,20,0.05,0.00352,14.204545454545455,14.204545454545455,False
0,tags,modern fantasy,1,20,0.05,0.00352,14.204545454545455,14.204545454545455,False
0,tags,time loop,1,20,0.05,0.00352,14.204545454545455,14.204545454545455,False
0,tags,great,7,20,0.35,0.02496,14.022435897435896,14.022435897435896,False
0,tags,stylized,5,20,0.25,0.01856,13.469827586206897,13.469827586206897,False
0,tags,poland,1,20,0.05,0.00384,13.020833333333334,13.020833333333334,False
0,tags,complex,6,20,0.3,0.02304,13.020833333333332,13.020833333333332,False
0,tags,highly quotable,3,20,0.15,0.01184,12.66891891891892,12.66891891891892,False
0,tags,visceral,5,20,0.25,0.01984,12.600806451612904,12.600806451612904,False
0,tags,oscar (best supporting actor),7,20,0.35,0.02784,12.57183908045977,12.57183908045977,False
0,tags,prison escape,2,20,0.1,0.008,12.5,12.5,False
0,tags,cult,1,20,0.05,0.00416,12.019230769230772,12.019230769230772,False
0,tags,great soundtrack,1,20,0.05,0.00416,12.019230769230772,12.019230769230772,False
0,tags,violent,9,20,0.45,0.03744,12.01923076923077,12.01923076923077,False
0,tags,storytelling,13,20,0.65,0.05536,11.741329479768787,11.741329479768787,False
0,tags,ensemble cast,3,20,0.15,0.01312,11.432926829268293,11.432926829268293,False
0,tags,frightening,2,20,0.1,0.00896,11.160714285714286,11.160714285714286,False
0,tags,life,1,20,0.05,0.00448,11.160714285714286,11.160714285714286,False
0,tags,1950s,1,20,0.05,0.00448,11.160714285714286,11.160714285714286,False
0,tags,francis ford copolla,1,20,0.05,0.00448,11.160714285714286,11.160714285714286,False
0,tags,strange,1,20,0.05,0.00448,11.160714285714286,11.160714285714286,False
0,tags,post apocalyptic,1,20,0.05,0.00448,11.160714285714286,11.160714285714286,False
0,tags,good,8,20,0.4,0.0368,10.869565217391305,10.869565217391305,False
0,tags,dialogue driven,2,20,0.1,0.00928,10.775862068965518,10.775862068965518,False
0,tags,justice,2,20,0.1,0.00928,10.775862068965518,10.775862068965518,False
0,tags,intense,6,20,0.3,0.02784,10.775862068965516,10.775862068965516,False
0,tags,great acting,18,20,0.9,0.08448,10.653409090909092,10.653409090909092,False
0,tags,noir thriller,3,20,0.15,0.01408,10.65340909090909,10.65340909090909,False
0,tags,great music,1,20,0.05,0.0048,10.416666666666668,10.416666666666668,False
0,tags,gritty,1,20,0.05,0.0048,10.416666666666668,10.416666666666668,False
0,tags,psychological,5,20,0.25,0.02464,10.146103896103897,10.146103896103897,False
0,tags,parenthood,1,20,0.05,0.00512,9.765625,9.765625,False
0,tags,spielberg,1,20,0.05,0.00512,9.765625,9.765625,False
0,tags,time travel,1,20,0.05,0.00512,9.765625,9.765625,False
0,tags,oscar winner,3,20,0.15,0.01568,9.566326530612244,9.566326530612244,False
0,tags,investigation,3,20,0.15,0.016,9.375,9.375,False
0,tags,violence,9,20,0.45,0.04832,9.312913907284768,9.312913907284768,False
0,tags,quotable,5,20,0.25,0.02688,9.300595238095237,9.300595238095237,False
0,tags,gangsters,4,20,0.2,0.02176,9.191176470588236,9.191176470588236,False
0,tags,disability,1,20,0.05,0.00544,9.191176470588236,9.191176470588236,False
0,tags,apocalypse,1,20,0.05,0.00544,9.191176470588236,9.191176470588236,False
0,tags,alternate reality,1,20,0.05,0.00544,9.191176470588236,9.191176470588236,False
0,tags,post-apocalyptic,1,20,0.05,0.00544,9.191176470588236,9.191176470588236,False
0,tags,oscar (best picture),6,20,0.3,0.03296,9.101941747572814,9.101941747572814,False
0,tags,dialogue,5,20,0.25,0.02752,9.084302325581396,9.084302325581396,False
0,tags,brutality,5,20,0.25,0.02784,8.979885057471265,8.979885057471265,False
0,tags,masterpiece,12,20,0.6,0.0672,8.928571428571429,8.928571428571429,False
0,tags,manipulation,2,20,0.1,0.0112,8.928571428571429,8.928571428571429,False
0,tags,good soundtrack,9,20,0.45,0.05056,8.900316455696203,8.900316455696203,False
0,tags,story,5,20,0.25,0.02848,8.77808988764045,8.77808988764045,False
0,tags,quirky,2,20,0.1,0.01152,8.680555555555555,8.680555555555555,False
0,tags,rags to riches,1,20,0.05,0.00576,8.680555555555555,8.680555555555555,False
0,tags,police corruption,1,20,0.05,0.00576,8.680555555555555,8.680555555555555,False
