prototype,name,n_descriptors,descriptors
0,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
1,"Scarves, Blazer, Knitwear",3,department_name=Scarves(score=0.990); product_type_name=Blazer(score=0.982); department_name=Knitwear(score=0.954)
2,"Trouser, Beige, Divided+ inactive from s.1",3,department_name=Trouser(score=0.987); colour_group_name=Beige(score=0.984); department_name=Divided+ inactive from s.1(score=0.976)
3,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
4,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.989); section_name=Womens Trend(score=0.965)
5,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
6,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
7,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
8,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
9,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
10,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
11,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
12,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.990); section_name=Womens Trend(score=0.965)
13,"Trouser, Beige, Divided+ inactive from s.1",3,department_name=Trouser(score=0.987); colour_group_name=Beige(score=0.984); department_name=Divided+ inactive from s.1(score=0.976)
14,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
15,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
16,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.990); section_name=Womens Trend(score=0.965)
17,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
18,"Scarves, Knitwear, Blazer",3,department_name=Scarves(score=0.992); department_name=Knitwear(score=0.976); product_type_name=Blazer(score=0.965)
19,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
20,"Divided Projects, Suit jacket, Womens Trend",3,section_name=Divided Projects(score=0.994); department_name=Suit jacket(score=0.990); section_name=Womens Trend(score=0.965)
21,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
22,"Embroidery, Silver, Placement print",3,graphical_appearance_name=Embroidery(score=0.975); colour_group_name=Silver(score=0.964); graphical_appearance_name=Placement print(score=0.958)
23,"Ladies H&M Sport, Ladies Sport Bras, Ladies Sport Bottoms",3,section_name=Ladies H&M Sport(score=0.994); department_name=Ladies Sport Bras(score=0.986); department_name=Ladies Sport Bottoms(score=0.981)
