prototype,name,n_descriptors,descriptors
0,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
1,"Knitwear, Knitwear, Womens Everyday Collection",3,department_name=Knitwear(score=15.168); garment_group_name=Knitwear(score=8.961); section_name=Womens Everyday Collection(score=7.366)
2,"Suit, Dressed, Blazer",3,department_name=Suit(score=43.199); garment_group_name=Dressed(score=19.066); product_type_name=Blazer(score=17.591)
3,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
4,"Trousers, H&M+, Woven top",3,department_name=Trousers(score=18.201); section_name=H&M+(score=16.784); department_name=Woven top(score=14.220)
5,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
6,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
7,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
8,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
9,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
10,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
11,"Ladies Sport Bottoms, Ladies H&M Sport, Ladies Sport Bras",3,department_name=Ladies Sport Bottoms(score=65.351); section_name=Ladies H&M Sport(score=37.710); department_name=Ladies Sport Bras(score=36.804)
12,"Trousers, H&M+, Woven top",3,department_name=Trousers(score=18.201); section_name=H&M+(score=16.784); department_name=Woven top(score=14.220)
13,"Suit, Dressed, Blazer",3,department_name=Suit(score=43.199); garment_group_name=Dressed(score=19.066); product_type_name=Blazer(score=17.591)
