prototype,name,n_descriptors,descriptors
0,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
1,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
2,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
3,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.961); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
4,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
5,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
6,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
7,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.960); tags=british comedy(score=0.920); tags=paranoid(score=0.895)
8,"cancer, cult film, sci fi",3,tags=cancer(score=0.906); tags=cult film(score=0.875); tags=sci fi(score=0.866)
9,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
10,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
11,"mental illness, manipulation, isolation",3,tags=mental illness(score=0.938); tags=manipulation(score=0.921); tags=isolation(score=0.918)
12,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
13,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
14,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
15,"love triangles, weird, dark comedy",3,tags=love triangles(score=0.975); tags=weird(score=0.973); tags=dark comedy(score=0.964)
16,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.960); tags=british comedy(score=0.920); tags=paranoid(score=0.895)
17,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
18,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.961); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
19,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
20,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
21,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.874); tags=sci fi(score=0.866)
22,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
23,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.874); tags=sci fi(score=0.866)
24,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
25,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.874); tags=sci fi(score=0.866)
26,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.874); tags=sci fi(score=0.866)
27,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
28,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
29,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
30,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
31,"mental illness, manipulation, isolation",3,tags=mental illness(score=0.939); tags=manipulation(score=0.920); tags=isolation(score=0.918)
32,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.960); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
33,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
34,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.875); tags=sci fi(score=0.866)
35,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
36,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.960); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
37,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
38,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
39,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
40,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.874); tags=sci fi(score=0.866)
41,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
42,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
43,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.961); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
44,"mental illness, manipulation, isolation",3,tags=mental illness(score=0.939); tags=manipulation(score=0.920); tags=isolation(score=0.918)
45,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
46,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
47,"love triangles, weird, dark comedy",3,tags=love triangles(score=0.974); tags=weird(score=0.973); tags=dark comedy(score=0.965)
48,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
49,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.960); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
50,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
51,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.961); tags=british comedy(score=0.919); tags=paranoid(score=0.894)
52,"oscar (best writing - screenplay written directly for the screen), british comedy, paranoid",3,tags=oscar (best writing - screenplay written directly for the screen)(score=0.961); tags=british comedy(score=0.920); tags=paranoid(score=0.894)
53,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
54,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
55,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
56,"cancer, cult film, sci fi",3,tags=cancer(score=0.905); tags=cult film(score=0.874); tags=sci fi(score=0.866)
57,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
58,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
59,"cancer, cult film, sci fi",3,tags=cancer(score=0.904); tags=cult film(score=0.873); tags=sci fi(score=0.865)
60,"love triangles, weird, dark comedy",3,tags=love triangles(score=0.974); tags=weird(score=0.974); tags=dark comedy(score=0.964)
61,"love triangles, weird, dark comedy",3,tags=love triangles(score=0.974); tags=weird(score=0.973); tags=dark comedy(score=0.964)
62,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
63,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
64,"mental illness, manipulation, isolation",3,tags=mental illness(score=0.937); tags=manipulation(score=0.924); tags=isolation(score=0.919)
65,"destiny, touching, romance",3,tags=destiny(score=0.978); tags=touching(score=0.976); tags=romance(score=0.929)
