item_id,item,title,year,genres,tags,item weight,prototype
1796,2149,House II: The Second Story (1987),1987,Comedy|Horror,horror|original,1.9998121,0
1260,1984,Halloween III: Season of the Witch (1983),1983,Horror,franchise|halloween|horror|murder|original|slasher|teens,1.9995885,0
3081,1988,Hello Mary Lou: Prom Night II (1987),1987,Horror,high school|horror|original|slasher|supernatural|teen movie|teens,1.99931,0
2829,2902,Psycho II (1983),1983,Horror|Thriller,good sequel|hitchcock|murder|original|sequel|sequels,1.9990218,0
2521,606,Candyman: Farewell to the Flesh (1995),1995,Horror,good sequel|horror|original|sequel|sequels,1.9990035,0
2442,2992,Rawhead Rex (1986),1986,Horror|Thriller,demons|horror|irish|irish accent|monster|monsters|original,1.9989243,0
2590,1771,Night Flier (1997),1997,Horror,creepy|horror|splatter|vampire|vampires,1.9988633,0
341,1756,"Prophecy II, The (1998)",1998,Horror,good sequel|original|sequel|sequels|teleportation,1.9986529,0
2929,1987,Prom Night (1980),1980,Horror,death|halloween|horror|murder|original|slasher|splatter|teens,1.9986253,0
2451,1655,Phantoms (1998),1998,Horror,based on a book|horror,1.9984243,0
1302,1177,Enchanted April (1991),1991,Drama,beautiful scenery|chick flick|italy|period piece|reflective|romantic|sentimental|touching|visually appealing|women,1.999526,1
1821,892,Twelfth Night (1996),1996,Comedy|Drama|Romance,18th century|adaptation|based on a play|costume drama|cross dressing|dramatic|mistaken identity|shakespeare,1.9986303,1
993,3079,Mansfield Park (1999),1999,Drama,18th century|adaptation|adapted from:book|based on a book|based on book|books|british|costume drama|england|jane austen|literary adaptation|literature|slavery,1.9937649,1
719,412,"Age of Innocence, The (1993)",1993,Drama,19th century|adapted from:book|beautifully filmed|cinematography|costume drama|literary adaptation|masterpiece|passionate|period piece,1.9859433,1
1718,534,Shadowlands (1993),1993,Drama|Romance,beautifully filmed|biographical|biography|biopic|c.s. lewis|life & death|love story|period piece|touching,1.980499,1
108,2943,Indochine (1992),1992,Drama|Romance,beautiful scenery|beautifully filmed|cinematography|colonialism|culture clash|foreign|france|french|historical|history|love story|revolution|scenic|vietnam,1.9760946,1
1777,1542,Brassed Off (1996),1996,Comedy|Drama|Romance,british|british comedy|drama|england|feel-good|london|mining|music|musicians|political|politics|working class,1.9734571,1
1959,2570,"Walk on the Moon, A (1999)",1999,Drama|Romance,adultery|infidelity,1.9645836,1
474,2436,Tea with Mussolini (1999),1999,Comedy,1930s|fascism|italy|nazis|period piece|sentimental|wartime|women|world war ii|wwii,1.9616282,1
656,3713,"Long Walk Home, The (1990)",1990,Drama,drama|dramatic|life philosophy|prejudice|race issues|segregation|small town,1.9569087,1
2800,3862,About Adam (2000),2000,Comedy,chick flick|irish|irish accent|sisters,1.9992006,2
2843,831,Stonewall (1995),1995,Drama,aids|gay|gay character|glbt|homophobia|homosexuality|queer|transgender,1.9990811,2
2723,3626,8 1/2 Women (1999),1999,Comedy,art house|erotic|male nudity|nudity (full frontal - notable)|nudity (full frontal)|pornography|sexual|women,1.9987094,2
2964,1087,Madame Butterfly (1995),1995,Musical,dramatic|opera|unusual plot structure,1.9979454,2
2969,598,Window to Paris (1994),1994,Comedy,criterion|foreign|original|russia|russian,1.9972985,2
2602,807,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",1995,Comedy|Romance,love|paris|relationships,1.9972249,2
2924,3909,Woman on Top (2000),2000,Comedy|Romance,chick flick|magic realism|san francisco|sexy,1.997119,2
1920,3719,Love's Labour's Lost (2000),2000,Comedy|Romance,,1.9956229,2
2869,2215,Rich and Strange (1932),1932,Comedy|Romance,chase|con artists|criterion|hitchcock|marriage|murder|murder mystery|original|police investigation|screwball|suspense|suspenseful|talky,1.9955894,2
2804,1026,So Dear to My Heart (1949),1949,Children's|Drama,animated|animation|cartoon|disney|simple,1.9942116,2
419,915,Sabrina (1954),1954,Comedy|Romance,based on a play|classic|love story|paris|romance|romantic|romantic comedy,1.9969985,3
467,3668,Romeo and Juliet (1968),1968,Drama|Romance,adaptation|based on a play|love story|oscar (best actress)|shakespeare|tragedy,1.9902321,3
1481,900,"American in Paris, An (1951)",1951,Musical|Romance,dance|dancing|good music|music|musical|oscar (best cinematography)|oscar (best directing)|oscar (best picture)|paris,1.9852387,3
1089,3549,Guys and Dolls (1955),1955,Musical,based on a play|broadway|good music|music|musical|oscar (best directing),1.9771163,3
1483,3061,Holiday Inn (1942),1942,Comedy|Musical,berlin|christmas|classic|dance|dancing|holiday|musical|wartime,1.9753784,3
1001,2565,"King and I, The (1956)",1956,Musical,broadway|dance|music|musical|oscar|oscar (best actor)|oscar (best actress)|oscar (best directing)|story,1.9729223,3
