prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Horror,19,20,0.95,0.08512,11.160714285714285,0.95,True
0,tags,horror,14,20,0.7,0.064,10.937499999999998,0.7,True
0,tags,original,12,20,0.6,0.25024,2.3976982097186696,0.6,True
0,tags,slasher,8,20,0.4,0.0144,27.77777777777778,0.4,False
0,tags,franchise,7,20,0.35,0.04928,7.1022727272727275,0.35,False
0,tags,sequels,7,20,0.35,0.0288,12.152777777777777,0.35,False
0,tags,murder,6,20,0.3,0.05024,5.971337579617834,0.3,False
0,tags,teens,5,20,0.25,0.02816,8.877840909090908,0.25,False
0,tags,splatter,4,20,0.2,0.02976,6.720430107526882,0.2,False
0,tags,good sequel,3,20,0.15,0.02656,5.647590361445783,0.15,False
0,tags,sequel,3,20,0.15,0.02784,5.387931034482758,0.15,False
0,tags,serial killer,3,20,0.15,0.02176,6.893382352941176,0.15,False
0,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.1,False
0,tags,halloween,2,20,0.1,0.00448,22.321428571428573,0.1,False
0,tags,supernatural,2,20,0.1,0.01728,5.787037037037037,0.1,False
0,tags,demons,2,20,0.1,0.008,12.5,0.1,False
0,tags,creepy,2,20,0.1,0.03488,2.86697247706422,0.1,False
0,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.05,False
0,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
0,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.05,False
0,tags,teen movie,1,20,0.05,0.03072,1.6276041666666667,0.05,False
0,tags,high school,1,20,0.05,0.0224,2.232142857142857,0.05,False
0,tags,hitchcock,1,20,0.05,0.01664,3.004807692307693,0.05,False
0,tags,irish accent,1,20,0.05,0.01152,4.340277777777778,0.05,False
0,tags,monsters,1,20,0.05,0.00896,5.580357142857143,0.05,False
0,tags,irish,1,20,0.05,0.01024,4.8828125,0.05,False
0,tags,monster,1,20,0.05,0.0128,3.90625,0.05,False
0,tags,vampires,1,20,0.05,0.00768,6.510416666666667,0.05,False
0,tags,vampire,1,20,0.05,0.00768,6.510416666666667,0.05,False
0,tags,teleportation,1,20,0.05,0.00224,22.321428571428573,0.05,False
0,tags,death,1,20,0.05,0.01248,4.006410256410256,0.05,False
0,tags,based on a book,1,20,0.05,0.06656,0.7512019230769232,0.05,False
0,tags,camp,1,20,0.05,0.01184,4.222972972972974,0.05,False
0,tags,mummy,1,20,0.05,0.00224,22.321428571428573,0.05,False
0,tags,egypt,1,20,0.05,0.00352,14.204545454545455,0.05,False
0,tags,gory,1,20,0.05,0.01504,3.3244680851063833,0.05,False
0,tags,scary,1,20,0.05,0.02048,2.44140625,0.05,False
0,tags,goofy,1,20,0.05,0.02912,1.7170329670329672,0.05,False
0,tags,violent,1,20,0.05,0.03744,1.3354700854700856,0.05,False
0,tags,quirky,1,20,0.05,0.01152,4.340277777777778,0.05,False
0,tags,mob,1,20,0.05,0.01248,4.006410256410256,0.05,False
0,tags,dark humor,1,20,0.05,0.024,2.0833333333333335,0.05,False
0,tags,dark comedy,1,20,0.05,0.00704,7.1022727272727275,0.05,False
0,tags,cult classic,1,20,0.05,0.04608,1.0850694444444444,0.05,False
0,tags,mentor,1,20,0.05,0.07168,0.6975446428571429,0.05,False
0,tags,violence,1,20,0.05,0.04832,1.03476821192053,0.05,False
0,tags,gangsters,1,20,0.05,0.02176,2.297794117647059,0.05,False
0,tags,nocturnal,1,20,0.05,0.0064,7.8125,0.05,False
0,tags,weird,1,20,0.05,0.0448,1.1160714285714286,0.05,False
0,tags,dark fantasy,1,20,0.05,0.01056,4.734848484848485,0.05,False
0,tags,ominous,1,20,0.05,0.01216,4.1118421052631575,0.05,False
0,tags,stylish,1,20,0.05,0.02368,2.111486486486487,0.05,False
0,tags,eerie,1,20,0.05,0.00736,6.793478260869565,0.05,False
0,tags,tense,1,20,0.05,0.05536,0.9031791907514451,0.05,False
0,tags,surreal,1,20,0.05,0.02528,1.9778481012658229,0.05,False
0,tags,graphic novel,1,20,0.05,0.00064,78.125,0.05,False
0,tags,series,1,20,0.05,0.0224,2.232142857142857,0.05,False
0,tags,dreams,1,20,0.05,0.00896,5.580357142857143,0.05,False
0,tags,bad acting,1,20,0.05,0.0064,7.8125,0.05,False
0,tags,stupid as hell,1,20,0.05,0.00384,13.020833333333334,0.05,False
0,tags,horrible,1,20,0.05,0.00384,13.020833333333334,0.05,False
0,tags,pointless,1,20,0.05,0.0032,15.625,0.05,False
1,genres,Drama,18,20,0.9,0.39584,2.2736459175424413,0.9,True
1,genres,Romance,8,20,0.4,0.13312,3.004807692307693,0.4,True
1,tags,period piece,6,20,0.3,0.01536,19.53125,0.3,False
1,tags,costume drama,6,20,0.3,0.01024,29.296874999999996,0.3,False
1,tags,adapted from:book,6,20,0.3,0.06336,4.734848484848484,0.3,True
1,tags,british,5,20,0.25,0.01408,17.755681818181817,0.25,False
1,tags,beautifully filmed,5,20,0.25,0.032,7.8125,0.25,False
1,tags,touching,4,20,0.2,0.02816,7.1022727272727275,0.2,False
1,tags,dramatic,4,20,0.2,0.06464,3.094059405940594,0.2,False
1,tags,england,4,20,0.2,0.01152,17.36111111111111,0.2,False
1,tags,based on a book,4,20,0.2,0.06656,3.004807692307693,0.2,False
1,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.15,False
1,tags,beautiful scenery,3,20,0.15,0.01408,10.65340909090909,0.15,False
1,tags,adaptation,3,20,0.15,0.01568,9.566326530612244,0.15,False
1,tags,based on book,3,20,0.15,0.03872,3.8739669421487606,0.15,False
1,tags,literature,3,20,0.15,0.00896,16.74107142857143,0.15,False
1,tags,love story,3,20,0.15,0.06368,2.3555276381909547,0.15,False
1,tags,drama,3,20,0.15,0.06656,2.253605769230769,0.15,False
1,tags,oscar (best actress),3,20,0.15,0.05504,2.7252906976744184,0.15,False
1,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,0.1,False
1,tags,women,2,20,0.1,0.01568,6.377551020408164,0.1,False
1,tags,sentimental,2,20,0.1,0.01664,6.009615384615386,0.1,False
1,tags,romantic,2,20,0.1,0.05568,1.795977011494253,0.1,False
1,tags,italy,2,20,0.1,0.00096,104.16666666666667,0.1,False
