item_id,item,title,year,genres,tags,item weight,prototype
940,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),1950,Film-Noir,afi 100 (movie quotes)|amazing cinematography|black and white|classic|criterion|cynical|dark|dramatic|eerie|film noir|great acting|greed|hollywood|imdb top 250|insanity|interesting|loneliness|masterpiece|narrated|noir|obsession|original|oscar (best actress)|oscar (best directing)|oscar (best picture)|satirical|silent|talky,0.17191042,0
826,3435,Double Indemnity (1944),1944,Crime|Film-Noir,adapted from:book|adultery|atmospheric|black and white|bleak|cinematography|classic|complex|complicated|crime|crime gone awry|criterion|cynical|dark|dialogue|downbeat|enigmatic|film noir|great acting|great ending|greed|imdb top 250|interesting|investigation|manipulation|masterpiece|murder|murder mystery|mystery|narrated|neo-noir|noir|noir thriller|original|oscar (best actress)|oscar (best cinematography)|oscar (best directing)|police investigation|sexy|stylized|suspense|suspenseful|talky|tense|twists & turns,0.16866815,0
941,2186,Strangers on a Train (1951),1951,Film-Noir|Thriller,black and white|classic|crime|criterion|great ending|hitchcock|imdb top 250|interesting|masterpiece|murder|obsession|original|oscar (best cinematography)|oscar (best directing)|police investigation|runaway|suspense|suspenseful|talky|tense|thriller|train,0.16774626,0
199,913,"Maltese Falcon, The (1941)",1941,Film-Noir|Mystery,adapted from:book|afi 100 (movie quotes)|atmospheric|black and white|classic|criterion|cynical|detective|dialogue|film noir|great acting|great dialogue|great ending|greed|highly quotable|imdb top 250|literary adaptation|masterpiece|murder|mystery|neo-noir|noir|noir thriller|original|oscar (best directing)|private detective|quotable|san francisco|talky|twists & turns,0.16674414,0
433,926,All About Eve (1950),1950,Drama,afi 100|afi 100 (movie quotes)|black and white|character study|classic|dramatic|excellent script|great acting|great dialogue|imdb top 250|manipulation|masterpiece|obsession|oscar|oscar (best actress)|oscar (best directing)|oscar (best picture)|oscar (best supporting actor)|oscar (best supporting actress)|oscar winner|quotable|talky|witty,0.1649459,0
932,1252,Chinatown (1974),1974,Film-Noir|Mystery|Thriller,1930s|adultery|afi 100|afi 100 (movie quotes)|atmospheric|black and white|bleak|cinematography|classic|complex|complicated|corruption|crime|criterion|cynical|dark|detective|downbeat|enigmatic|excellent script|exceptional acting|film noir|good acting|great|great acting|great ending|great movie|greed|imdb top 250|interesting|investigation|los angeles|masterpiece|melancholic|murder|murder mystery|mystery|neo-noir|noir|noir thriller|original|oscar (best actress)|oscar (best directing)|perfect|plot twist|political corruption|powerful ending|private detective|quotable|secrets|social commentary|storytelling|stylish|suspense|twists & turns,0.16488242,0
640,1284,"Big Sleep, The (1946)",1946,Film-Noir|Mystery,adapted from:book|based on a book|black and white|classic|complex|complicated|complicated plot|criterion|detective|dialogue|enigmatic|film noir|highly quotable|imdb top 250|investigation|murder|murder mystery|mystery|neo-noir|noir|noir thriller|original|police investigation|pornography|private detective|sexy|talky|twists & turns,0.1615729,0
1431,1212,"Third Man, The (1949)",1949,Mystery|Thriller,afi 100|amazing cinematography|atmospheric|betrayal|black and white|bleak|cinematography|classic|criterion|downbeat|enigmatic|excellent script|film noir|golden palm|great acting|great cinematography|imdb top 250|masterpiece|melancholic|murder|mystery|noir|noir thriller|ominous|oscar (best cinematography)|oscar (best directing)|photography|storytelling|stylized|talky|vienna|visual,0.16017382,0
188,908,North by Northwest (1959),1959,Drama|Thriller,adventure|chase|classic|complicated|enigmatic|espionage|excellent script|great ending|hitchcock|imdb top 250|masterpiece|mistaken identity|murder|noir thriller|obsession|original|oscar (best directing)|paranoid|police investigation|secrets|spy|spying|suspense|suspenseful|tense|thriller|twists & turns|witty,0.15951483,0
247,912,Casablanca (1942),1942,Drama|Romance|War,afi 100 (movie quotes)|bittersweet|black and white|classic|dialogue|drama|excellent script|great acting|imdb top 250|love story|love triangles|masterpiece|nazi|nazis|oscar (best actress)|oscar (best directing)|oscar (best picture)|quotable|romance|romantic|sacrifice|wartime|world war ii|wwii,0.15889762,0
