field_x,value_x,field_y,value_y,n_x,n_y,n_both,decoupling_mass,norm_decoupling
department_name,Projects,section_name,Men Project,2,2,2,0,0.0
department_name,Test Ladies,section_name,Ladies Other,1,1,1,0,0.0
department_name,Swimwear,section_name,"Womens Swimwear, beachwear",526,511,511,15,0.028517110266159697
department_name,Jersey Basic,section_name,Womens Everyday Basics,365,371,362,12,0.03208556149732621
department_name,Denim trousers,section_name,Denim Men,109,117,109,8,0.06837606837606838
department_name,Outwear,section_name,Womens Jackets,205,187,187,18,0.08780487804878048
department_name,Basic 1,section_name,Divided Basics,399,438,399,39,0.08904109589041095
department_name,Take Care External,section_name,Collaborations,6,7,6,1,0.14285714285714285
department_name,Sunglasses,product_type_name,Sunglasses,33,39,33,6,0.15384615384615385
department_name,Bags,product_type_name,Bag,131,125,117,22,0.15827338129496402
department_name,Tops Girls,section_name,Kids Sports,9,11,9,2,0.18181818181818182
department_name,Sneakers,product_type_name,Sneakers,49,60,49,11,0.18333333333333332
department_name,Belts,product_type_name,Belt,91,112,91,21,0.1875
department_name,Baby Nightwear,product_type_name,Pyjama jumpsuit/playsuit,16,13,13,3,0.1875
department_name,Boots,product_type_name,Boots,91,127,90,38,0.296875
department_name,Scarves,product_type_name,Scarf,65,81,60,26,0.3023255813953488
department_name,Baby Shoes,section_name,Kids & Baby Shoes,11,16,11,5,0.3125
department_name,Shoes,section_name,Men Shoes,11,17,11,6,0.35294117647058826
department_name,Tights basic,product_type_name,Underwear Tights,113,92,79,47,0.373015873015873
department_name,Jersey/Knitwear Premium,section_name,Womens Premium,83,138,83,55,0.39855072463768115
department_name,Denim Trousers,section_name,Ladies Denim,234,394,234,160,0.40609137055837563
department_name,EQ Divided Basics,section_name,Divided Complements Other,7,12,7,5,0.4166666666666667
department_name,Ladies Sport Bras,section_name,Ladies H&M Sport,204,362,204,158,0.43646408839779005
department_name,Kids Boy Jersey Fancy,section_name,Kids Boy,40,77,40,37,0.4805194805194805
department_name,Girls Small Acc/Bags,section_name,"Kids Accessories, Swimwear & D",7,14,7,7,0.5
department_name,Nightwear,product_type_name,Pyjama set,83,74,51,55,0.5188679245283019
department_name,Blouse,product_type_name,Blouse,591,619,392,426,0.5207823960880196
department_name,Jewellery,colour_group_name,Gold,315,298,197,219,0.5264423076923077
department_name,Young Boy Jersey Fancy,section_name,Young Boy,42,91,42,49,0.5384615384615384
department_name,Shorts,product_type_name,Shorts,137,301,137,164,0.5448504983388704
department_name,Young Girl Jersey Basic,section_name,Girls Underwear & Basics,30,66,30,36,0.5454545454545454
department_name,Jewellery,section_name,Womens Small accessories,315,702,315,387,0.5512820512820513
department_name,AK Bottoms,section_name,Divided Asia keys,25,56,25,31,0.5535714285714286
product_type_name,Bra,section_name,Womens Lingerie,446,787,380,473,0.5545134818288394
department_name,Baby Girl Jersey Fancy,section_name,Baby Girl,26,59,26,33,0.559322033898305
product_type_name,Bikini top,section_name,"Womens Swimwear, beachwear",234,511,227,291,0.5617760617760618
department_name,Blouse & Dress,section_name,Womens Trend,184,423,184,239,0.5650118203309693
department_name,Kids Girl Jersey Fancy,section_name,Kids Girl,30,69,30,39,0.5652173913043478
department_name,Studio Collection,section_name,Special Collections,9,21,9,12,0.5714285714285714
department_name,Swimwear,product_type_name,Bikini top,526,234,227,306,0.574108818011257
department_name,Jewellery,product_type_name,Earring,315,201,153,210,0.5785123966942148
department_name,Swimwear,product_type_name,Swimwear bottom,526,228,222,310,0.5827067669172933
department_name,Jacket Casual,section_name,Mens Outerwear,22,54,22,32,0.5925925925925926
department_name,Baby Boy Jersey Fancy,section_name,Baby Boy,28,69,28,41,0.5942028985507246
department_name,Young Boy Jersey Basic,section_name,Boys Underwear & Basics,35,87,35,52,0.5977011494252874
department_name,Young Girl Jersey Fancy,section_name,Young Girl,41,102,41,61,0.5980392156862745
department_name,Baby Shoes,product_type_name,Slippers,11,10,6,9,0.6
department_name,Outwear,product_type_name,Jacket,205,427,178,276,0.6079295154185022
product_type_name,Swimwear bottom,section_name,"Womens Swimwear, beachwear",228,511,207,325,0.6109022556390977
department_name,Suit,product_type_name,Blazer,79,194,76,121,0.6142131979695431
department_name,Heels,product_type_name,Heeled sandals,70,38,30,48,0.6153846153846154
department_name,Light Basic Jersey,section_name,Men Underwear,188,489,188,301,0.6155419222903885
department_name,Men Sport Woven,section_name,Men H&M Sport,30,79,30,49,0.620253164556962
section_name,Ladies Denim,graphical_appearance_name,Denim,394,1020,385,644,0.6258503401360545
product_type_name,Jacket,section_name,Womens Jackets,427,187,167,280,0.6263982102908278
section_name,Womens Small accessories,colour_group_name,Gold,702,298,270,460,0.6301369863013698
product_type_name,Underwear bottom,section_name,Womens Lingerie,425,787,325,562,0.6335963923337091
department_name,Young Boy Denim,section_name,Young Boy,33,91,33,58,0.6373626373626373
department_name,Kids Dress-up/Football,section_name,"Kids Accessories, Swimwear & D",5,14,5,9,0.6428571428571429
department_name,Suit jacket,product_type_name,Blazer,73,194,70,127,0.6446700507614214
department_name,Woven Premium,section_name,Womens Premium,49,138,49,89,0.644927536231884
department_name,Men Sport Tops,section_name,Men H&M Sport,28,79,28,51,0.6455696202531646
department_name,Shoes / Boots inactive from s5,section_name,Men Shoes,6,17,6,11,0.6470588235294118
department_name,Accessories,section_name,Men Accessories,28,80,28,52,0.65
department_name,Skirt,product_type_name,Skirt,159,456,159,297,0.6513157894736842
product_type_name,Earring,colour_group_name,Gold,201,298,127,245,0.6586021505376344
department_name,AK Dresses & Outdoor,section_name,Divided Asia keys,19,56,19,37,0.6607142857142857
department_name,Jersey Fancy,section_name,Contemporary Street,202,142,87,170,0.6614785992217899
product_type_name,Boots,section_name,Womens Shoes,127,324,114,223,0.6617210682492581
department_name,Divided+,section_name,Divided Projects,101,301,101,200,0.6644518272425249
department_name,Baby Boy Woven,section_name,Baby Boy,23,69,23,46,0.6666666666666666
department_name,Dress-up Boys,product_type_name,Costumes,1,3,1,2,0.6666666666666666
department_name,Hair Accessories,product_type_name,Hair/alice band,209,121,82,166,0.6693548387096774
product_type_name,Trousers,graphical_appearance_name,Denim,1789,1020,697,1415,0.6699810606060606
department_name,Knit & Woven,section_name,Divided Accessories,62,191,62,129,0.675392670157068
department_name,Expressive Lingerie,section_name,Womens Lingerie,250,787,250,537,0.6823379923761118
department_name,Jacket Smart,section_name,Mens Outerwear,17,54,17,37,0.6851851851851852
department_name,Newborn,section_name,Baby Essentials & Complements,76,242,76,166,0.6859504132231405
department_name,Casual Lingerie,section_name,Womens Lingerie,240,787,240,547,0.6950444726810674
department_name,Dress,product_type_name,Dress,490,1604,489,1116,0.6953271028037383
department_name,Flats,product_type_name,Ballerinas,58,28,20,46,0.696969696969697
department_name,Trouser,product_type_name,Trousers,609,1789,557,1284,0.6974470396523629
department_name,Young Boy Outdoor,section_name,Kids Outerwear,6,20,6,14,0.7
department_name,Young Girl Outdoor,section_name,Kids Outerwear,6,20,6,14,0.7
product_type_name,Slippers,section_name,Kids & Baby Shoes,10,16,6,14,0.7
department_name,Hair Accessories,section_name,Womens Small accessories,209,702,209,493,0.7022792022792023
department_name,Socks,product_type_name,Socks,97,328,97,231,0.7042682926829268
department_name,Knitwear,product_type_name,Sweater,540,1081,369,883,0.7052715654952076
department_name,Shirt,product_type_name,Shirt,125,432,125,307,0.7106481481481481
department_name,Ladies Sport Bottoms,product_type_name,Leggings/Tights,94,250,77,190,0.7116104868913857
department_name,Jewellery,product_type_name,Necklace,315,129,99,246,0.7130434782608696
department_name,Projects Dresses,section_name,Divided Projects,86,301,86,215,0.7142857142857143
product_type_name,Earring,section_name,Womens Small accessories,201,702,199,505,0.7173295454545454
department_name,Dresses DS,section_name,Divided Selected,20,71,20,51,0.7183098591549296
department_name,Knit & Woven,product_type_name,Hat/beanie,62,52,25,64,0.7191011235955056
department_name,Boots,section_name,Womens Shoes,91,324,91,233,0.7191358024691358
colour_group_name,Black,graphical_appearance_name,Solid,3826,7935,2558,6645,0.7220471585352602
colour_group_name,Transparent,graphical_appearance_name,Transparent,3,11,3,8,0.7272727272727273
colour_group_name,Blue,graphical_appearance_name,Denim,455,1020,316,843,0.727351164797239
department_name,Baby Girl Knitwear,section_name,Baby Girl,16,59,16,43,0.7288135593220338
department_name,Baby Girl Woven,section_name,Baby Girl,16,59,16,43,0.7288135593220338
department_name,Shirt S&T,section_name,Men Suits & Tailoring,36,133,36,97,0.7293233082706767
department_name,Expressive Lingerie,product_type_name,Bra,250,446,148,400,0.7299270072992701
department_name,Kids Boy Jersey Basic,section_name,Boys Underwear & Basics,23,87,23,64,0.735632183908046
department_name,Heels,product_type_name,Wedge,70,21,19,53,0.7361111111111112
department_name,Bags,section_name,Womens Big accessories,131,272,84,235,0.7366771159874608
department_name,Gloves/Hats,product_type_name,Hat/beanie,49,52,21,59,0.7375
department_name,Woven top,section_name,H&M+,96,366,96,270,0.7377049180327869
department_name,Ladies Sport Bottoms,section_name,Ladies H&M Sport,94,362,94,268,0.7403314917127072
department_name,Accessories,product_type_name,Cap/peaked,28,16,9,26,0.7428571428571429
department_name,Belts,section_name,Womens Big accessories,91,272,74,215,0.7439446366782007
product_type_name,Bag,section_name,Womens Big accessories,125,272,80,237,0.7476340694006309
department_name,Loungewear,section_name,"Womens Nightwear, Socks & Tigh",131,476,122,363,0.7484536082474227
