prototype,name,n_descriptors,descriptors
0,"Comedy, Horror",2,genres=Comedy(score=2.948); genres=Horror(score=2.350)
1,"Western, Mystery, Drama",3,genres=Western(score=7.812); genres=Mystery(score=4.883); genres=Drama(score=2.021)
2,"Film-Noir, Crime, Sci-Fi",3,genres=Film-Noir(score=16.026); genres=Crime(score=2.633); genres=Sci-Fi(score=2.490)
3,"Western, Crime, Thriller",3,genres=Western(score=5.208); genres=Crime(score=4.389); genres=Thriller(score=4.281)
4,"Drama, Romance",2,genres=Drama(score=2.400); genres=Romance(score=2.254)
5,"Documentary, Crime, Comedy",3,genres=Documentary(score=18.263); genres=Crime(score=1.756); genres=Comedy(score=1.241)
6,"Children's, Fantasy, Animation",3,genres=Children's(score=6.677); genres=Fantasy(score=4.808); genres=Animation(score=4.596)
7,"Musical, Romance, Comedy",3,genres=Musical(score=11.792); genres=Romance(score=2.254); genres=Comedy(score=1.707)
8,"Action, War, Crime",3,genres=Action(score=3.097); genres=War(score=2.315); genres=Crime(score=1.756)
9,"Western, Action, Fantasy",3,genres=Western(score=5.208); genres=Action(score=4.818); genres=Fantasy(score=4.808)
10,"Children's, Fantasy, Musical",3,genres=Children's(score=10.016); genres=Fantasy(score=7.212); genres=Musical(score=4.422)
