prototype,name,n_descriptors,descriptors
0,"Crime, Drama, Thriller",3,genres=Crime(score=2.633); genres=Drama(score=2.147); genres=Thriller(score=1.784)
1,"Comedy, Sci-Fi",2,genres=Comedy(score=3.103); genres=Sci-Fi(score=1.868)
2,"Crime, Comedy, Drama",3,genres=Crime(score=2.633); genres=Comedy(score=1.707); genres=Drama(score=1.516)
3,"Crime, Thriller, Drama",3,genres=Crime(score=4.389); genres=Thriller(score=2.854); genres=Drama(score=1.516)
4,"Fantasy, Animation, Musical",3,genres=Fantasy(score=16.827); genres=Animation(score=6.127); genres=Musical(score=5.896)
5,"Horror, Adventure, Thriller",3,genres=Horror(score=2.937); genres=Adventure(score=2.422); genres=Thriller(score=1.784)
6,"Musical, Romance, Sci-Fi",3,genres=Musical(score=4.422); genres=Romance(score=3.756); genres=Sci-Fi(score=3.113)
7,"Crime, Musical, Comedy",3,genres=Crime(score=4.389); genres=Musical(score=2.948); genres=Comedy(score=2.017)
8,"Film-Noir, Animation, Fantasy",3,genres=Film-Noir(score=8.013); genres=Animation(score=6.127); genres=Fantasy(score=4.808)
9,"Film-Noir, Mystery, Crime",3,genres=Film-Noir(score=28.045); genres=Mystery(score=8.138); genres=Crime(score=3.511)
10,"Sci-Fi, Action, Thriller",3,genres=Sci-Fi(score=6.225); genres=Action(score=4.474); genres=Thriller(score=3.567)
11,"Thriller, Mystery, Action",3,genres=Thriller(score=6.064); genres=Mystery(score=3.255); genres=Action(score=2.409)
12,"Musical, Comedy, Crime",3,genres=Musical(score=2.948); genres=Comedy(score=2.948); genres=Crime(score=1.756)
13,"War, Horror, Mystery",3,genres=War(score=5.787); genres=Horror(score=4.112); genres=Mystery(score=3.255)
14,"War, Drama, Romance",3,genres=War(score=6.944); genres=Drama(score=2.021); genres=Romance(score=1.502)
15,"Film-Noir, Mystery, Animation",3,genres=Film-Noir(score=32.051); genres=Mystery(score=8.138); genres=Animation(score=6.127)
16,"Crime, War, Drama",3,genres=Crime(score=3.511); genres=War(score=2.315); genres=Drama(score=1.516)
17,"Crime, Thriller, Action",3,genres=Crime(score=3.511); genres=Thriller(score=2.140); genres=Action(score=1.721)
18,"Animation, Romance, Adventure",3,genres=Animation(score=3.064); genres=Romance(score=3.005); genres=Adventure(score=2.422)
19,"Romance, Drama, Sci-Fi",3,genres=Romance(score=2.629); genres=Drama(score=1.263); genres=Sci-Fi(score=1.245)
20,"Film-Noir, Crime, Thriller",3,genres=Film-Noir(score=8.013); genres=Crime(score=7.022); genres=Thriller(score=4.281)
21,"Sci-Fi, Adventure, Action",3,genres=Sci-Fi(score=9.338); genres=Adventure(score=4.845); genres=Action(score=3.786)
22,"War, Crime, Thriller",3,genres=War(score=4.630); genres=Crime(score=2.633); genres=Thriller(score=2.497)
23,"Film-Noir, Musical, Mystery",3,genres=Film-Noir(score=8.013); genres=Musical(score=7.370); genres=Mystery(score=3.255)
24,"Adventure, Sci-Fi, Action",3,genres=Adventure(score=6.662); genres=Sci-Fi(score=6.225); genres=Action(score=5.851)
25,"War, Thriller, Romance",3,genres=War(score=2.315); genres=Thriller(score=2.140); genres=Romance(score=1.878)
26,"War, Comedy, Action",3,genres=War(score=3.472); genres=Comedy(score=2.172); genres=Action(score=1.377)
27,"Musical, Romance, Animation",3,genres=Musical(score=4.422); genres=Romance(score=3.380); genres=Animation(score=3.064)
28,"Western, Romance, Comedy",3,genres=Western(score=5.208); genres=Romance(score=3.756); genres=Comedy(score=2.793)
29,"Animation, Musical, Thriller",3,genres=Animation(score=3.064); genres=Musical(score=2.948); genres=Thriller(score=2.140)
30,"Sci-Fi, Action, Western",3,genres=Sci-Fi(score=6.848); genres=Action(score=5.851); genres=Western(score=5.208)
31,"Sci-Fi, Film-Noir, Action",3,genres=Sci-Fi(score=8.715); genres=Film-Noir(score=8.013); genres=Action(score=5.162)
32,"War, Animation, Action",3,genres=War(score=4.630); genres=Animation(score=4.596); genres=Action(score=4.130)
33,"Sci-Fi, Animation, Action",3,genres=Sci-Fi(score=5.603); genres=Animation(score=4.596); genres=Action(score=3.442)
34,"Film-Noir, Crime, Thriller",3,genres=Film-Noir(score=12.019); genres=Crime(score=3.511); genres=Thriller(score=2.854)
35,"Film-Noir, Mystery, Crime",3,genres=Film-Noir(score=12.019); genres=Mystery(score=4.883); genres=Crime(score=3.511)
36,"Comedy, Children's, Romance",3,genres=Comedy(score=2.638); genres=Children's(score=1.335); genres=Romance(score=1.127)
37,"Sci-Fi, Adventure, Action",3,genres=Sci-Fi(score=4.980); genres=Adventure(score=2.422); genres=Action(score=2.409)
38,"War, Drama, Romance",3,genres=War(score=3.472); genres=Drama(score=2.147); genres=Romance(score=1.502)
39,"Animation, Children's, Musical",3,genres=Animation(score=13.787); genres=Children's(score=4.006); genres=Musical(score=2.948)
40,"War, Sci-Fi, Horror",3,genres=War(score=2.315); genres=Sci-Fi(score=1.868); genres=Horror(score=1.762)
41,"War, Horror, Crime",3,genres=War(score=5.787); genres=Horror(score=4.112); genres=Crime(score=1.756)
42,"Musical, Animation, Children's",3,genres=Musical(score=16.215); genres=Animation(score=15.319); genres=Children's(score=7.345)
43,"War, Children's, Drama",3,genres=War(score=3.472); genres=Children's(score=2.003); genres=Drama(score=1.642)
44,"Film-Noir, War, Mystery",3,genres=Film-Noir(score=12.019); genres=War(score=6.944); genres=Mystery(score=4.883)
45,"Sci-Fi, Fantasy, Adventure",3,genres=Sci-Fi(score=9.960); genres=Fantasy(score=4.808); genres=Adventure(score=3.634)
46,"Crime, Action, Comedy",3,genres=Crime(score=2.633); genres=Action(score=1.721); genres=Comedy(score=1.552)
47,"Sci-Fi, Adventure, Action",3,genres=Sci-Fi(score=4.980); genres=Adventure(score=2.422); genres=Action(score=2.409)
48,"Film-Noir, Sci-Fi, Crime",3,genres=Film-Noir(score=12.019); genres=Sci-Fi(score=8.093); genres=Crime(score=2.633)
49,"Action, Crime, Thriller",3,genres=Action(score=2.409); genres=Crime(score=1.756); genres=Thriller(score=1.427)
50,"Film-Noir, Mystery, Crime",3,genres=Film-Noir(score=20.032); genres=Mystery(score=8.138); genres=Crime(score=3.511)
51,"Thriller, Horror, Action",3,genres=Thriller(score=3.567); genres=Horror(score=1.762); genres=Action(score=1.377)
52,"War, Thriller, Action",3,genres=War(score=3.472); genres=Thriller(score=2.140); genres=Action(score=2.065)
53,"Western, War, Crime",3,genres=Western(score=5.208); genres=War(score=4.630); genres=Crime(score=4.389)
