item_id,item,title,year,genres,item weight,prototype
109,318,"Shawshank Redemption, The (1994)",1994,Drama,0.83594024,0
43,608,Fargo (1996),1996,Crime|Drama|Thriller,0.627201,0
185,1213,GoodFellas (1990),1990,Crime|Drama,0.5807291,0
250,3624,Shanghai Noon (2000),2000,Action,0.5782374,0
40,2028,Saving Private Ryan (1998),1998,Action|Drama|War,0.5053887,0
87,593,"Silence of the Lambs, The (1991)",1991,Drama|Thriller,0.45978922,0
312,36,Dead Man Walking (1995),1995,Drama,0.41718957,0
197,1089,Reservoir Dogs (1992),1992,Crime|Thriller,0.4085537,0
326,1358,Sling Blade (1996),1996,Drama|Thriller,0.3873004,0
308,1673,Boogie Nights (1997),1997,Drama,0.38649815,0
136,1968,"Breakfast Club, The (1985)",1985,Comedy|Drama,0.519163,1
16,1270,Back to the Future (1985),1985,Comedy|Sci-Fi,0.41502002,1
12,2791,Airplane! (1980),1980,Comedy,0.363096,1
369,2716,Ghostbusters (1984),1984,Comedy|Horror,0.32983077,1
346,1257,Better Off Dead... (1985),1985,Comedy,0.3264664,1
415,2174,Beetlejuice (1988),1988,Comedy|Fantasy,0.3206955,1
1158,1078,Bananas (1971),1971,Comedy|War,0.3168279,1
858,2144,Sixteen Candles (1984),1984,Comedy,0.30102724,1
870,3210,Fast Times at Ridgemont High (1982),1982,Comedy,0.29059348,1
1448,2150,"Gods Must Be Crazy, The (1980)",1980,Comedy,0.28753206,1
2206,3241,"Cup, The (Phörpa) (1999)",1999,Comedy,0.67239934,2
185,1213,GoodFellas (1990),1990,Crime|Drama,0.49046278,2
172,2289,"Player, The (1992)",1992,Comedy|Drama,0.4419122,2
443,2336,Elizabeth (1998),1998,Drama,0.44101053,2
548,246,Hoop Dreams (1994),1994,Documentary,0.41151395,2
1120,2065,"Purple Rose of Cairo, The (1985)",1985,Comedy|Drama|Romance,0.40997884,2
206,2395,Rushmore (1998),1998,Comedy,0.4014184,2
282,1704,Good Will Hunting (1997),1997,Drama,0.39268464,2
336,778,Trainspotting (1996),1996,Drama,0.38200498,2
43,608,Fargo (1996),1996,Crime|Drama|Thriller,0.37586558,2
87,593,"Silence of the Lambs, The (1991)",1991,Drama|Thriller,0.82980365,3
298,16,Casino (1995),1995,Drama|Thriller,0.4968582,3
73,2858,American Beauty (1999),1999,Comedy|Drama,0.45442697,3
43,608,Fargo (1996),1996,Crime|Drama|Thriller,0.4334882,3
