prototype,name,n_descriptors,descriptors
0,"Romance, Comedy, Children's",3,genres=Romance(score=1.502); genres=Comedy(score=1.396); genres=Children's(score=1.335)
1,"Comedy, Romance, Drama",3,genres=Comedy(score=1.707); genres=Romance(score=1.502); genres=Drama(score=1.389)
2,"War, Thriller, Sci-Fi",3,genres=War(score=2.315); genres=Thriller(score=2.140); genres=Sci-Fi(score=1.868)
3,"Sci-Fi, Children's, Horror",3,genres=Sci-Fi(score=2.490); genres=Children's(score=2.003); genres=Horror(score=1.762)
4,"Drama, Romance",2,genres=Drama(score=1.516); genres=Romance(score=1.502)
5,"Musical, Horror, Children's",3,genres=Musical(score=2.948); genres=Horror(score=1.762); genres=Children's(score=1.335)
6,"War, Children's, Sci-Fi",3,genres=War(score=3.472); genres=Children's(score=2.003); genres=Sci-Fi(score=1.868)
7,"Adventure, Thriller, Drama",3,genres=Adventure(score=1.817); genres=Thriller(score=1.427); genres=Drama(score=1.137)
8,"Thriller, Horror, Drama",3,genres=Thriller(score=2.140); genres=Horror(score=1.175); genres=Drama(score=1.011)
9,"Horror, War, Drama",3,genres=Horror(score=2.350); genres=War(score=2.315); genres=Drama(score=1.263)
10,"War, Drama, Horror",3,genres=War(score=3.472); genres=Drama(score=1.263); genres=Horror(score=1.175)
