prototype,name,n_descriptors,descriptors
0,"Action, War, Romance",3,genres=Action(score=2.409); genres=War(score=2.315); genres=Romance(score=1.878)
1,"Sci-Fi, Romance, Drama",3,genres=Sci-Fi(score=1.868); genres=Romance(score=1.502); genres=Drama(score=1.263)
2,"Thriller, Drama, Romance",3,genres=Thriller(score=1.784); genres=Drama(score=1.516); genres=Romance(score=1.127)
3,"Animation, War, Thriller",3,genres=Animation(score=3.064); genres=War(score=2.315); genres=Thriller(score=2.140)
4,"War, Sci-Fi, Romance",3,genres=War(score=4.630); genres=Sci-Fi(score=2.490); genres=Romance(score=1.878)
5,"Animation, Children's, Crime",3,genres=Animation(score=3.064); genres=Children's(score=2.671); genres=Crime(score=2.633)
6,"War, Action, Sci-Fi",3,genres=War(score=4.630); genres=Action(score=3.442); genres=Sci-Fi(score=1.868)
7,"Film-Noir, Mystery, Sci-Fi",3,genres=Film-Noir(score=8.013); genres=Mystery(score=3.255); genres=Sci-Fi(score=3.113)
8,"Fantasy, Sci-Fi, Action",3,genres=Fantasy(score=7.212); genres=Sci-Fi(score=6.225); genres=Action(score=3.442)
9,"War, Action, Children's",3,genres=War(score=2.315); genres=Action(score=1.377); genres=Children's(score=1.335)
10,"Animation, Action, Children's",3,genres=Animation(score=3.064); genres=Action(score=1.721); genres=Children's(score=1.335)
11,"Mystery, Adventure, Action",3,genres=Mystery(score=3.255); genres=Adventure(score=2.422); genres=Action(score=2.065)
12,"Musical, War, Romance",3,genres=Musical(score=2.948); genres=War(score=2.315); genres=Romance(score=1.878)
13,"War, Crime, Action",3,genres=War(score=3.472); genres=Crime(score=1.756); genres=Action(score=1.721)
14,"War, Action, Sci-Fi",3,genres=War(score=4.630); genres=Action(score=2.409); genres=Sci-Fi(score=1.868)
15,"War, Crime, Romance",3,genres=War(score=2.315); genres=Crime(score=1.756); genres=Romance(score=1.502)
16,"Animation, Sci-Fi, Action",3,genres=Animation(score=3.064); genres=Sci-Fi(score=2.490); genres=Action(score=2.409)
17,"War, Action, Thriller",3,genres=War(score=3.472); genres=Action(score=2.065); genres=Thriller(score=1.427)
18,"Comedy, Adventure, Action",3,genres=Comedy(score=1.862); genres=Adventure(score=1.817); genres=Action(score=1.721)
19,"Romance, Comedy, Horror",3,genres=Romance(score=1.878); genres=Comedy(score=1.241); genres=Horror(score=1.175)
20,"Film-Noir, Mystery, Animation",3,genres=Film-Noir(score=8.013); genres=Mystery(score=3.255); genres=Animation(score=3.064)
21,"Adventure, Action, War",3,genres=Adventure(score=2.422); genres=Action(score=2.409); genres=War(score=2.315)
22,"Adventure, Fantasy, Action",3,genres=Adventure(score=4.845); genres=Fantasy(score=4.808); genres=Action(score=2.409)
23,"Animation, War, Romance",3,genres=Animation(score=3.064); genres=War(score=2.315); genres=Romance(score=1.878)
24,"Sci-Fi, War, Action",3,genres=Sci-Fi(score=5.603); genres=War(score=4.630); genres=Action(score=3.786)
25,"Sci-Fi, Action, Adventure",3,genres=Sci-Fi(score=3.735); genres=Action(score=3.442); genres=Adventure(score=3.028)
26,"Sci-Fi, Action, Romance",3,genres=Sci-Fi(score=2.490); genres=Action(score=2.409); genres=Romance(score=2.254)
27,"Sci-Fi, Adventure, Action",3,genres=Sci-Fi(score=4.358); genres=Adventure(score=4.239); genres=Action(score=3.786)
28,"Sci-Fi, Musical, Action",3,genres=Sci-Fi(score=3.113); genres=Musical(score=2.948); genres=Action(score=2.409)
29,"Sci-Fi, Action, Adventure",3,genres=Sci-Fi(score=3.113); genres=Action(score=2.409); genres=Adventure(score=1.817)
30,"War, Sci-Fi, Action",3,genres=War(score=5.787); genres=Sci-Fi(score=4.980); genres=Action(score=3.442)
31,"Film-Noir, Action, Sci-Fi",3,genres=Film-Noir(score=12.019); genres=Action(score=3.442); genres=Sci-Fi(score=3.113)
32,"War, Sci-Fi, Animation",3,genres=War(score=3.472); genres=Sci-Fi(score=3.113); genres=Animation(score=3.064)
33,"War, Animation, Action",3,genres=War(score=3.472); genres=Animation(score=3.064); genres=Action(score=2.409)
34,"Action, Adventure, Thriller",3,genres=Action(score=2.753); genres=Adventure(score=1.817); genres=Thriller(score=1.427)
35,"Comedy, Action, Sci-Fi",3,genres=Comedy(score=1.552); genres=Action(score=1.377); genres=Sci-Fi(score=1.245)
36,"Film-Noir, Adventure, Crime",3,genres=Film-Noir(score=8.013); genres=Adventure(score=1.817); genres=Crime(score=1.756)
37,"War, Drama, Action",3,genres=War(score=4.630); genres=Drama(score=1.389); genres=Action(score=1.377)
38,"Crime, Drama, Thriller",3,genres=Crime(score=5.267); genres=Drama(score=1.642); genres=Thriller(score=1.427)
39,"Animation, Children's, Sci-Fi",3,genres=Animation(score=6.127); genres=Children's(score=2.003); genres=Sci-Fi(score=1.868)
40,"War, Thriller, Action",3,genres=War(score=2.315); genres=Thriller(score=2.140); genres=Action(score=1.377)
41,"War, Action, Adventure",3,genres=War(score=5.787); genres=Action(score=3.786); genres=Adventure(score=3.634)
