item_id,item,title,year,genres,item weight,prototype
3116,2156,"Best Man, The (Il Testimone dello sposo) (1997)",1997,Comedy|Drama,1.999999,0
1310,3004,"Bachelor, The (1999)",1999,Comedy|Romance,1.9999057,0
2496,3446,Funny Bones (1995),1995,Comedy,1.9982225,0
2795,1571,When the Cats Away (Chacun cherche son chat) (1996),1996,Comedy|Romance,1.9979148,0
2288,2769,"Yards, The (1999)",1999,Crime|Mystery,1.996529,0
2140,3456,"Color of Paradise, The (Rang-e Khoda) (1999)",1999,Drama,1.9961263,0
2697,2050,Herbie Goes Bananas (1980),1980,Adventure|Children's|Comedy,1.9960155,0
2609,1341,Burnt Offerings (1976),1976,Horror,1.9953561,0
1730,1940,Gentleman's Agreement (1947),1947,Drama,1.9948709,0
1967,808,Alaska (1996),1996,Adventure|Children's,1.9947999,0
1607,2053,"Honey, I Blew Up the Kid (1992)",1992,Children's|Comedy|Sci-Fi,1.9999998,1
1539,2820,Hamlet (1964),1964,Drama,1.9999022,1
407,765,Jack (1996),1996,Comedy|Drama,1.9986578,1
1190,2471,Crocodile Dundee II (1988),1988,Adventure|Comedy,1.9984924,1
1155,3821,Nutty Professor II: The Klumps (2000),2000,Comedy,1.9984193,1
2232,72,Kicking and Screaming (1995),1995,Comedy|Drama,1.9978772,1
2547,2885,Guinevere (1999),1999,Drama|Romance,1.9978015,1
269,650,Moll Flanders (1996),1996,Drama,1.9976652,1
1945,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),1994,Drama,1.9973986,1
2896,270,Love Affair (1994),1994,Drama|Romance,1.99666,1
2961,3833,"Brain That Wouldn't Die, The (1962)",1962,Horror|Sci-Fi,1.9999968,2
764,3638,Moonraker (1979),1979,Action|Romance|Sci-Fi,1.9998066,2
2061,2295,"Impostors, The (1998)",1998,Comedy,1.9991578,2
1335,3063,Poison Ivy (1992),1992,Thriller,1.9978971,2
721,26,Othello (1995),1995,Drama,1.9976957,2
1192,1658,"Life Less Ordinary, A (1997)",1997,Romance|Thriller,1.9969625,2
1710,2084,Newsies (1992),1992,Children's|Musical,1.996545,2
1845,1783,Palmetto (1998),1998,Film-Noir|Mystery|Thriller,1.9961004,2
1006,2649,Son of Frankenstein (1939),1939,Horror,1.9954739,2
1985,3394,Blind Date (1987),1987,Comedy|Romance,1.9951334,2
1885,1366,"Crucible, The (1996)",1996,Drama,1.9999884,3
108,2943,Indochine (1992),1992,Drama|Romance,1.990834,3
2992,3847,"Ilsa, She Wolf of the SS (1974)",1974,Horror,1.9812996,3
2032,1502,Kissed (1996),1996,Romance,1.9803398,3
2973,1504,Hollow Reed (1996),1996,Drama,1.9727733,3
1644,1021,Angels in the Outfield (1994),1994,Children's|Comedy,1.9725626,3
2210,987,Bliss (1997),1997,Drama|Romance,1.9720418,3
2566,332,Village of the Damned (1995),1995,Horror|Sci-Fi,1.972014,3
1442,561,Killer (Bulletproof Heart) (1994),1994,Thriller,1.9704812,3
813,3661,Puppet Master II (1990),1990,Horror|Sci-Fi|Thriller,1.9699943,3
2763,3395,Nadine (1987),1987,Comedy,1.9999962,4
3067,882,"Trigger Effect, The (1996)",1996,Drama|Thriller,1.9998463,4
1329,1365,Ridicule (1996),1996,Drama,1.9985421,4
2363,537,Sirens (1994),1994,Comedy|Drama,1.9981258,4
1551,82,Antonia's Line (Antonia) (1995),1995,Drama,1.9979717,4
769,2860,Blue Streak (1999),1999,Comedy,1.9977818,4
1357,3326,What Planet Are You From? (2000),2000,Comedy|Sci-Fi,1.9974279,4
1807,2634,"Mummy, The (1959)",1959,Horror,1.9974267,4
1349,1498,Inventing the Abbotts (1997),1997,Drama|Romance,1.9973717,4
2638,3790,Groove (2000),2000,Drama,1.997061,4
1526,3197,"Presidio, The (1988)",1988,Action,1.9999999,5
803,2189,I Married A Strange Person (1997),1997,Animation,1.9999368,5
577,421,Black Beauty (1994),1994,Adventure|Children's,1.9972193,5
808,2195,Dirty Work (1998),1998,Comedy,1.9970775,5
2309,315,"Specialist, The (1994)",1994,Action,1.9967371,5
1685,3324,Drowning Mona (2000),2000,Comedy,1.9962698,5
509,1654,FairyTale: A True Story (1997),1997,Children's|Drama|Fantasy,1.9949617,5
2508,1889,Insomnia (1997),1997,Thriller,1.9947984,5
2717,2062,"Governess, The (1998)",1998,Drama|Romance,1.994606,5
2728,2491,Simply Irresistible (1999),1999,Comedy|Romance,1.9944608,5
1477,392,"Secret Adventures of Tom Thumb, The (1993)",1993,Adventure|Children's,1.999998,6
1996,3768,Braddock: Missing in Action III (1988),1988,Action|War,1.9998412,6
968,3943,Bamboozled (2000),2000,Comedy,1.9984019,6
1381,3600,Blue Hawaii (1961),1961,Comedy|Musical,1.9982102,6
886,3506,North Dallas Forty (1979),1979,Comedy|Drama,1.9978753,6
1801,2519,House on Haunted Hill (1958),1958,Horror,1.9971745,6
1468,2365,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),1962,Action|Sci-Fi,1.9971664,6
800,771,"Vie est belle, La (Life is Rosey) (1987)",1987,Comedy|Drama,1.9969164,6
1590,3864,Godzilla 2000 (Gojira ni-sen mireniamu) (1999),1999,Action|Adventure|Sci-Fi,1.9967641,6
2557,504,No Escape (1994),1994,Action|Sci-Fi,1.996758,6
469,1129,Escape from New York (1981),1981,Action|Adventure|Sci-Fi|Thriller,1.9999962,7
2209,1728,"Winter Guest, The (1997)",1997,Drama,1.9999784,7
1179,2772,Detroit Rock City (1999),1999,Comedy,1.9982109,7
2384,3355,"Ninth Gate, The (2000)",2000,Thriller,1.9980265,7
1167,2540,"Corruptor, The (1999)",1999,Action|Crime|Drama|Thriller,1.997446,7
217,1897,High Art (1998),1998,Drama|Romance,1.9971334,7
2931,335,"Underneath, The (1995)",1995,Mystery|Thriller,1.9965216,7
2235,621,My Favorite Season (1993),1993,Drama,1.9962363,7
608,1487,Selena (1997),1997,Drama|Musical,1.9961706,7
151,2337,Velvet Goldmine (1998),1998,Drama,1.9953866,7
2615,3640,"King in New York, A (1957)",1957,Comedy|Drama,2.0,8
960,2403,First Blood (1982),1982,Action,1.9997708,8
2374,662,Fear (1996),1996,Thriller,1.9983165,8
647,2752,Outrageous Fortune (1987),1987,Comedy|Mystery,1.9982975,8
505,542,Son in Law (1993),1993,Comedy,1.9980731,8
1652,709,Oliver & Company (1988),1988,Animation|Children's,1.9978516,8
2265,2284,Bandit Queen (1994),1994,Drama,1.9978245,8
2236,483,King of the Hill (1993),1993,Drama,1.9971399,8
157,506,Orlando (1993),1993,Drama,1.9971151,8
2215,2493,"Harmonists, The (1997)",1997,Drama,1.9969453,8
1901,312,Stuart Saves His Family (1995),1995,Comedy,1.9999998,9
2736,1899,Passion in the Desert (1998),1998,Adventure|Drama,1.9999652,9
1911,2546,"Deep End of the Ocean, The (1999)",1999,Drama,1.9978917,9
1266,2107,Halloween: H20 (1998),1998,Horror|Thriller,1.9962709,9
2441,2121,Cujo (1983),1983,Horror|Thriller,1.9960198,9
2331,1128,"Fog, The (1980)",1980,Horror,1.99543,9
1533,1934,You Can't Take It With You (1938),1938,Comedy,1.9951133,9
248,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1964,Drama|Musical,1.9949069,9
401,2093,Return to Oz (1985),1985,Adventure|Children's|Fantasy|Sci-Fi,1.9945424,9
2219,182,Moonlight and Valentino (1995),1995,Drama|Romance,1.9942403,9
1283,1054,Get on the Bus (1996),1996,Drama,1.9999987,10
1168,3785,Scary Movie (2000),2000,Comedy|Horror,1.9998914,10
1988,1882,Godzilla (1998),1998,Action|Sci-Fi,1.9977491,10
2411,2435,Hurlyburly (1998),1998,Drama,1.9976361,10
2517,2182,"Wrong Man, The (1956)",1956,Drama|Film-Noir|Thriller,1.9975662,10
2211,2610,Three Seasons (1999),1999,Drama,1.9975338,10
1186,897,For Whom the Bell Tolls (1943),1943,Adventure|War,1.9974134,10
1814,273,Mary Shelley's Frankenstein (1994),1994,Drama|Horror,1.9970961,10
1862,390,Faster Pussycat! Kill! Kill! (1965),1965,Action|Comedy|Drama,1.9967622,10
1487,1935,How Green Was My Valley (1941),1941,Drama,1.9967375,10
