item_id,item,title,year,genres,item weight,prototype
1310,3004,"Bachelor, The (1999)",1999,Comedy|Romance,0.6616926,0
250,3624,Shanghai Noon (2000),2000,Action,0.5745417,0
43,608,Fargo (1996),1996,Crime|Drama|Thriller,0.3275549,0
109,318,"Shawshank Redemption, The (1994)",1994,Drama,0.3237533,0
570,858,"Godfather, The (1972)",1972,Action|Crime|Drama,0.30107796,0
40,2028,Saving Private Ryan (1998),1998,Action|Drama|War,0.29686007,0
746,1242,Glory (1989),1989,Action|Drama|War,0.28456166,0
1460,2124,"Addams Family, The (1991)",1991,Comedy,0.28398198,0
2567,419,"Beverly Hillbillies, The (1993)",1993,Comedy,0.2765839,0
1120,2065,"Purple Rose of Cairo, The (1985)",1985,Comedy|Drama|Romance,0.2706184,0
469,1129,Escape from New York (1981),1981,Action|Adventure|Sci-Fi|Thriller,1.0737605,1
57,2236,Simon Birch (1998),1998,Drama,0.76681316,1
2209,1728,"Winter Guest, The (1997)",1997,Drama,0.70851374,1
16,1270,Back to the Future (1985),1985,Comedy|Sci-Fi,0.4442999,1
22,2294,Antz (1998),1998,Animation|Children's,0.32478532,1
2476,1743,Arguing the World (1996),1996,Documentary,0.31148574,1
890,804,She's the One (1996),1996,Comedy|Romance,0.30308056,1
77,480,Jurassic Park (1993),1993,Action|Adventure|Sci-Fi,0.26765764,1
1996,3768,Braddock: Missing in Action III (1988),1988,Action|War,0.24131437,1
569,923,Citizen Kane (1941),1941,Drama,0.23888727,1
764,3638,Moonraker (1979),1979,Action|Romance|Sci-Fi,1.2801076,2
3067,882,"Trigger Effect, The (1996)",1996,Drama|Thriller,0.8951436,2
960,2403,First Blood (1982),1982,Action,0.8100847,2
1901,312,Stuart Saves His Family (1995),1995,Comedy,0.7791256,2
2206,3241,"Cup, The (Phörpa) (1999)",1999,Comedy,0.7679049,2
1539,2820,Hamlet (1964),1964,Drama,0.73597205,2
604,2841,Stir of Echoes (1999),1999,Thriller,0.5126906,2
1885,1366,"Crucible, The (1996)",1996,Drama,0.49874544,2
348,3363,American Graffiti (1973),1973,Comedy|Drama,0.47680312,2
619,1810,Primary Colors (1998),1998,Drama,0.44583908,2
3067,882,"Trigger Effect, The (1996)",1996,Drama|Thriller,0.73196507,3
960,2403,First Blood (1982),1982,Action,0.717055,3
891,3441,Red Dawn (1984),1984,Action|War,0.46184933,3
87,593,"Silence of the Lambs, The (1991)",1991,Drama|Thriller,0.45408088,3
147,1240,"Terminator, The (1984)",1984,Action|Sci-Fi|Thriller,0.41035166,3
22,2294,Antz (1998),1998,Animation|Children's,0.37548664,3
2890,2798,Problem Child (1990),1990,Comedy,0.36165494,3
298,16,Casino (1995),1995,Drama|Thriller,0.35239887,3
32,1,Toy Story (1995),1995,Animation|Children's|Comedy,0.28562522,3
43,608,Fargo (1996),1996,Crime|Drama|Thriller,0.28135836,3
1539,2820,Hamlet (1964),1964,Drama,1.103299,4
619,1810,Primary Colors (1998),1998,Drama,0.5386983,4
890,804,She's the One (1996),1996,Comedy|Romance,0.46692634,4
2323,1874,Still Breathing (1997),1997,Comedy|Romance,0.46640813,4
109,318,"Shawshank Redemption, The (1994)",1994,Drama,0.4173063,4
1460,2124,"Addams Family, The (1991)",1991,Comedy,0.41306645,4
