group,name,created,best_val,best_epoch,last_epoch,val_at_grace4,n_logged
mf_ml-1m,mf_ml-1m_s38210573_6b980f0e,2026-04-14T23:39:31Z,0.44249,5,9,0.43686,11
mf_ml-1m,mf_ml-1m_s38210573_201b90b4,2026-04-14T23:39:15Z,0.16987,9,9,0.14783,11
mf_ml-1m,mf_ml-1m_s38210573_62af3b87,2026-04-14T23:18:16Z,0.44249,5,9,0.43686,11
mf_ml-1m,mf_ml-1m_s38210573_909d6c41,2026-04-14T23:18:01Z,0.16987,9,9,0.14783,11
mf_ml-1m,mf_ml-1m_s38210573_7b48bf9a,2026-04-14T22:48:02Z,0.10225,-1,-1,,1
mf_ml-1m,mf_ml-1m_s38210573_174befa1,2026-04-14T22:47:55Z,0.1006,-1,-1,,1
mf_ml-1m,mf_ml-1m_s38210573_63c05381,2026-04-14T22:47:47Z,0.10557,-1,-1,,1
mf_ml-1m,mf_ml-1m_s38210573_8e5fe122,2026-04-14T22:47:40Z,0.10656,-1,-1,,1
mf_ml-1m,mf_ml-1m_s38210573_6c5d538b,2026-04-14T22:47:34Z,0.1006,-1,-1,,1
mf_ml-1m,mf_ml-1m_s38210573_7dc7b369,2026-03-24T17:20:43Z,0.12894,10,20,0.11601,22
mf_ml-1m,mf_ml-1m_s38210573_41c4d486,2026-03-24T17:19:56Z,0.09993,14,24,0.09761,26
mf_ml-1m,mf_ml-1m_s38210573_2e470f3b,2026-03-24T17:15:03Z,0.39079,2,12,0,14
mf_ml-1m,mf_ml-1m_s38210573_df23bbf5,2026-03-24T17:13:09Z,0.4773,20,30,0.44763,32
mf_ml-1m,mf_ml-1m_s38210573_ee871579,2026-03-24T17:11:32Z,0.11468,19,29,0.10557,31
mf_ml-1m,mf_ml-1m_s38210573_5649d76b,2026-03-24T17:07:49Z,0.35018,0,10,0.1112,12
mf_ml-1m,mf_ml-1m_s38210573_48f53011,2026-03-24T17:05:14Z,0.14518,4,14,0.14518,16
mf_ml-1m,mf_ml-1m_s38210573_83eb57b8,2026-03-24T17:01:44Z,0.3762,1,11,0,13
mf_ml-1m,mf_ml-1m_s38210573_83538f2c,2026-03-24T16:59:39Z,0.43305,6,16,0.4289,18
mf_ml-1m,mf_ml-1m_s38210573_8428f9ae,2026-03-24T16:58:07Z,0.10143,-1,9,0.07309,11
mf_ml-1m,mf_ml-1m_s38210573_77b38683,2026-03-24T16:56:15Z,0.13523,6,16,0.12993,18
mf_ml-1m,mf_ml-1m_s38210573_e3ef6528,2026-03-24T16:55:03Z,0.11966,4,14,0.11966,16
mf_ml-1m,mf_ml-1m_s38210573_f0a243d8,2026-03-24T16:49:51Z,0.52287,17,27,0.45724,29
mf_ml-1m,mf_ml-1m_s38210573_2827bee9,2026-03-24T16:47:59Z,0.52519,27,37,0.51276,39
mf_ml-1m,mf_ml-1m_s38210573_871e876a,2026-03-24T16:46:49Z,0.10159,-1,9,0.05055,11
mf_ml-1m,mf_ml-1m_s38210573_52686558,2026-03-24T16:44:00Z,0.09877,-1,9,0.04773,11
mf_ml-1m,mf_ml-1m_s38210573_d86d8aaa,2026-03-24T16:40:25Z,0.43702,1,11,0.43305,13
mf_ml-1m,mf_ml-1m_s38210573_7d7d91e5,2026-03-24T16:38:46Z,0.5232,15,25,0.5126,27
mf_ml-1m,mf_ml-1m_s38210573_1fe14535,2026-03-24T16:37:43Z,0.43735,5,15,0.43139,17
mf_ml-1m,mf_ml-1m_s38210573_5b28afac,2026-03-24T16:30:36Z,0.40885,14,24,0.39476,26
mf_ml-1m,mf_ml-1m_s38210573_a93272a6,2026-03-24T16:29:40Z,0.27395,0,10,0.1175,12
mf_ml-1m,mf_ml-1m_s38210573_4b958fd1,2026-03-24T16:28:05Z,0.43918,24,34,0.4299,36
mf_ml-1m,mf_ml-1m_s38210573_5891462c,2026-03-24T16:23:10Z,0.47232,11,21,0.46039,23
mf_ml-1m,mf_ml-1m_s38210573_447ea64e,2026-03-24T16:19:08Z,0.49271,7,17,0.4874,19
mf_ml-1m,mf_ml-1m_s38210573_b1a0f0f3,2026-03-24T16:17:00Z,0.16009,2,12,0.15396,14
